Time,I,N,Q,r,k,c_1,c_2,s_0,d,rho,gamma,mu,delta,a,b,lambda,Immunotherapy_Input,Chemotherapy_Input,Infusion_Duration,Infusion_Dose,Infusion_Rate,compartment,Cancer_Growth,Cancer_Death_Immune,Cancer_Death_Chemotherapy,Immune_Growth_Constant,Immune_Death_Natural,Immune_Growth_Cancer_Stimulation,Immune_Death_Cancer,Immune_Death_Chemotherapy,Chemotherapy_Decay,Immune_Immunotherapy,Chemotherapy
0.0,50000000.0,20000000000.0,0.0,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,8640.0,0.125,1080.0,8640.0,1.0,196000000.0,50000000.0,0.0,700000.0,50000.0,4.9999999750000003e-05,100000.0,0.0,0.0,0.0,8640.0
2.0,30938438.677527048,8661147342.194332,0.3450562558116096,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,85861318.68911132,13398118.796175286,11952270.18892108,700000.0,30938.438677527047,3.0938438320317577e-05,26796.237592350575,21351.002147989766,1.435434024176296,0.0,0.0
4.0,32214990.415733516,8803799389.657227,8.405373330272768e-05,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,87262925.05963898,14180715.647992406,2959.9686993976516,700000.0,32214.99041573352,3.2214990049812065e-05,28361.431295984814,5.415580425416946,0.00034966353053934716,0.0,0.0
6.0,33490950.45361672,8950598569.243155,2.0474949835619718e-08,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,88704853.54495418,14988202.660636758,0.7330522268085882,700000.0,33490.95045361672,3.3490950079441185e-05,29976.40532127352,0.0013714510609700498,8.517579131617803e-08,0.0,0.0
8.0,34761099.182847075,9098661070.582201,5.0339053907742835e-12,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,90158754.37304872,15813972.995280873,0.00018320719604812696,700000.0,34761.09918284707,3.476109880080076e-05,31627.945990561744,3.499681691315469e-07,2.094104642562102e-11,0.0,0.0
10.0,36025373.07201522,9247973208.900549,-2.3365892612237817e-14,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,91624482.00428006,16658084.2505322,-8.643485955200904e-07,700000.0,36025.373072015216,3.602537268246638e-05,33316.16850106441,-1.6835299970330232e-09,-9.720211326690932e-14,0.0,0.0
12.0,37283704.452811696,9398520414.784332,-3.4027643240830254e-16,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,93101882.28797215,17520582.87192681,-1.279237998663765e-08,700000.0,37283.7044528117,3.7283704056114104e-05,35041.16574385362,-2.5373531876336614e-11,-1.4155499588185387e-15,0.0,0.0
14.0,38536028.98930487,9550288421.157848,1.0108399920355677e-15,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,94590804.12230548,18401509.572698075,3.8615253886322296e-08,700000.0,38536.02898930487,3.8536028585798433e-05,36803.01914539615,7.790751847326268e-11,4.205094366867962e-15,0.0,0.0
16.0,39782296.38939402,9703265785.481846,-1.399524792670296e-16,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,96091124.18578143,19300909.77115525,-5.431984414660503e-09,700000.0,39782.296389394025,3.978229597940529e-05,38601.8195423105,-1.1135262021262988e-11,-5.822023137508431e-16,0.0,0.0
18.0,41022433.97493799,9857435589.44849,-1.3113899074885558e-16,0.01,1000000000000.0,5e-11,1e-13,700000.0,0.001,1e-12,100.0,8.0,10000.0,2000.0,5000000.0,4.16,0.0,0.0,0.125,1080.0,8640.0,1.0,97602665.53048365,20218800.031517733,-5.170776618288501e-09,700000.0,41022.433974937994,4.102243355878073e-05,40437.60006303546,-1.0759281179069864e-11,-5.455382015152392e-16,0.0,0.0
