I_1_task1,N_2_task1,_1_task1
50000000.0,20000000000.0,0.0
30938438.677527048,8661147342.194332,2.0
32214990.415733516,8803799389.657227,4.0
33490950.45361672,8950598569.243155,6.0
34761099.182847075,9098661070.582201,8.0
36025373.07201522,9247973208.900549,10.0
37283704.452811696,9398520414.784332,12.0
38536028.98930487,9550288421.157848,14.0
39782296.38939402,9703265785.481846,16.0
41022433.97493799,9857435589.44849,18.0
42256406.782793745,10012789310.8288,20.0
43484144.66284959,10169310119.642857,22.0
44705577.05099033,10326980662.180597,24.0
45920643.069734216,10485785180.503805,26.0
47129277.02771186,10645706981.277454,28.0
48331420.26518001,10806730167.044237,30.0
49527012.68648194,10968837819.059654,32.0
50715993.455814615,11132013513.67697,34.0
51898302.26716454,11296240262.963322,36.0
53073880.02088733,11461500265.294123,38.0
54242666.20630406,11627776878.101753,40.0
55404603.15084813,11795051143.525578,42.0
56559630.85384783,11963306000.35351,44.0
57707691.858345084,12132522806.491507,46.0
58848728.11017007,12302683250.68993,48.0
59982682.03921488,12473768963.457237,50.0
61109499.284417756,12645760595.256462,52.0
62229121.48329845,12818639933.643929,54.0
63341492.56099937,12992387959.981821,56.0
64446557.669377506,13166985584.323204,58.0
65544264.40007129,13342414074.008463,60.0
66634558.36709264,13518653492.9225,62.0
67717386.92575972,13695684015.454771,64.0
68792698.39855818,13873486197.372944,66.0
69860442.37945999,14052041810.224915,68.0
70920568.40518096,14231330198.102427,70.0
71973027.10709807,14411331436.046257,72.0
73017770.20345773,14592026097.136734,74.0
74054750.75282654,14773395772.482368,76.0
75083921.69863477,14955420085.153488,78.0
76105237.17476791,15138079368.780313,80.0
77118652.73201928,15321354385.604742,82.0
78124125.58057353,15505226515.907997,84.0
79121612.31759706,15689675982.808786,86.0
80111071.04960461,15874683510.251877,88.0
81092461.74746865,16060230325.906363,90.0
82065746.11404455,16246298095.941496,92.0
83030884.7621616,16432867534.55642,94.0
83987840.18823604,16619919869.1493,96.0
84936575.88677007,16807436404.010168,98.0
85877059.08197115,16995400052.00367,100.0
86809255.06680058,17183792160.341335,102.0
87733130.90423171,17372594585.963512,104.0
88648654.93370435,17561789418.79688,106.0
89555797.42686656,17751359501.918766,108.0
90454530.55548207,17941288407.74452,110.0
91344825.70703632,18131558446.21409,112.0
92226656.25832379,18322152722.786724,114.0
93099996.75491525,18513054529.607784,116.0
93964824.45802027,18704248935.45872,118.0
94821116.17152034,18895719524.407955,120.0
95668850.26434678,19087450474.521603,122.0
96508006.44757721,19279426328.751114,124.0
97338565.91191289,19471632271.528538,126.0
98160511.67118646,19664054662.466335,128.0
98973826.85375336,19856678381.73371,130.0
99778496.35283457,20049489394.15398,132.0
100574506.3004584,20242473931.880795,134.0
101361844.36476907,20435619811.21331,136.0
102140499.14079005,20628913672.40266,138.0
102910460.56815767,20822342838.055656,140.0
103671719.8926932,21015895120.04079,142.0
104424269.64760433,21209558714.674404,144.0
105168103.66132408,21403322217.703487,146.0
105903216.09038967,21597174821.780743,148.0
106629603.52456045,21791105938.88042,150.0
107347263.54840586,21985105485.989223,152.0
108056194.95493011,22179163861.57029,154.0
108756397.8251434,22373271947.119247,156.0
109447873.53277957,22567421122.73125,158.0
110130622.24667875,22761601590.091724,160.0
110804648.3899625,22955806077.432034,162.0
111469956.76692423,23150027232.138916,164.0
112126553.22875674,23344258083.427822,166.0
112774444.82649437,23538492158.168957,168.0
113413639.80790664,23732723491.162254,170.0
114044145.06275813,23926944604.199875,172.0
114665971.75203854,24121150999.928104,174.0
115279131.18740508,24315337894.450478,176.0
115883635.63284603,24509500868.23486,178.0
116479498.41739818,24703635968.58927,180.0
117066733.92424661,24897739713.732574,182.0
117645356.15930957,25091808148.68048,184.0
118215381.91375345,25285838967.5508,186.0
118776828.37312664,25479829929.02193,188.0
119329713.62477402,25673779206.375397,190.0
119874056.69242294,25867685421.92824,192.0
120409877.52104269,26061547648.27337,194.0
120937196.24154344,26255365245.463966,196.0
121456034.7830041,26449138232.975853,198.0
121966415.60797168,26642867006.29226,200.0
122468361.99453141,26836552405.850082,202.0
122961898.03491901,27030195721.413177,204.0
