A,AL,ALL,B,BL,BLL,D,DL,DLL,I,IL,ILL,L,Time
0.0,0.0,0.0,1.0000000000000002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0
1.8575171301913692e-11,5.69927615445315e-09,4.181340520221885e-07,3.7218865484821603e-07,1.2333050168902522e-07,9.933555336702084e-09,1.418173040355778e-16,9.220009245379184e-14,1.5055521425939706e-11,8.129993868257696e-13,4.689764895569015e-10,7.02104474258343e-08,8.87391493285456e-06,0.01
1.702043015850742e-11,5.201229728717522e-09,3.8192208658338184e-07,3.4074977509796567e-07,1.1209529864733402e-07,9.030325020060716e-09,6.518637572076293e-16,4.284103600572071e-13,7.045814358568508e-11,1.5392826330678512e-12,9.51058697858107e-10,1.4996077930608194e-07,8.799784686409501e-06,0.02
1.568933194522793e-11,4.760727380360903e-09,3.4706191130365627e-07,3.1409061967637804e-07,1.025892758374371e-07,8.20584422137661e-09,1.5286412394899094e-15,1.0003122909790218e-12,1.6371029864716287e-10,2.21385421967442e-12,1.391721198560455e-09,2.2171728505648717e-07,8.73695977351101e-06,0.03
1.4474670221241881e-11,4.3637799217596556e-09,3.1601800544156527e-07,2.897645389615586e-07,9.402520587323015e-08,7.471720405655147e-09,2.7487860378789224e-15,1.7885386985491632e-12,2.909936654833292e-10,2.8376728381414644e-12,1.7936593190542493e-09,2.862529927811505e-07,8.679748141759545e-06,0.04
1.3365884054603588e-11,4.005730709205031e-09,2.883404044181788e-07,2.6755815343750773e-07,8.629951737307014e-08,6.8170435687394225e-09,4.289049131768759e-15,2.7749666565264703e-12,4.4889679713250674e-10,3.413832427577404e-12,2.1602343983664257e-09,3.443504603256129e-07,8.627618132333373e-06,0.05
1.2353883313026271e-11,3.682510188431797e-09,2.636233469748467e-07,2.472895439750143e-07,7.932455759058417e-08,6.232254627956083e-09,6.126731609904126e-15,3.9427654925315866e-12,6.343758014855232e-10,3.945352348756388e-12,2.494518863079997e-09,3.9669864385071627e-07,8.580117228082397e-06,0.06
1.1430349040880732e-11,3.3905136292126746e-09,2.4151542951473795e-07,2.2879227790711723e-07,7.302278125598988e-08,5.709082350425038e-09,8.239875886948845e-15,5.276341469076648e-12,8.447109261406958e-10,4.435153908354926e-12,2.7993181098787364e-09,4.4390473622220445e-07,8.53683419263643e-06,0.07
1.058764412320298e-11,3.126539874800902e-09,2.2171222953156482e-07,2.1191352131390833e-07,6.732526878122273e-08,5.240354886493552e-09,1.060740552926499e-14,6.7612736381148755e-12,1.0774677854717289e-09,4.886048474260139e-12,3.077194962047242e-09,4.865051772908504e-07,8.497393776119527e-06,0.08
9.81877619247268e-12,2.887745701654186e-09,2.0394951847620914e-07,1.9651331510329126e-07,6.217076853424569e-08,4.819842622009835e-09,1.3209234375554414e-14,8.38425935497008e-12,1.3304663866680686e-09,5.300723746805398e-12,3.3304879345294138e-09,5.249743382728645e-07,8.46145428205471e-06,0.09
9.117340429074433e-12,2.6715972530468223e-09,1.879965536711671e-07,1.8246347470721638e-07,5.7504724965181995e-08,4.442107348101954e-09,1.6026323733573073e-14,1.0133034658291743e-11,1.6017485463678252e-09,5.68174263894641e-12,3.561335610634746e-09,5.597335097542336e-07,8.428704370496735e-06,0.1
8.477462685155333e-12,2.4758326550525116e-09,1.7365167083080882e-07,1.6964641859677896e-07,5.3278412973869336e-08,4.102393040298467e-09,1.9040696426830536e-14,1.1996303375354461e-11,1.889553377164143e-09,6.031546592525844e-12,3.771696240362138e-09,5.911574979323164e-07,8.39885983146616e-06,0.11
