Time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL,L,kf_0,kr_0,kf_1,kr_1,kf_2,kr_2,kf_3,kr_3,kf_4,kr_4,kf_5,kr_5,kf_6,kr_6,kf_7,kr_7,kf_8,kr_8,kf_9,kr_9,kf_10,kr_10,kf_11,kr_11,kf_12,kr_12,kf_13,kr_13,kf_14,kr_14,kf_15,kr_15,kf_16,kr_16,comp1,React0,React1,React2,React3,React4,React5,React6,React7,React8,React9,React10,React11,React12,React13,React14,React15,React16
0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,3.000000000000001e-19,0.0,0.0,0.0,0.0,5.400000000000001e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,9.933555336702084e-09,4.689764895569015e-10,5.69927615445315e-09,1.8575171301913692e-11,1.2333050168902522e-07,3.7218865484821603e-07,1.5055521425939706e-11,1.418173040355778e-16,7.02104474258343e-08,9.220009245379184e-14,8.129993868257696e-13,4.181340520221885e-07,8.87391493285456e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,4.1871251167890052e-22,5.2267717049694785e-22,5.312823685530528e-22,2.086010244398062e-26,3.608773470761418e-23,3.700235573688022e-26,4.169485563716473e-23,2.8844026151883366e-26,6.2565041668830524e-24,3.628902569409713e-26,1.1231461257406601e-23,8.305810578028844e-22,8.742037790379408e-31,2.282195177923523e-28,4.064979916052363e-30,2.344871383773413e-27,3.510504304666004e-25
0.02,9.030325020060716e-09,9.51058697858107e-10,5.201229728717522e-09,1.702043015850742e-11,1.1209529864733402e-07,3.4074977509796567e-07,7.045814358568508e-11,6.518637572076293e-16,1.4996077930608194e-07,4.284103600572071e-13,1.5392826330678512e-12,3.8192208658338184e-07,8.799784686409501e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,2.795006662695775e-22,3.4769735473250096e-22,3.5642899934541716e-22,-5.788656638587452e-28,2.658416014291057e-23,1.8423284102130762e-26,3.2101936746741016e-23,2.593719313255435e-26,5.5680530344594224e-24,3.295455570749224e-26,1.0158956798076971e-23,7.5169735004297095e-22,7.236772261488966e-31,1.8226902041081492e-28,7.696334941688391e-30,4.755242080047328e-27,7.497954415531794e-25
0.03,8.20584422137661e-09,1.391721198560455e-09,4.760727380360903e-09,1.568933194522793e-11,1.025892758374371e-07,3.1409061967637804e-07,1.6371029864716287e-10,1.5286412394899094e-15,2.2171728505648717e-07,1.0003122909790218e-12,2.21385421967442e-12,3.4706191130365627e-07,8.73695977351101e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,2.5449261054013994e-22,3.1542488857711817e-22,3.23198872873888e-22,-9.565942702898376e-28,2.4191271490266726e-23,1.6414961678251067e-26,2.922128366779473e-23,2.3582178427208448e-26,5.0173538712886325e-24,3.008000245394079e-26,9.207884361466874e-24,6.76164722517737e-22,5.4539413499174754e-31,1.270847907550066e-28,1.1069087661423362e-29,6.958485955327358e-27,1.1085667800465982e-24
0.04,7.471720405655147e-09,1.7936593190542493e-09,4.3637799217596556e-09,1.4474670221241881e-11,9.402520587323015e-08,2.897645389615586e-07,2.909936654833292e-10,2.7487860378789224e-15,2.862529927811505e-07,1.7885386985491632e-12,2.8376728381414644e-12,3.1601800544156527e-07,8.679748141759545e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,2.323318593978603e-22,2.869739403026859e-22,2.939008360558699e-22,-1.211093738149393e-27,2.2068546601089948e-23,1.4641264982934945e-26,2.665197778984639e-23,2.1444838691697572e-26,4.525272897741742e-24,2.7453810694381597e-26,8.350006423177476e-24,6.088495184678573e-22,3.4763571155944463e-31,6.60492912936159e-29,1.4188034336382776e-29,8.968081970627422e-27,1.4312300446658947e-24
0.05,6.8170435687394225e-09,2.1602343983664257e-09,4.005730709205031e-09,1.3365884054603588e-11,8.629951737307014e-08,2.6755815343750773e-07,4.4889679713250674e-10,4.289049131768759e-15,3.443504603256129e-07,2.7749666565264703e-12,3.413832427577404e-12,2.883404044181788e-07,8.627618132333373e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,2.1207338307618766e-22,2.6111950350970736e-22,2.673023969457488e-22,-1.4790240282444895e-27,2.0146504665116182e-23,1.2985506653543586e-26,2.432351152773322e-23,1.95035172408637e-26,4.084793721056416e-24,2.505401825965512e-26,7.575494672456229e-24,5.4878842154998295e-22,1.4167918091771774e-31,2.851931018934686e-30,1.7068647451991207e-29,1.0800838995833344e-26,1.7216984340124087e-24
0.06,6.232254627956083e-09,2.494518863079997e-09,3.682510188431797e-09,1.2353883313026271e-11,7.932455759058417e-08,2.472895439750143e-07,6.343758014855232e-10,6.126731609904126e-15,3.9669864385071627e-07,3.9427654925315866e-12,3.945352348756388e-12,2.636233469748467e-07,8.580117228082397e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.935522250724655e-22,2.376026431650494e-22,2.43129595628978e-22,-1.755791370581721e-27,1.8404393082754034e-23,1.1441396582401044e-26,2.221145704728181e-23,1.7740024520602173e-26,3.6900490127649876e-24,2.2861588348226864e-26,6.875736441861198e-24,4.951141037977854e-22,-6.393387337280762e-32,-5.978925703285999e-29,1.9726026535988752e-29,1.2472121183540882e-26,1.983417094157403e-24
0.07,5.709082350425038e-09,2.7993181098787364e-09,3.3905136292126746e-09,1.1430349040880732e-11,7.302278125598988e-08,2.2879227790711723e-07,8.447109261406958e-10,8.239875886948845e-15,4.4390473622220445e-07,5.276341469076648e-12,4.435153908354926e-12,2.4151542951473795e-07,8.53683419263643e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.7662722666774614e-22,2.162188773331138e-22,2.2116698524345707e-22,-2.033939860961379e-27,1.6825128005471666e-23,1.0006042833139288e-26,2.029542192359559e-23,1.6137962081988372e-26,3.335929369424134e-24,2.0859040048810296e-26,6.243088202868259e-24,4.470745753954774e-22,-2.6296118709943114e-31,-1.199569339707112e-28,2.2174780756668197e-29,1.3995957388417392e-26,2.2194223157998852e-24
0.08,5.240354886493552e-09,3.077194962047242e-09,3.126539874800902e-09,1.058764412320298e-11,6.732526878122273e-08,2.1191352131390833e-07,1.0774677854717289e-09,1.060740552926499e-14,4.865051772908504e-07,6.7612736381148755e-12,4.886048474260139e-12,2.2171222953156482e-07,8.497393776119527e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.6116408767313447e-22,1.9677198036736322e-22,2.0120859227111869e-22,-2.309013539775192e-27,1.539287446329661e-23,8.674497891833676e-27,1.8556568460448422e-23,1.468235203099554e-26,3.0179179434186663e-24,1.9030276793336575e-26,5.67074972808357e-24,4.0401753970257067e-22,-4.504034913848228e-31,-1.7616041000752807e-28,2.4428969482637184e-29,1.5385163457399634e-26,2.4323965903199956e-24
0.09,4.819842622009835e-09,3.3304879345294138e-09,2.887745701654186e-09,9.81877619247268e-12,6.217076853424569e-08,1.9651331510329126e-07,1.3304663866680686e-09,1.3209234375554414e-14,5.249743382728645e-07,8.38425935497008e-12,5.300723746805398e-12,2.0394951847620914e-07,8.46145428205471e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.470381194487594e-22,1.7907853927514532e-22,1.8306157269486494e-22,-2.5785104791730585e-27,1.409315556431394e-23,7.440727707233715e-27,1.6977668691947034e-23,1.3359775550103206e-26,2.7321003060402548e-24,1.736051841786596e-26,5.1526703171754416e-24,3.6537611555231627e-22,-6.237588970568804e-31,-2.277010199220903e-28,2.6502033625901926e-29,1.665143356152447e-26,2.6247120353979222e-24
