Time,x1,x2,x3,x4,x5,x6,x7,A0,B0,C0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,K_AlB,K_AlB2,n,compartment
0.0,0.0,0.0,0.0,0.0,0.4615385,0.1754386,1.174,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.01,0.0003912344677598247,4.6131372142866537e-08,2.977299350499155e-05,2.7302742295166637e-08,0.4611174652359929,0.17504726479538346,1.1739701808751228,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.02,0.0007810955960769525,1.8303893662664202e-07,5.960793565362403e-05,1.0887548569648686e-07,0.46069768759278373,0.17465710361401504,1.1739402090254096,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.03,0.0011695895321471833,4.104775840892848e-07,8.950457373571228e-05,2.441978211625168e-07,0.46027916169629596,0.1742681115946264,1.17391008494868,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.04,0.0015567223458201565,7.282043845244355e-07,0.00011946265783203004,4.3275710136097165e-07,0.45986188223924646,0.1738802839355926,1.1738798091377833,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.05,0.0019425000728262732,1.1359770570264286e-06,0.00014948193910963291,6.740445063291572e-07,0.4594458439435578,0.173493615861104,1.1738493820838332,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.06,0.0023269287088115323,1.6335539827964797e-06,0.0001795621699667066,9.675558487538705e-07,0.459031041565373,0.17310810262550813,1.1738188042760505,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.07,0.0027100141910093674,2.2206945326154273e-06,0.00020970310460659118,1.3127936576381793e-06,0.45861746991072644,0.17272373952714273,1.1737880762008606,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.08,0.003091762491993381,2.8971574789581947e-06,0.00023990449614067196,1.7092563979941463e-06,0.45820512375546796,0.17234052183773169,1.1737571983463801,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.09,0.0034721795214866374,3.6627026706902457e-06,0.0002701660996323756,2.156449741888092e-06,0.4577939979291391,0.1719584448763589,1.1737261711976967,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.1,0.003851271153560526,4.517090569868765e-06,0.00030048767125448353,2.6538834447284765e-06,0.4573840872917403,0.17157750398898017,1.1736949952381757,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.11,0.00422904321423152,5.460082471808916e-06,0.00033086896868004476,3.201072750111941e-06,0.45697538674433835,0.17119769455779646,1.1736636709488482,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.12,0.004605501500574978,6.491440174257514e-06,0.000361309750480734,3.797536226227386e-06,0.4565678912127181,0.1708190119867983,1.173632198809345,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.13,0.004980651772378898,7.610926128926617e-06,0.0003918097763877101,4.44279672086411e-06,0.4561615956545126,0.17044145170805047,1.1736005792974833,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.14,0.005354499763426142,8.818303251318976e-06,0.0004223688069589894,5.1363800024611795e-06,0.4557564950496124,0.17006500917331763,1.1735688128897896,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.15,0.005727051172371881,1.0113335072506653e-05,0.00045298660384842076,5.877815859071744e-06,0.45535258440792065,0.16968967986083747,1.173536900061079,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.16,0.006098311672006974,1.1495785592520992e-05,0.0004836629295307239,6.66663699806524e-06,0.45494985876146427,0.16931545926840438,1.1735048412848768,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.17,0.00646828689990361,1.2965419442796568e-05,0.0005143975475877101,7.502380139683415e-06,0.45454831317236905,0.16894234292037422,1.1734726370329696,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
0.18,0.006836982464212506,1.4522001779022958e-05,0.000545190222527667,8.384585344647069e-06,0.4541479427279152,0.1685703263633192,1.173440287775693,0.4615385,0.1754386,1.174,0.484,0.07958,5.095e-06,2.656e-05,0.005489,3.226e-07,0.00301,1.011e-07,0.01685,0.1325,95000.0,3000.0,1.0,1.0
