data_set_value_component_enviroment_variable_time,data_set_value_component_P_variable_P,data_set_value_component_P_variable_V_p,data_set_value_component_P_variable_k_p,data_set_value_component_P_variable_IPR_3_flux,data_set_value_component_c_variable_c,data_set_value_component_J_flux_variable_J_flux,data_set_value_component_J_flux_variable_k_flux,data_set_value_component_J_flux_variable_b,data_set_value_component_J_flux_variable_k_1,data_set_value_component_J_pump_variable_J_pump,data_set_value_component_J_pump_variable_gamma,data_set_value_component_J_pump_variable_k_gamma,data_set_value_component_J_leak_variable_J_leak,data_set_value_component_J_leak_variable_beta,data_set_value_component_mu_variable_mu,data_set_value_component_mu_variable_k_mu,data_set_value_component_h_variable_h,data_set_value_component_h_variable_k_2,data_set_value_component_h_variable_tau_h
0.0,0.0,0.08,1.0,0.72,0.3,0.0,3.0,0.11,0.7,0.5524861878453039,1.0,0.27,0.15,0.15,0.0,0.01,1.0,0.7,0.2
0.1,0.07172578454146858,0.08,1.0,0.72,0.35056152932028983,1.1342271911219854,3.0,0.11,0.7,0.6276687300366536,1.0,0.27,0.15,0.15,0.9972972945397995,0.01,0.9314874980084479,0.7,0.2
0.2,0.14295254940520172,0.08,1.0,0.72,0.41316662631298345,1.1449972314353152,3.0,0.11,0.7,0.7007470991508803,1.0,0.27,0.15,0.15,0.9996578034350546,0.01,0.8670582209620361,0.7,0.2
0.30000000000000004,0.21374356184574428,0.08,1.0,0.72,0.4693287293687653,1.1302477695815834,3.0,0.11,0.7,0.7513383524252358,1.0,0.27,0.15,0.15,0.999897605553757,0.01,0.8064537330578624,0.7,0.2
0.4,0.28415049991648683,0.08,1.0,0.72,0.5189718678923357,1.101254832713425,3.0,0.11,0.7,0.7869864808832931,1.0,0.27,0.15,0.15,0.9999564151257244,0.01,0.7508504140376056,0.7,0.2
0.5,0.35421615978109766,0.08,1.0,0.72,0.5622812193728558,1.0652094542560653,3.0,0.11,0.7,0.8126253837194,1.0,0.27,0.15,0.15,0.9999774998653493,0.01,0.7011124902377126,0.7,0.2
0.6000000000000001,0.4239764103026363,0.08,1.0,0.72,0.5996477619232723,1.0270898012908878,3.0,0.11,0.7,0.8314362934789329,1.0,0.27,0.15,0.15,0.999986878930946,0.01,0.6575910203272689,0.7,0.2
0.7000000000000001,0.49346162928214293,0.08,1.0,0.72,0.6316077106769259,0.9900685629185887,3.0,0.11,0.7,0.845494642921636,1.0,0.27,0.15,0.15,0.9999916778369431,0.01,0.6201804301145282,0.7,0.2
0.8,0.562697784968348,0.08,1.0,0.72,0.6587721223266809,0.9559386277362091,3.0,0.11,0.7,0.8561791784864778,1.0,0.27,0.15,0.15,0.9999943872985011,0.01,0.588456674289365,0.7,0.2
0.9,0.6317072626886403,0.08,1.0,0.72,0.6817657951905505,0.9255290150592577,3.0,0.11,0.7,0.8644237001712477,1.0,0.27,0.15,0.15,0.999996033105347,0.01,0.5618200050273026,0.7,0.2
1.0,0.7005095047274534,0.08,1.0,0.72,0.7011848110313075,0.8990495412298612,3.0,0.11,0.7,0.8708729240066636,1.0,0.27,0.15,0.15,0.9999970909134682,0.01,0.5396054203602171,0.7,0.2
