Time,Minf,V,V1,V2,Ninf,V3,V4,lambdaN,lambdaN_bar,Iapp,gL,VL,gCa,VCa,gK,N,VK,C,musclefiber
0.0,0.000335350130466483,-50.0,10.0,15.0,0.0011594832518865283,-1.0,14.5,0.18673984677544206,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011594832518865283,-70.0,20.0,1.0
0.01,0.0003421190702151411,-49.85007159023495,10.0,15.0,0.0011836820798902803,-1.0,14.5,0.18584052260676012,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011595072229713698,-70.0,20.0,1.0
0.02,0.00034901790058095017,-49.70028700394607,10.0,15.0,0.0012083613926479608,-1.0,14.5,0.18494702122360263,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011595748955011565,-70.0,20.0,1.0
0.03,0.00035604876240830086,-49.55065063454244,10.0,15.0,0.001233529436966252,-1.0,14.5,0.1840593305340304,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011596881047830968,-70.0,20.0,1.0
0.04,0.00036321403503919436,-49.40116241931108,10.0,15.0,0.001259195326938689,-1.0,14.5,0.18317741193773926,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001159847191104698,-70.0,20.0,1.0
0.05,0.00037051614223737595,-49.25182220438757,10.0,15.0,0.0012853683506957592,-1.0,14.5,0.18230122659382592,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011600526294952228,-70.0,20.0,1.0
0.06,0.0003779575509104127,-49.10262979125961,10.0,15.0,0.0013120579661526355,-1.0,14.5,0.18143073570370494,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011603049124269986,-70.0,20.0,1.0
0.07,0.0003855407599859806,-48.953585170040334,10.0,15.0,0.0013392737613884265,-1.0,14.5,0.18056590186558377,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011606040664990005,-70.0,20.0,1.0
0.08,0.0003932683274120441,-48.80468799833635,10.0,15.0,0.0013670255518208885,-1.0,14.5,0.17970668604289908,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001160950887027883,-70.0,20.0,1.0
0.09,0.0004011428394365413,-48.65593822021092,10.0,15.0,0.0013953232702619833,-1.0,14.5,0.17885305115708136,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011613455202157707,-70.0,20.0,1.0
0.1,0.00040916693201542564,-48.50733565842539,10.0,15.0,0.0014241770440491242,-1.0,14.5,0.17800495971890043,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.00116178839502788,-70.0,20.0,1.0
0.11,0.00041734328934600606,-48.35888006446426,10.0,15.0,0.0014535971901334932,-1.0,14.5,0.1771623741283672,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011622801122249185,-70.0,20.0,1.0
0.12,0.00042567463462711563,-48.210571300518346,10.0,15.0,0.0014835941821461085,-1.0,14.5,0.17632525770774576,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011628210045128364,-70.0,20.0,1.0
0.13,0.00043416374094035204,-48.0624091529544,10.0,15.0,0.001514178689844714,-1.0,14.5,0.17549357363767334,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011634116300777947,-70.0,20.0,1.0
0.14,0.0004428134261752481,-47.914393437575896,10.0,15.0,0.0015453615611640825,-1.0,14.5,0.17466728555249697,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011640524436319253,-70.0,20.0,1.0
0.15,0.0004516265554390664,-47.766523968790864,10.0,15.0,0.0015771538311979971,-1.0,14.5,0.173846357362616,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011647439218480224,-70.0,20.0,1.0
0.16,0.00046060604200220956,-47.618800556246086,10.0,15.0,0.0016095667259206636,-1.0,14.5,0.1730307532337879,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011654866003441712,-70.0,20.0,1.0
0.17,0.0004697548476374491,-47.47122301171664,10.0,15.0,0.0016426116637229815,-1.0,14.5,0.17222043762321745,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011662809493890184,-70.0,20.0,1.0
0.18,0.0004790759832219438,-47.323791151257545,10.0,15.0,0.0016763002578980002,-1.0,14.5,0.1714153752886109,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001167127548065246,-70.0,20.0,1.0
0.19,0.0004885725100149396,-47.1765047868808,10.0,15.0,0.0017106443215714195,-1.0,14.5,0.17061553124014264,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011680269040195955,-70.0,20.0,1.0
0.2,0.000498247540254737,-47.02936372959495,10.0,15.0,0.0017456558701773317,-1.0,14.5,0.16982087075513827,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011689795071699318,-70.0,20.0,1.0
0.21,0.0005081042378197731,-46.882367791323176,10.0,15.0,0.0017813471241676648,-1.0,14.5,0.16903135938622055,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011699858635943544,-70.0,20.0,1.0
0.22,0.000518145819000615,-46.73551678515814,10.0,15.0,0.0018177305121243048,-1.0,14.5,0.16824696296027492,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011710466786852092,-70.0,20.0,1.0
0.23,0.000528375553475624,-46.588810522846074,10.0,15.0,0.0018548186746127349,-1.0,14.5,0.16746764756271537,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011721624283613332,-70.0,20.0,1.0
0.24,0.0005387967650216097,-46.44224881640723,10.0,15.0,0.0018926244670784964,-1.0,14.5,0.16669337954400404,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011733336352457173,-70.0,20.0,1.0
0.25,0.0005494128323623171,-46.29583147784498,10.0,15.0,0.0019311609632459703,-1.0,14.5,0.16592412551589203,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011745608415755508,-70.0,20.0,1.0
0.26,0.0005602271905619238,-46.149558311746496,10.0,15.0,0.0019704414604992393,-1.0,14.5,0.16515985231069172,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011758448650071062,-70.0,20.0,1.0
0.27,0.0005712433306137021,-46.003429132596544,10.0,15.0,0.002010479478711913,-1.0,14.5,0.1644005270699019,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011771861556244296,-70.0,20.0,1.0
0.28,0.0005824648012682232,-45.85744375143327,10.0,15.0,0.002051288767208892,-1.0,14.5,0.16364611717188163,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011785852915100134,-70.0,20.0,1.0
0.29,0.000593895209769435,-45.711601977940276,10.0,15.0,0.002092883307768245,-1.0,14.5,0.162896590240947,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001180042882700836,-70.0,20.0,1.0
0.3,0.0006055382234555484,-45.56590361175189,10.0,15.0,0.0021352773207719555,-1.0,14.5,0.1621519141011453,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001181559776295871,-70.0,20.0,1.0
0.31,0.0006173975686772359,-45.42034846752124,10.0,15.0,0.0021784852615921446,-1.0,14.5,0.16141205690264926,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011831364651005516,-70.0,20.0,1.0
0.32,0.0006294770333091781,-45.274936354465055,10.0,15.0,0.0022225218300562233,-1.0,14.5,0.16067698701446845,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011847735701645602,-70.0,20.0,1.0
0.33,0.0006417804675213357,-45.12966707868077,10.0,15.0,0.0022674019735841044,-1.0,14.5,0.15994667303478055,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011864717768666638,-70.0,20.0,1.0
0.34,0.0006543117852186864,-44.98454043770362,10.0,15.0,0.0023131408927656305,-1.0,14.5,0.15922108376219532,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011882319471593478,-70.0,20.0,1.0
0.35000000000000003,0.0006670749629384409,-44.83955624445321,10.0,15.0,0.0023597540376576465,-1.0,14.5,0.15850018831365245,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011900546257300538,-70.0,20.0,1.0
0.36,0.0006800740426107788,-44.69471430598737,10.0,15.0,0.002407257118177797,-1.0,14.5,0.1577839560155461,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011919404781511554,-70.0,20.0,1.0
0.37,0.0006933131327270803,-44.55001442199381,10.0,15.0,0.0024556661086974074,-1.0,14.5,0.15707235639515324,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011938903153497322,-70.0,20.0,1.0
0.38,0.0007067964093949719,-44.40545638482697,10.0,15.0,0.002504997252223251,-1.0,14.5,0.1563653591798465,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001195905092881467,-70.0,20.0,1.0
0.39,0.0007205281148223719,-44.26104000649822,10.0,15.0,0.0025552670551666212,-1.0,14.5,0.1556629344270402,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0011979853786238896,-70.0,20.0,1.0
0.4,0.0007345125608648195,-44.11676509102746,10.0,15.0,0.0026064923006310914,-1.0,14.5,0.15496505238625352,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0012001318980642082,-70.0,20.0,1.0
0.41000000000000003,0.0007487541293294542,-43.97263144249902,10.0,15.0,0.0026586900498420385,-1.0,14.5,0.15427168353691698,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0012023453754182998,-70.0,20.0,1.0
0.42,0.0007632572730227327,-43.82863886506173,10.0,15.0,0.002711877646295602,-1.0,14.5,0.15358279858646942,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.00120462653363071,-70.0,20.0,1.0
0.43,0.0007780265168123579,-43.68478716292884,10.0,15.0,0.002766072719959156,-1.0,14.5,0.15289836846847255,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.001206976094374653,-70.0,20.0,1.0
0.44,0.0007930664595682813,-43.54107613219682,10.0,15.0,0.0028212931946980935,-1.0,14.5,0.15221836430213664,0.066666666667,300.0,2.0,-50.0,4.0,100.0,8.0,0.0012093949352000087,-70.0,20.0,1.0
