Time,I,A,D_II,D_IA,R,aux,pi_I,d_r,d_A,d_II,d_IA,k_II,k_IA,B_d,f_A,gamma_I,K_aux,K_II,K_IA,f_c,w_A,w_I,w_D,d_I,pi_A,k_Am,kprime_IA,kprime_II,aux_basal,compartment_0000001,reac_DIA,reac_DII,reac_degrI,reac_degrA,reac_degrDIA,reac_degrDII,reac_DIAxA,reac_DIIxI,reac_degrR,reac_prodI,reac_prodA,reac_prodR
0.0,10.0,10.0,10.0,10.0,1.0,7.488454301096681e-12,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.0,0.0,3.744227150520302e-11,0.03,0.03,0.03,3.744227150520302e-11,3.744227150520302e-11,0.007,1.0,1.0,0.9090909090909092
0.01,10.00755876834699,10.00884441170652,10.000515450725342,10.000555447281762,1.0090271359239893,3.1107953990527903e-09,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.15854418057674025,0.146077994665319,1.55657338377403e-08,0.03002653323511956,0.030001666341845288,0.030001546352176025,1.5554840888300285e-08,1.5554778677748633e-08,0.007063189951467925,1.0090271359239893,1.0,0.9103632581198955
0.02,10.011854308792433,10.01641941616194,10.0020730629254,10.002380019836206,1.0180654188276295,1.3061172809969435e-08,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.2591316920110387,0.2164960712316173,6.538327878370523e-08,0.030049258248485818,0.03000714005950862,0.0300062191887762,6.532140612185892e-08,6.531940151325647e-08,0.007126457931793406,1.0180654188276295,1.0,0.9114593015829202
0.03,10.014442895231454,10.023170928761807,10.004117673372907,10.005027802263127,1.0271134057135993,2.9858620020917215e-08,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.32619487259786695,0.2478897681226897,1.49508718100821e-07,0.030069512786285422,0.03001508340678938,0.03001235302011872,1.4936815726331653e-07,1.493545696673707e-07,0.007189793839995196,1.0271134057135993,1.0,0.9124381856193229
0.04,10.016151801849285,10.029360167634488,10.006366279343917,10.008237576442616,1.0361701151645897,5.3503137253940736e-08,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.373218150021458,0.2596341242495015,2.6794775796927836e-07,0.030088080502903465,0.030024712729327847,0.030019098838031753,2.6773604003651016e-07,2.6768597990643125e-07,0.007253190806152128,1.0361701151645897,1.0,0.9133351386642643
0.05,10.017420239651472,10.035146120885715,10.008678799723935,10.011850354277398,1.0452348450194635,8.399472406495079e-08,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.40777231644653966,0.26192026053959694,4.2070518909907303e-07,0.030105438362657146,0.030035551062832195,0.030026036399171806,4.2047126862618673e-07,4.2033807171258707e-07,0.007316643915136245,1.0452348450194635,1.0,0.9141720430715065
0.06,10.018478916480221,10.04062963143114,10.010990334235572,10.015765292860278,1.0543070706811117,1.2133338067599198e-07,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.43418334207666476,0.26001645760298686,6.077878843388884e-07,0.03012188889429342,0.030047295878580835,0.03003297100270672,6.076232577950182e-07,6.073335768939043e-07,0.007380149494767782,1.0543070706811117,1.0,0.9149631063815341
0.07,10.019449629823937,10.045878327975858,10.013273830880879,10.019914763494617,1.0633863846554115,1.6551910619888588e-07,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4550242595478551,0.2566325757702401,8.292050364173315e-07,0.030137634983927575,0.03005974429048385,0.030039821492642636,8.29243530665677e-07,8.286939301413699e-07,0.00744370469258788,1.0633863846554115,1.0,0.9157180828600477
0.08,10.020394617041028,10.050939513885897,10.015521854588027,10.02425146282285,1.0724724620346513,2.165519010777217e-07,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4718655729187162,0.25308973534453116,1.0849675169828234e-06,0.030152818541657692,0.03007275438846855,0.03004656556376408,1.0853851205354994e-06,1.084439914110728e-06,0.007507307234242559,1.0724724620346513,1.0,0.9164439532924369
0.09,10.02134491860534,10.055847846157848,10.017736244752193,10.028740733856843,1.0815650383497641,2.7443176464636565e-07,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4857123767939697,0.24999153013514785,1.3750873077037402e-06,0.030167543538473545,0.03008622220157053,0.03005320873425658,1.3761021307404747e-06,1.3745921404728536e-06,0.007570955268448349,1.0815650383497641,1.0,0.9171459329598357
0.1,10.022315131002367,10.060629616486873,10.019922879226389,10.033356284909894,1.0906638955966919,3.391586966827731e-07,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4972375836279923,0.247571792855112,1.6995770923610483e-06,0.03018188884946062,0.030100068854729684,0.030059768637679167,1.7014494434105992e-06,1.699171416001398e-06,0.007634647269176843,1.0906638955966919,1.0,0.9178280406222117
