data_set_value_component_environment_variable_time,data_set_value_component_membrane_variable_Vm,data_set_value_component_membrane_variable_C,data_set_value_component_IP3_variable_IP3,data_set_value_component_IP3_variable_m3IP3,data_set_value_component_IP3_variable_m4IP3,data_set_value_component_IP3_variable_kIP3,data_set_value_component_IP3_variable_A,data_set_value_component_Ca_variable_Ca,data_set_value_component_Ca_variable_m3SR,data_set_value_component_Ca_variable_m4SR,data_set_value_component_Ca_variable_m3PMCA,data_set_value_component_Ca_variable_m4PMCA,data_set_value_component_Ca_variable_kSR_rel,data_set_value_component_Ca_variable_kPMCA,data_set_value_component_Jcat_variable_Jcat,data_set_value_component_Jcat_variable_ECa,data_set_value_component_Jcat_variable_Gcat,data_set_value_component_Jcat_variable_m3cat,data_set_value_component_Jcat_variable_m4cat,data_set_value_component_potassium_current_variable_i_K,data_set_value_component_potassium_current_variable_Gtot,data_set_value_component_potassium_current_variable_PoBKCa,data_set_value_component_potassium_current_variable_PoSKCa,data_set_value_component_potassium_current_variable_E_K,data_set_value_component_potassium_current_variable_a,data_set_value_component_potassium_current_variable_b,data_set_value_component_potassium_current_variable_c,data_set_value_component_potassium_current_variable_m3,data_set_value_component_potassium_current_variable_m4,data_set_value_component_repolarising_current_variable_i_R,data_set_value_component_repolarising_current_variable_GR,data_set_value_component_repolarising_current_variable_Vrest
0.0,-31.1,1.0,1.0,4.0,55.0,0.1733,0.211,50.0,1.1,0.3,-6.19,0.39,180.0,0.679,53.525999999999996,50.0,0.66,-6.18,0.37,224552.01718048195,6927.0,0.907306839545222,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,0.0,955.0,-31.1
0.1,-69.86282788876107,1.0,1.0052372060632824,4.0,55.0,0.1733,0.211,56.10946620157581,1.1,0.3,-6.19,0.39,180.0,0.679,79.10946640658231,50.0,0.66,-6.18,0.37,37018.51243108617,6927.0,0.5679440197613229,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37018.500633766824,955.0,-31.1
0.2,-69.8639425294011,1.0,1.0103465863714474,4.0,55.0,0.1733,0.211,62.35960459849749,1.1,0.3,-6.19,0.39,180.0,0.679,79.11020206940474,50.0,0.66,-6.18,0.37,37019.57562188944,6927.0,0.5681268074523202,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37019.56511557805,955.0,-31.1
0.30000000000000004,-69.86493108221617,1.0,1.0153303159904925,4.0,55.0,0.1733,0.211,68.74836449779632,1.1,0.3,-6.19,0.39,180.0,0.679,79.11085451426268,50.0,0.66,-6.18,0.37,37020.52023333918,6927.0,0.568289012019811,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37020.50918351644,955.0,-31.1
0.4,-69.86581641516817,1.0,1.0201905539191676,4.0,55.0,0.1733,0.211,75.27358956577774,1.1,0.3,-6.19,0.39,180.0,0.679,79.111438834011,50.0,0.66,-6.18,0.37,37021.364851833045,6927.0,0.568434258361262,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37021.3546764856,955.0,-31.1
0.5,-69.86661562330231,1.0,1.0249294256143906,4.0,55.0,0.1733,0.211,81.93306068058097,1.1,0.3,-6.19,0.39,180.0,0.679,79.11196631137953,50.0,0.66,-6.18,0.37,37022.12517948431,6927.0,0.5685653212519753,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37022.1179202537,955.0,-31.1
0.6000000000000001,-69.86734100408579,1.0,1.0295490083432746,4.0,55.0,0.1733,0.211,88.72446717311692,1.1,0.3,-6.19,0.39,180.0,0.679,79.11244506269662,50.0,0.66,-6.18,0.37,37022.81763309996,6927.0,0.5686843791443359,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37022.81065890192,955.0,-31.1
0.7000000000000001,-69.86800363125995,1.0,1.034051335610583,4.0,55.0,0.1733,0.211,95.64541151804477,1.1,0.3,-6.19,0.39,180.0,0.679,79.11288239663158,50.0,0.66,-6.18,0.37,37023.44988627865,6927.0,0.5687931415645994,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37023.443467853256,955.0,-31.1
0.8,-69.86861191065162,1.0,1.038438413199772,4.0,55.0,0.1733,0.211,102.69344220721031,1.1,0.3,-6.19,0.39,180.0,0.679,79.11328386103007,50.0,0.66,-6.18,0.37,37024.030237298866,6927.0,0.5688929943382725,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37024.0243746723,955.0,-31.1
0.9,-69.8691726412788,1.0,1.0427122062937282,4.0,55.0,0.1733,0.211,109.86604310541641,1.1,0.3,-6.19,0.39,180.0,0.679,79.113653943244,50.0,0.66,-6.18,0.37,37024.565736365155,6927.0,0.5689850706128713,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37024.55987242125,955.0,-31.1
1.0,-69.8696917659388,1.0,1.0468746576180945,4.0,55.0,0.1733,0.211,117.16066875317338,1.1,0.3,-6.19,0.39,180.0,0.679,79.11399656551961,50.0,0.66,-6.18,0.37,37025.06091223417,6927.0,0.5690703029566824,0.5,-80.0,53.3,-80.8,-6.4,0.00132,0.3,-37025.05563647155,955.0,-31.1
