Time,AcCoA,AcP,OAc,HOAc,LacI,Acs,Pta,HOAc_E,S0,kTCA,k1,KM1,k2,KM2,kAck_f,kAck_r,C,H,Keq,k3,alpha0,alpha1,alpha2,alpha3,Kg1,Kg2,Kg3,n,kd,compartment,V_gly,V_TCA,V_out,V_Pta,V_Ack,V_Acs,V_Ace,R_LacI,R_Acs,R_Pta,R_dLacI,R_dAcs,R_dPta
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.01,0.004382195011789104,0.00038471313786816904,9.931961006763125e-07,2.030071799782521e-14,2.2091210252460583e-13,4.418242050492117e-12,0.019994001199820022,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.043821950117891036,2.0300717997825212e-16,0.10887185478222716,0.00038371994176749274,3.510509754868309e-17,9.930945970863233e-12,1.480041982293204e-10,2.9600839645864078e-09,2.0,1.325472615147635e-14,2.65094523029527e-13,0.0011996400719892014
0.02,0.006678614717718907,0.002502894143417101,1.3610391680386396e-05,5.750856248271166e-13,2.007007462657776e-11,4.014014925315551e-10,0.039976009597120714,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.06678614717718907,5.750856248271166e-15,0.3203238305789881,0.0024892837517367147,4.3699904547396424e-14,1.360751625226226e-10,6.264478700714665e-09,1.252895740142933e-07,1.9999999999999991,1.2042044775946657e-12,2.4084089551893303e-11,0.0023985605758272428
0.03,0.006855680728154048,0.006590871382412264,5.735568620017717e-05,3.7840366315325185e-12,2.2826352282499453e-10,4.56527045649989e-09,0.059946032385425,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.06855680728154048,3.784036631532519e-14,0.49177075692356514,0.006533515696212087,2.0935529860944394e-12,5.733676601701951e-10,4.34395667095332e-08,8.68791334190664e-07,1.9999999999998956,1.369581136949967e-11,2.739162273899934e-10,0.0035967619431255
0.04,0.005841459124785941,0.011874095657046422,0.00014811602656886972,1.3618800519245617e-11,1.0930257399337087e-09,2.1860514798674176e-08,0.07990407675393393,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.058414591247859415,1.3618800519245616e-13,0.5671276481005613,0.011725979630477553,2.5864830766227048e-11,1.4804793256627349e-09,1.4099394887947224e-07,2.819878977589444e-06,1.9999999999976108,6.558154439602252e-11,1.3116308879204506e-09,0.004794244605236036
0.05,0.004600082258238183,0.017449870319656384,0.00029261623151779386,3.518821518630033e-11,3.2686505445430288e-09,6.537301089086057e-08,0.09985014988746788,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.04600082258238183,3.5188215186300334e-13,0.5688152546229172,0.01715725408813859,1.5258713798588737e-10,2.9244029044186235e-09,3.0449704698548534e-07,6.089940939709706e-06,1.9999999999786318,1.9611903267258172e-10,3.9223806534516345e-09,0.005991008993248072
0.06,0.0036181092790262574,0.022826023520876888,0.0004903695000747491,7.387417007795654e-11,7.354917039498972e-09,1.4709834078997946e-07,0.11978425896623401,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.036181092790262576,7.387417007795654e-13,0.5449926679790807,0.022335654020802138,5.742443992900525e-10,4.900001292243593e-09,5.21024635094777e-07,1.042049270189554e-05,1.9999999998918105,4.4129502236993833e-10,8.825900447398766e-09,0.007187055537974041
0.07,0.002952863950791361,0.0279171793815376,0.0007381966741317615,1.348376225619691e-10,1.381827044198387e-08,2.763654088396774e-07,0.13970641116530869,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.02952863950791361,1.348376225619691e-12,0.524244965943971,0.02717898270740584,1.6201364120936422e-09,7.375224860189515e-09,7.79362830509393e-07,1.558725661018786e-05,1.9999999996181108,8.290962265190322e-10,1.6581924530380643e-08,0.008382384669918521
0.08,0.0025062623827354033,0.0327973167974383,0.0010330905237845172,2.2291413501429466e-10,2.305121773632896e-08,4.6102435472657925e-07,0.15961661365379806,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.02506262382735403,2.2291413501429466e-12,0.5120013249368344,0.03176422627365379,3.771278416865044e-09,1.0319759531094457e-08,1.075652418705813e-06,2.1513048374116255e-05,1.9999999989372825,1.3830730641797375e-09,2.7661461283594754e-08,0.009576996819227883
0.09,0.0021885937346051544,0.03754126108275235,0.0013728812991156227,3.4267779097828074e-10,3.542764103182524e-08,7.08552820636505e-07,0.17951487359364401,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.021885937346051543,3.4267779097828075e-12,0.5054111746500068,0.03616837978363673,7.676679635984422e-09,1.3711679101607314e-08,1.4093264213938316e-06,2.818652842787663e-05,1.9999999974897644,2.1256584619095142e-09,4.251316923819029e-08,0.01077089241561864
