Time,species_1,species_2,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,compartment_1
0.0,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.01,0.005834146810767783,0.020329826417399867,0.025,1.0000217777680989,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.02,0.005891054400438403,0.020329826406876514,0.025,1.0000871109562472,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.03,0.005947397960823078,0.02032982664723958,0.025,1.0001959992160032,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.04,0.006003180817287137,0.02032982724616975,0.025,1.0003484419666349,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.05,0.006058410357941702,0.02032982843754666,0.025,1.000544438395129,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.06,0.006113090014187352,0.02032983032789812,0.025,1.0007839874562008,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.07,0.006167224810013251,0.020329833074754274,0.025,1.0010670878723085,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.08,0.0062208224602782435,0.020329836918009256,0.025,1.0013937381336708,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.09,0.006273886235952716,0.02032984195870247,0.025,1.001763936498286,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.1,0.006326421054181372,0.020329848349135586,0.025,1.0021776809919558,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.11,0.006378434414194841,0.02032985632049659,0.025,1.0026349694083119,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.12,0.0064299279594226605,0.0203298659234661,0.025,1.0031357993088443,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.13,0.006480909385799561,0.020329877394115025,0.025,1.0036801680229352,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.14,0.006531382467329081,0.020329890848684865,0.025,1.0042680726478939,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.15,0.006581353111665372,0.020329906467078614,0.025,1.004899510048995,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.16,0.00663082641915966,0.020329924405646477,0.025,1.0055744768595218,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.17,0.006679807425314036,0.02032994481689247,0.025,1.006292969480809,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.18,0.006728301290018666,0.02032996785791066,0.025,1.0070549840822922,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.19,0.006776312440400213,0.02032999366039787,0.025,1.0078605166015586,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.2,0.006823845800485735,0.020330022373261977,0.025,1.008709562744401,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.21,0.006870906589779696,0.020330054155700352,0.025,1.0096021179848749,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.22,0.006917499868853829,0.020330089161375815,0.025,1.0105381775653592,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.23,0.0069636295886618075,0.0203301275044896,0.025,1.0115177364966192,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.24,0.007009300339052567,0.02033016932196411,0.025,1.012540789557873,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.25,0.007054517356255381,0.020330214773709103,0.025,1.013607331296862,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.26,0.007099285456362449,0.020330264004692917,0.025,1.0147173560299216,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.27,0.007143608590272351,0.02033031712840805,0.025,1.0158708578420592,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.28,0.007187490877178878,0.020330374264469594,0.025,1.017067830587031,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.29,0.007230937389463854,0.020330435567169736,0.025,1.0183082678874251,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.3,0.0072739527120620935,0.020330501173067284,0.025,1.0195921631347462,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.31,0.00731654083955822,0.020330571196967493,0.025,1.0209195094895025,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.32,0.007358705561963416,0.020330645746137407,0.025,1.0222902998812984,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.33,0.007400451753394946,0.020330724967791772,0.025,1.0237045270089278,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.34,0.007441783801377053,0.02033080899121511,0.025,1.0251621833404705,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.35000000000000003,0.007482705695204718,0.020330897931014162,0.025,1.026663261113394,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.36,0.0075232209557704,0.02033099188453149,0.025,1.0282077523346553,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.37,0.007563334282791928,0.02033109099255831,0.025,1.0297956487808084,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.38,0.007603049889175199,0.02033119537794312,0.025,1.0314269419981132,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.39,0.007642371725406691,0.020331305153935865,0.025,1.0331016233026473,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.4,0.007681303056233314,0.020331420408704014,0.025,1.0348196837804229,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.41000000000000003,0.007719848432877374,0.020331541277470756,0.025,1.0365811142875034,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.42,0.0077580119054814125,0.020331667877131157,0.025,1.0383859054501272,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.43,0.0077957973252537095,0.02033180031739573,0.025,1.0402340476648302,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.44,0.007833207406605376,0.020331938666919225,0.025,1.0421255310985746,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.45,0.007870246673568547,0.02033208305971138,0.025,1.04406034568888,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.46,0.007906918975876816,0.020332233605429437,0.025,1.0460384811439554,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.47000000000000003,0.007943228163608524,0.020332390413743098,0.025,1.048059926942837,0.5,7.0,1.25,15.0,1.0,50.0,1.0
