Time,P0,T0,P1,T1,P2,T2,CC,Cn,Mp,Mt,Pt,Tt,V_mT,V_dT,Cell,compartment_0000002,P0_to_P1,T0_to_T1,P1_to_P0,T1_to_T0,P1_to_P2,T1_to_T2,P2_to_P1,T2_to_T1,P0_degradation,T0_degradation,P1_degradation,T1_degradation,P2_degradation,T2_degradation,PT_complex_formation,PT_complex_nucleation,PT_complex_degradation,PTnucl_complex_degradation,Mp_production,Mt_production,P0_production,T0_production,Mp_degradation,Mt_degradation
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,4.3900813730240386e-05,4.3900813730240386e-05,5.823391921463729e-07,5.823391921463729e-07,5.738466163159921e-09,5.738466163159921e-09,4.582656494821652e-20,2.9012024537201633e-23,0.009831970964330005,0.009831970964330005,4.4488891388549967e-05,4.4488891388549967e-05,0.7,2.0,1.0,1.0,0.00017559940044267657,0.00017559940044267657,2.911695112934775e-07,2.911695112934775e-07,2.32935609034782e-06,2.32935609034782e-06,2.869233073347462e-09,2.869233073347462e-09,4.3900813730240387e-07,4.3900813730240387e-07,5.823391921463729e-09,5.823391921463729e-09,5.7442044646731155e-08,5.7442044646731155e-08,3.948849674790868e-17,2.749013656402247e-20,4.582656494821652e-22,2.901202453720163e-25,1.0,1.0,0.008848773867897005,0.008848773867897005,0.032897800376967164,0.032897800376967164
0.02,0.00017142224193130538,0.00017142224193130538,4.5234621301592435e-06,4.5234621301592435e-06,8.77935078129338e-08,8.77935078129338e-08,2.1226164549425422e-17,2.674795137535105e-20,0.019354810491979846,0.019354810491979846,0.0001760334975692988,0.0001760334975692988,0.7,2.0,1.0,1.0,0.0006856302015920752,0.0006856302015920752,2.2617259496637806e-06,2.2617259496637806e-06,1.8093807597310245e-05,1.8093807597310245e-05,4.389675197954198e-08,4.389675197954198e-08,1.7142224193130538e-06,1.7142224193130538e-06,4.5234621301592436e-08,4.5234621301592436e-08,8.788126278226358e-07,8.788126278226358e-07,9.236504318189948e-15,1.2730349139380182e-17,2.1226164549425423e-19,2.674795137535105e-22,1.0,1.0,0.01741932944278186,0.01741932944278186,0.061958171884990726,0.061958171884990726
0.03,0.0003767348030828025,0.0003767348030828025,1.4828821958005009e-05,1.4828821958005009e-05,4.2531006385749624e-07,4.2531006385749624e-07,7.469738348789153e-16,1.3944968187966077e-18,0.028603281481233374,0.028603281481233374,0.00039198893510541336,0.00039198893510541336,0.7,2.0,1.0,1.0,0.0015066554075670682,0.0015066554075670682,7.414356005919932e-06,7.414356005919932e-06,5.9314848047359457e-05,5.9314848047359457e-05,2.1265498670659512e-07,2.1265498670659512e-07,3.767348030828025e-06,3.767348030828025e-06,1.482882195800501e-07,1.482882195800501e-07,4.257344694800249e-06,4.257344694800249e-06,2.1661819620123368e-13,4.479054015635898e-16,7.469738348789153e-18,1.3944968187966078e-20,1.0,1.0,0.02574295333311004,0.02574295333311004,0.08787137676582225,0.08787137676582225
0.04,0.0006545321433658589,0.0006545321433658589,3.415352247800106e-05,3.415352247800106e-05,1.2867969718072432e-06,1.2867969718072432e-06,9.114268792855291e-15,2.258588065508401e-17,0.03760610072977693,0.03760610072977693,0.000689972462824804,0.000689972462824804,0.7,2.0,1.0,1.0,0.0026172720291279374,0.0026172720291279374,1.7076469628205882e-05,1.7076469628205882e-05,0.00013661175702564705,0.00013661175702564705,6.433980719422763e-07,6.433980719422763e-07,6.545321433658589e-06,6.545321433658589e-06,3.415352247800106e-07,3.415352247800106e-07,1.2880754896000852e-05,1.2880754896000852e-05,1.981547174707036e-12,5.464044099582158e-15,9.114268792855291e-17,2.2585880655084007e-19,1.0,1.0,0.03384549065679924,0.03384549065679924,0.11116560062767031,0.11116560062767031
0.05,0.0009999623356920363,0.0009999623356920363,6.483678817869762e-05,6.483678817869762e-05,3.008540166704211e-06,3.008540166704211e-06,6.275642485318839e-14,1.9565529556213653e-16,0.04638731695419607,0.04638731695419607,0.0010678076641003902,0.0010678076641003902,0.7,2.0,1.0,1.0,0.003997850492809876,0.003997850492809876,3.2417343171142556e-05,3.2417343171142556e-05,0.00025933874536914045,0.00025933874536914045,1.5042678205270255e-06,1.5042678205270255e-06,9.999623356920363e-06,9.999623356920363e-06,6.483678817869762e-07,6.483678817869762e-07,3.011503450982012e-05,3.011503450982012e-05,1.0823922866695207e-11,3.7614723852800605e-14,6.275642485318839e-16,1.9565529556213655e-18,1.0,1.0,0.04174858525877646,0.04174858525877646,0.13225280723214106,0.13225280723214106
0.06,0.0014085725557192014,0.0014085725557192014,0.00010893238092453063,0.00010893238092453063,5.976483412553102e-06,5.976483412553102e-06,2.991307872305477e-13,1.1255607557765323e-15,0.05496730537437795,0.05496730537437795,0.0015234814203565414,0.0015234814203565414,0.7,2.0,1.0,1.0,0.00563032486233637,0.00563032486233637,5.4463224057930585e-05,5.4463224057930585e-05,0.0004357057924634447,0.0004357057924634447,2.9882327767147395e-06,2.9882327767147395e-06,1.4085725557192015e-05,1.4085725557192015e-05,1.0893238092453062e-06,1.0893238092453062e-06,5.982281309532347e-05,5.982281309532347e-05,4.268254630428852e-11,1.792533601871733e-13,2.991307872305477e-15,1.1255607557765323e-17,1.0,1.0,0.04947057483694016,0.04947057483694016,0.15145966406442335,0.15145966406442335
0.07,0.0018762632403217902,0.0018762632403217902,0.00016823590345352275,0.00016823590345352275,1.0610908245917023e-05,1.0610908245917023e-05,1.1076883487693485e-12,4.892460522298125e-15,0.06336350974682922,0.06336350974682922,0.002055110053133811,0.002055110053133811,0.7,2.0,1.0,1.0,0.007498018832731613,0.007498018832731613,8.41108764921129e-05,8.41108764921129e-05,0.0006728870119369032,0.0006728870119369032,5.305425975264397e-06,5.305425975264397e-06,1.87626324032179e-05,1.87626324032179e-05,1.6823590345352274e-06,1.6823590345352274e-06,0.00010620956227159757,0.00010620956227159757,1.3444503555466223e-10,6.636345171571495e-13,1.1076883487693486e-14,4.892460522298125e-17,1.0,1.0,0.0570271587721463,0.0570271587721463,0.16904898187583675,0.16904898187583675
0.08,0.0023992500186463717,0.0023992500186463717,0.00024430915685747477,0.00024430915685747477,1.7353698775263755e-05,1.7353698775263755e-05,3.41083716167523e-12,1.7338936520272906e-14,0.07159099849972535,0.07159099849972535,0.0026609128777072863,0.0026609128777072863,0.7,2.0,1.0,1.0,0.009585501067777688,0.009585501067777688,0.00012213965851024265,0.00012213965851024265,0.0009771172680819412,0.0009771172680819412,8.676774100569836e-06,8.676774100569836e-06,2.3992500186463717e-05,2.3992500186463717e-05,2.4430915685747477e-06,2.4430915685747477e-06,0.00017369546850373803,0.00017369546850373803,3.593345311221037e-10,2.0430345097010836e-12,3.4108371616752297e-14,1.7338936520272905e-16,1.0,1.0,0.06443189864975281,0.06443189864975281,0.1852349081352928,0.1852349081352928
0.09,0.0029740312679258623,0.0029740312679258623,0.0003385021793921524,0.0003385021793921524,2.6657676271069982e-05,2.6657676271069982e-05,9.11795193299928e-12,5.249091719089004e-14,0.07966289602649455,0.07966289602649455,0.0033391911327595274,0.0033391911327595274,0.7,2.0,1.0,1.0,0.01187846161357663,0.01187846161357663,0.00016922244861224754,0.00016922244861224754,0.0013537795888979803,0.0013537795888979803,1.3328660479976892e-05,1.3328660479976892e-05,2.9740312679258624e-05,2.9740312679258624e-05,3.3850217939215244e-06,3.3850217939215244e-06,0.00026680781262351815,0.00026680781262351815,8.472872738480015e-10,5.4602729763613905e-12,9.11795193299928e-14,5.249091719089004e-16,1.0,1.0,0.0716966064238451,0.0716966064238451,0.20019393196632132,0.20019393196632132
