MAPK_1_task1,_1_task1
0.0,0.0
0.008674337437907706,1.0
0.06718088271244065,2.0
0.25173837384036407,3.0
0.6404061578632888,4.0
1.1049067681068714,5.0
1.3859801314996243,6.0
1.4301595454406442,7.0
1.3211481334791129,8.0
1.1637304723390414,9.0
1.0103408887261869,10.0
0.8714994876012407,11.0
0.7452957961429284,12.0
0.6377708716558049,13.0
0.5487007782249358,14.0
0.4753830356439994,15.0
0.41478894331157834,16.0
0.36427686222692207,17.0
0.3217356646482588,18.0
0.28553582638931574,19.0
0.2544338797091952,20.0
0.2274807872070981,21.0
0.2039474637529469,22.0
0.18326824767261082,23.0
0.16499894181876118,24.0
0.1487861914187832,25.0
0.13434508938648212,26.0
0.12144281420736322,27.0
0.10988660825382748,28.0
0.09951490015731444,29.0
0.09019070389301873,30.0
0.08179667047964935,31.0
0.0742313548965613,32.0
0.06740636846578393,33.0
0.06124418216902584,34.0
0.0556764157266441,35.0
0.05064248339867556,36.0
0.04608850965234641,37.0
0.04196644727204846,38.0
0.03823334965381862,39.0
0.034850761857107844,40.0
0.03178420476441778,41.0
0.029002732373854197,42.0
0.026478548228526338,43.0
0.02418666967271725,44.0
0.02210463267487235,45.0
0.020212229968797388,46.0
0.018491278340287513,47.0
0.016925410784365436,48.0
0.01549989076603819,49.0
0.014201445680640171,50.0
0.013018117476694522,51.0
0.011939128700175857,52.0
0.010954762157965946,53.0
0.010056253048132168,54.0
0.009235692065241082,55.0
0.00848593851067391,56.0
0.007800542234508662,57.0
0.00717367388633273,58.0
0.006600062141843646,59.0
0.006074937587820803,60.0
0.005593982391793806,61.0
0.005153285151943187,62.0
0.004749300528980766,63.0
0.004378812968154476,64.0
0.004038904289884214,65.0
0.0037269245017944493,66.0
0.0034404657212906155,67.0
0.0031773387625687495,68.0
0.002935552062703664,69.0
0.0027132928272212997,70.0
0.002508910011339398,71.0
0.0023208990886093447,72.0
0.002147888298050492,73.0
0.0019886262836979426,74.0
0.0018419709458625624,75.0
0.0017068793925883422,76.0
0.0015823988764802031,77.0
0.001467658603692868,78.0
0.00136186233466114,79.0
0.0012642816926097152,80.0
0.0011742501124812612,81.0
0.0010911573463253058,82.0
0.0010144445011587267,83.0
0.0009435995268564053,84.0
0.0008781531252607222,85.0
0.0008176750341582336,86.0
0.0007617706501388539,87.0
0.0007100779581305134,88.0
0.0006622647377030969,89.0
0.0006180260196803892,90.0
0.0005770817697937248,91.0
0.000539174776775266,92.0
0.0005040687277419379,93.0
0.000471546452345871,94.0
0.00044140831914701997,95.0
0.000413470773464659,96.0
0.00038756499883172297,97.0
0.0003635356970500932,98.0
0.00034123997016883797,99.0
0.0003205463005978676,100.0
