value_component_environment_variable_time,value_component_uninfected_CD4_variable_T,value_component_uninfected_CD4_variable_s,value_component_uninfected_CD4_variable_lambda,value_component_uninfected_CD4_variable_Tmax,value_component_uninfected_CD4_variable_mu,value_component_uninfected_long_lived_cells_variable_M,value_component_uninfected_long_lived_cells_variable_lambda_M,value_component_uninfected_long_lived_cells_variable_mu_M,value_component_productively_infected_CD4_variable_T1_star,value_component_productively_infected_CD4_variable_m11,value_component_productively_infected_CD4_variable_k1,value_component_productively_infected_CD4_variable_m21,value_component_productively_infected_CD4_variable_k2,value_component_productively_infected_CD4_variable_delta1,value_component_productively_infected_CD4_variable_T2_star,value_component_productively_infected_CD4_variable_m22,value_component_productively_infected_CD4_variable_m12,value_component_productively_infected_CD4_variable_delta2,value_component_productively_infected_long_lived_cells_variable_M1_star,value_component_productively_infected_long_lived_cells_variable_k1_M,value_component_productively_infected_long_lived_cells_variable_k2_M,value_component_productively_infected_long_lived_cells_variable_delta1_M,value_component_productively_infected_long_lived_cells_variable_M2_star,value_component_productively_infected_long_lived_cells_variable_delta2_M,value_component_virus_strain1_variable_V1_I,value_component_virus_strain1_variable_N1,value_component_virus_strain1_variable_N1_M,value_component_virus_strain1_variable_V1,value_component_virus_strain1_variable_c1,value_component_virus_strain2_variable_V2_I,value_component_virus_strain2_variable_N2,value_component_virus_strain2_variable_N2_M,value_component_virus_strain2_variable_c2,value_component_virus_strain2_variable_V2,value_component_drug_parameters_variable_r1,value_component_drug_parameters_variable_r2,value_component_drug_parameters_variable_p1,value_component_drug_parameters_variable_p2
0.0,178.81,0.0,0.01,450.0,0.0014,49.2,2.0,0.04,1.19,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.004,1.0,3.4e-05,0.69,0.49,4.67e-09,4.67e-09,0.062,0.0017,0.062,133500.0,480.1,534.4,133500.0,3.07,450.0,475.3,529.0,3.07,450.0,0.9,0.25,0.99,0.25
0.1,178.88503788253385,0.0,0.01,450.0,0.0014,49.2029233699719,2.0,0.04,1.117460687493141,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.003905517197746134,1.0,3.4e-05,0.69,0.4872346686610739,4.67e-09,4.67e-09,0.062,0.0016961580428982448,0.062,98209.7205445897,480.1,534.4,98243.62207569557,3.07,331.13019568664095,475.3,529.0,3.07,331.1593117340066,0.9,0.25,0.99,0.25
0.2,178.96201771492494,0.0,0.01,450.0,0.0014,49.20590649256517,2.0,0.04,1.0479618794399292,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.003771902694727563,1.0,3.4e-05,0.69,0.484416846835197,4.67e-09,4.67e-09,0.062,0.001690579615394919,0.062,72248.32050539344,480.1,534.4,72305.14971158694,3.07,243.6808586874938,475.3,529.0,3.07,243.73056835522692,0.9,0.25,0.99,0.25
0.30000000000000004,179.04043429956383,0.0,0.01,450.0,0.0014,49.20893025223176,2.0,0.04,0.9817750721563179,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.0036137603065039196,1.0,3.4e-05,0.69,0.4815652496504055,4.67e-09,4.67e-09,0.062,0.0016837406283809172,0.062,53149.777819620664,480.1,534.4,53221.55187626781,3.07,179.3455509643397,475.3,529.0,3.07,179.4093643991015,0.9,0.25,0.99,0.25
0.4,179.11991542951858,0.0,0.01,450.0,0.0014,49.21198059881963,2.0,0.04,0.9190284298001817,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.0034415524934485247,1.0,3.4e-05,0.69,0.47869361600452043,4.67e-09,4.67e-09,0.062,0.0016759910990495797,0.062,39099.916195886806,480.1,534.4,39180.858152818546,3.07,132.01374406630217,475.3,529.0,3.07,132.0867539606549,0.9,0.25,0.99,0.25
0.5,179.20018679233405,0.0,0.01,450.0,0.0014,49.215047208833454,2.0,0.04,0.8597494192126268,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.0032627131627987766,1.0,3.4e-05,0.69,0.4758120238788263,4.67e-09,4.67e-09,0.062,0.001667588426094945,0.062,28764.11839730174,480.1,534.4,28850.07615093761,3.07,97.19035236045299,475.3,529.0,3.07,97.2688778995206,0.9,0.25,0.99,0.25
0.6000000000000001,179.28104614388863,0.0,0.01,450.0,0.0014,49.218122500509494,2.0,0.04,0.8038958581687207,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.003082465193810119,1.0,3.4e-05,0.69,0.4729278580179009,4.67e-09,4.67e-09,0.062,0.0016587218700384635,0.062,21160.572733288616,480.1,534.4,21248.589203634012,3.07,71.56869643622414,475.3,529.0,3.07,71.65000310069647,0.9,0.25,0.99,0.25
0.7000000000000001,179.3623442998718,0.0,0.01,450.0,0.0014,49.221200909093504,2.0,0.04,0.7513784686627778,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.0029044209086007996,1.0,3.4e-05,0.69,0.4700465219620897,4.67e-09,4.67e-09,0.062,0.001649530565402505,0.062,15567.009209065965,480.1,534.4,15655.004518389445,3.07,52.716309029216376,475.3,529.0,3.07,52.7983891540587,0.9,0.25,0.99,0.25
0.8,179.44397114660438,0.0,0.01,450.0,0.0014,49.22427835367601,2.0,0.04,0.7020771959018152,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.002731022823534264,1.0,3.4e-05,0.69,0.46717196187651006,4.67e-09,4.67e-09,0.062,0.0016401167713562515,0.062,11452.08989808796,480.1,534.4,11538.626485273857,3.07,38.84380876084524,475.3,529.0,3.07,38.925210417666065,0.9,0.25,0.99,0.25
0.9,179.52584534496768,0.0,0.01,450.0,0.0014,49.22735184494898,2.0,0.04,0.6558529586944885,1.0,3.43e-08,3.4e-05,3.43e-08,0.69,0.0025638669602419686,1.0,3.4e-05,0.69,0.4643070519257425,4.67e-09,4.67e-09,0.062,0.001630555619646312,0.062,8424.936035213736,480.1,534.4,8509.045173002718,3.07,28.634879290564307,475.3,529.0,3.07,28.714573382216624,0.9,0.25,0.99,0.25
