Time,Akt,DEPTOR,iIRS,IR,IRS,mTORC1,mTORC1_DEPTOR,mTORC2,mTORC2_DEPTOR,pAkt,pDEPTOR,pIR,pIRS,pmTORC1,pmTORC2
0.0,100.0,350.0,0.0,50.0,100.0,250.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,99.88621244823447,67.58133963581804,0.00013310005215995163,48.82845088554539,99.86001392366404,158.25194270170508,91.74632714319014,9.295201998954774,190.6672857327336,0.11378755176547764,0.005047488256392147,1.1715491144546082,0.13985297628384272,0.0017301551035722074,0.037512268309331874
7.2,99.66805168488554,39.00091296724894,0.0009262161657259918,47.78206718509342,99.47313473026287,133.8844671377421,116.11023850421257,5.075308511745675,194.88132921881027,0.3319483151144407,0.007519309726328824,2.2179328149065958,0.5259390535714396,0.00529435804412751,0.04336226944166477
10.8,99.37607594416576,26.962393442095888,0.0026071230408835477,46.84266780352368,98.88325903965152,121.71061169581456,128.27932483299097,5.193556203834799,194.7495527585813,0.6239240558341937,0.008728966330048528,3.157332196476333,1.114133837307649,0.010063471193332965,0.05689103758159938
14.4,98.94044405771997,20.709639845600034,0.005524214824346244,45.9957427123872,98.1269550875673,114.56314740042137,135.41960903469771,6.057612816430067,193.85947470074382,1.0595559422799596,0.011276418956549924,4.004257287612831,1.8675206976084069,0.01724356487972262,0.08291248282376946
18.0,98.3107647312614,17.172020546006312,0.010259349437306936,45.22948774468638,97.23442493906688,109.9456824767856,140.0264930123244,7.095180479311077,192.78641074181215,1.6892352687385257,0.015075699855197171,4.77051225531365,2.7553157114958493,0.027824510888716843,0.11840877887442063
21.6,97.4625353982681,15.059131073375092,0.017531193892868915,44.534146081164906,96.23058020329442,106.74294808709273,143.21458833286334,8.133221228013106,191.70660683334697,2.537464601731837,0.019673760412593742,5.4658539188351245,3.7518886028127523,0.04246358004268641,0.16017193863750334
25.2,96.38880574660267,13.736349966467733,0.028122814943477185,43.90154309131818,95.13598304909908,104.39231201896904,145.54605340807657,9.1016093042071,190.6928509503412,3.611194253397287,0.024745675112402617,6.098456908681849,4.835894135957521,0.0616345729530394,0.20553974544927012
28.8,95.09300997917771,12.868292916629821,0.04284739445494378,43.32475129372439,93.9676233915427,102.58797973964417,147.3262659073728,9.9722134976286,189.77536804966,4.906990020822259,0.03007312633540093,6.675248706275614,5.989529214002415,0.0857543529817888,0.25241845270900026
32.4,93.58391854712694,12.271196495156378,0.06254149139863154,42.797842114383386,92.73955271395837,101.15393705972099,148.73078635762025,10.738226533757429,188.96251786953295,6.416081452873008,0.03549927768846088,7.202157885616638,7.197905794643048,0.11527658265756523,0.299255596707176
