Time,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA,r_1,b_1,beta_1,m_1,delta_1,r_2,beta_2,k_2,b_2,mu_2,beta_3,k_3,m_3,r_3,mu_3,beta_4,k_4,mu_4,r_4,m_4,beta_5,k_5,mu_5,D_0,p,k,mu_6,compartment,PCC_Tumor_Growth,PCC_Tumor_Killing,PSC_Tumor_Growth,PSC_Natural_Death,Effector_Cells_Production,Effector_Cells_Apoptosis,Effector_Cells_Production_Constant,TPC_Production,TPC_Decay,TPC_Production_PSC,TSC_Production,TSC_Decay,siRNA_Decay,siRNA_Dose
0.0,1000000000.0,5600000.0,190000000.0,50000.0,9.4,1.0,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,19310997.920815997,182390880.4559772,10811.419623097543,84000.0,1.058842856645201e-05,3800000.0,3500.0,0.1,1700.0000000000002,786516853.849514,1385614385.6143856,0.31960000000000005,0.66,50000000000.0
0.5,934953249.2961317,5564687.544390226,188111220.97467688,373718094.87756044,683496732.0169151,21293657302.98233,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,18066924.29977734,122907450.9666498,15308.738597675068,83470.31316585338,2.065341486316372,3762224.4194935374,3500.0,0.1,12706415.225837056,725150514.1034474,1371744733.0886304,23238888.888575114,14053813819.968338,50000000000.0
1.0,890545549.9511617,5531751.673645882,186241230.09780297,715571392.4817891,1348636612.926843,36602169149.20927,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,17216613.27302257,92809921.77390705,19318.338931998755,82976.27510468823,2.0441394405748983,3724824.601956059,3500.0,0.1,24329427.344380833,681564910.8111987,1358036031.2917657,45853644.83951266,24157431638.47812,50000000000.0
1.5,857454394.9561908,5500961.539101069,184389841.02936226,1032733265.7299511,1995806001.510314,47607817299.65084,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,16582473.010209797,74668746.24023013,22950.434774160956,82514.42308651604,2.01500576380207,3687796.8205872453,3500.0,0.1,35112931.034818344,647945198.7200508,1344477851.9224317,67857404.05135068,31421159417.769558,50000000000.0
2.0,831495289.6103525,5472131.643984476,182556874.6056498,1329578914.8430276,2625380867.7453623,55520029449.875114,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,16084697.903823582,62553525.50595237,26274.980968873126,82081.97465976713,1.9820897864948344,3651137.492112996,3500.0,0.1,45205683.10466294,620741169.5058216,1331064376.543104,89262949.50334233,36643219436.91758,50000000000.0
2.5,810432429.3931915,5445107.0424258,180742145.84148094,1609111247.6524994,3237728493.996777,61208306282.498276,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,15680609.66934137,53895794.830767885,29341.14271359518,81676.605636387,1.9472407785414154,3614842.916829619,3500.0,0.1,54709782.420184985,598032307.488243,1317791629.4772832,110082768.79589042,40397482146.44886,50000000000.0
3.0,792934174.5872306,5419755.11458983,178945473.56434506,1873540465.4327526,3833208261.309856,65297737181.78922,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,15344771.097113913,47403648.48186552,32185.703798718765,81296.32671884744,1.911503758790448,3578909.4712869013,3500.0,0.1,63700375.824713595,578659987.1884536,1304656604.0435746,130329080.8845351,43096506539.98089,50000000000.0
3.5,778143456.482177,5395960.413512014,177166678.5883271,2124575294.4067426,4412172146.404776,68237732971.87646,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,15060800.353687791,42356683.87351461,34837.38955178386,80939.4062026802,1.8755166588318564,3543333.5717665423,3500.0,0.1,72235560.00982925,561868864.4546255,1291656832.4788232,150013852.97776237,45036903761.43846,50000000000.0
4.0,765477557.1257033,5373621.190938154,175405582.88553092,2363584364.1490064,4974965059.542107,70351372483.7793,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,14817553.660518639,38321701.39199132,37319.324448017964,80604.3178640723,1.8396834259660524,3508111.6577106183,3500.0,0.1,80361868.38106622,547138594.2458222,1278790176.7895648,169148812.02443165,46431905839.294334,50000000000.0
4.5,754522744.5485038,5352646.909271616,173662010.36000076,2591694216.277255,5521925095.296098,71870920663.67444,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,14607115.231200507,35022652.72008409,39650.55821611609,80289.70363907423,1.8042634781327305,3473240.2072000154,3500.0,0.1,88117603.35342668,534094845.2582447,1266054721.2781527,187745453.24006733,47434807638.02513,50000000000.0
5.0,744974904.5544332,5332956.396165075,171935786.6534833,2809852210.143505,6053383740.039688,72963368394.19739,0.0195,1.02e-11,1.7857e-12,1000000000.0,0.96,0.00195,0.125,56000000000.0,1.7857e-09,0.015,124.5,20000000000.0,1000000.0,3500.0,0.02,5.85,1000000.0,0.034,12500.0,89000000000.0,7.3,1000000.0,0.034,50000000000.0,0.9,1.0,0.66,1.0,14423664.135548038,32275354.953196894,41847.06788331059,79994.34594247612,1.7694230860598303,3438715.733069666,3500.0,0.1,95534975.14487918,522458870.72935736,1253448704.4114263,205815047.16134942,48155823140.17028,50000000000.0
