_1_task1,x_PCC_1_task1
128.5,3758357367.1683307
129.0,3794162149.673391
129.5,3830313446.152035
130.0,3866814798.674877
130.5,3903669783.8603578
131.0,3940882011.1134167
131.5,3978455120.1056657
132.0,4016392778.0914636
132.5,4054698682.804152
133.0,4093376551.0572205
133.5,4132430124.2226853
134.0,4171863162.2844234
134.5,4211679439.1451325
135.0,4251882747.735217
135.5,4292476885.512204
136.0,4333465666.179751
136.5,4374852901.558484
137.0,4416642414.295378
137.5,4458838026.766446
138.0,4501443557.60642
138.5,4544462823.9138
139.0,4587899639.628553
139.5,4631757809.156647
140.0,4676041127.410667
140.5,4720753384.609799
141.0,4765898356.71921
141.5,4811479808.809028
142.0,4857501493.209837
142.5,4903967147.863234
143.0,4950880498.8359375
143.5,4998245257.0998535
144.0,5046065120.261235
144.5,5094343773.424277
145.0,5143084887.386934
145.5,5192292122.719964
146.0,5241969127.224993
146.5,5292119536.075176
147.0,5342746977.145085
147.5,5393855071.762042
148.0,5445447431.591932
148.5,5497527662.370485
149.0,5550099368.064193
149.5,5603166148.047066
150.0,5656731599.549269
150.5,5710799321.124694
151.0,5765372912.5206
151.5,5820455975.871229
152.0,5876052117.641754
152.5,5932164950.100107
153.0,5988798092.471857
153.5,6045955172.183125
154.0,6103639825.245735
154.5,6161855698.71988
155.0,6220606451.631708
155.5,6279895754.201682
156.0,6339727290.215059
156.5,6400104758.478643
157.0,6461031872.037027
157.5,6522512358.300643
158.0,6584549962.021098
158.5,6647148445.462688
159.0,6710311582.936556
159.5,6774043171.258711
160.0,6838347022.960605
160.5,6903226967.557762
161.0,6968686851.581276
161.5,7034730540.653208
162.0,7101361917.727351
162.5,7168584883.403018
163.0,7236403355.847183
163.5,7304821271.329629
164.0,7373842584.514362
164.5,7443471262.117107
165.0,7513711292.069663
165.5,7584566676.393486
166.0,7656041432.2255125
166.5,7728139596.691099
167.0,7800865215.594038
167.5,7874222355.356376
168.0,7948215093.422632
168.5,8022847520.18504
169.0,8098123742.835188
169.5,8174047876.039248
170.0,8250624050.1559515
170.5,8327856404.886346
171.0,8405749089.859146
171.5,8484306264.168013
172.0,8563532101.335333
172.5,8643430786.609356
173.0,8724006495.91915
173.5,8805263423.54388
174.0,8887205778.15453
174.5,8969837779.440365
175.0,9053163645.137009
175.5,9137187573.640932
176.0,9221913786.636717
176.5,9307346512.648792
177.0,9393489986.015467
177.5,9480348429.191544
178.0,9567926063.103762
178.5,9656227119.238981
179.0,9745255831.711092
179.5,9835016443.436007
180.0,9925513141.571798
180.5,10016750164.054224
181.0,10108731728.52187
181.5,10201462053.350548
182.0,10294945347.257368
182.5,10389185795.08267
183.0,10484187589.654
183.5,10579954917.199778
184.0,10676491955.33974
184.5,10773802871.86556
185.0,10871891823.140816
185.5,10970762944.994944
186.0,11070420353.756586
186.5,11170868169.997147
187.0,11272110497.752277
187.5,11374151416.316902
188.0,11476994992.953526
188.5,11580645277.547052
189.0,11685106300.68259
189.5,11790382073.547312
190.0,11896476586.56491
190.5,12003393808.735138
191.0,12111137686.400566
191.5,12219712142.39239
192.0,12329121074.884525
192.5,12439368357.579823
193.0,12550457832.393307
193.5,12662393317.80221
194.0,12775178604.750154
194.5,12888817448.575932
195.0,13003313585.027454
195.5,13118670703.442291
196.0,13234892680.760618
196.5,13351982641.267546
197.0,13469945759.957935
197.5,13588783744.065119
198.0,13708501175.04595
198.5,13829100189.997297
199.0,13950586090.692894
199.5,14072959164.036358
200.0,14196223906.994398
200.5,14320384326.50158
201.0,14445444429.492464
201.5,14571408108.556507
202.0,14698277723.474976
202.5,14826056034.348555
203.0,14954746137.52514
203.5,15084351103.964754
204.0,15214873788.203203
204.5,15346317124.679197
205.0,15478684083.258234
205.5,15611977570.398687
206.0,15746200129.037071
206.5,15881354470.50908
207.0,16017443349.584597
207.5,16154469129.772472
208.0,16292434906.380482
208.5,16431342483.098755
209.0,16571194487.705175
209.5,16711993360.37488
210.0,16853741149.691671
210.5,16996440074.675653
211.0,17140092291.086973
211.5,17284699871.516556
212.0,17430264805.386105
212.5,17576788998.948097
213.0,17724274275.285797
213.5,17872722379.11266
214.0,18022134977.362404
214.5,18172513648.680973
215.0,18323859889.011326
215.5,18476175111.66982
216.0,18629460647.346172
216.5,18783717744.103497
217.0,18938947567.371418
217.5,19095151197.52229
218.0,19252329631.659443
218.5,19410483785.57232
219.0,19569614492.235374
219.5,19729722501.808067
220.0,19890808481.63488
220.5,20052873016.2453
221.0,20215916601.48466
221.5,20379939493.546444
222.0,20544941890.36572
222.5,20710923950.390366
223.0,20877885739.33414
223.5,21045827230.17667
224.0,21214748303.163452
224.5,21384648745.80585
225.0,21555541071.35656
225.5,21727393379.153458
226.0,21900225659.118378
226.5,22074036629.700935
227.0,22248825009.350742
227.5,22424589516.517418
228.0,22601328869.65057
228.5,22779041787.199818
229.0,22957726949.559143
229.5,23137382856.957077
230.0,23318008077.199226
230.5,23499601052.43025
231.0,23682159951.910408
231.5,23865683098.27568
232.0,24050168510.7552
232.5,24235614021.575787
233.0,24422011384.276028
233.5,24609375473.730083
234.0,24797689198.824696
234.5,24986952241.52661
235.0,25177162557.67127
235.5,25368318393.486763
236.0,25560416242.243206
236.5,25753453431.846024
237.0,25947426504.175617
237.5,26142333471.4884
238.0,26338169924.69082
238.5,26534931952.667892
239.0,26732615644.304646
239.5,26931217086.5738
240.0,27130732253.567757
240.5,27331157113.5588
241.0,27532487681.259743
241.5,27734719968.329227
242.0,27937849203.324894
242.5,28141870392.52392
243.0,28346778973.401962
243.5,28552570383.434708
244.0,28759239428.099895
244.5,28966780517.139816
245.0,29175188539.92351
245.5,29384458385.925877
246.0,29594584421.038704
246.5,29805560442.81751
247.0,30017380784.633312
247.5,30230039785.290634
248.0,30443531387.250694
248.5,30657848845.819057
249.0,30872985921.366547
249.5,31088936385.429886
250.0,31305693362.32319
250.5,31523249844.693146
251.0,31741599122.942413
251.5,31960734404.54335
252.0,32180648088.461662
252.5,32401332830.446873
253.0,32622781427.69246
253.5,32844986421.840073
254.0,33067939655.16828
254.5,33291633401.82096
255.0,33516059972.060585
255.5,33741211268.840107
256.0,33967078835.944122
256.5,34193654346.60921
257.0,34420929251.11525
257.5,34648895040.2961
258.0,34877542880.43198
258.5,35106852685.35023
259.0,35336848008.45089
259.5,35567489833.222084
260.0,35798773664.008064
260.5,36030694919.49956
261.0,36263241884.09177
261.5,36496410582.9166
262.0,36730180310.54999
262.5,36964554866.23382
263.0,37199520116.91523
263.5,37435064455.41678
264.0,37671176356.45717
264.5,37907844294.75511
265.0,38145057297.09201
265.5,38382806496.251305
266.0,38621081793.70527
266.5,38859872913.97058
267.0,39099169453.658005
267.5,39338959949.073425
268.0,39579233359.49429
268.5,39819978819.87329
269.0,40061185436.342445
269.5,40302841652.99178
270.0,40544936018.727005
270.5,40787457278.7954
271.0,41030393176.70772
271.5,41273734628.14141
272.0,41517467668.56276
272.5,41761580908.898865
273.0,42006062875.112335
273.5,42250901769.33461
274.0,42496085476.91548
274.5,42741602044.41521
275.0,42987439413.24902
275.5,43233585417.12842
276.0,43480027782.06113
276.5,43726754126.351166
277.0,43973751960.598785
277.5,44221008735.332
278.0,44468512169.570656
278.5,44716249988.44562
279.0,44964209612.69838
279.5,45212378371.68937
280.0,45460743633.5592
280.5,45709292730.366165
281.0,45958012946.95621
281.5,46206891549.64706
282.0,46455915700.56934
282.5,46705072637.71301
283.0,46954349499.71088
283.5,47203733423.72784
284.0,47453211517.975334
284.5,47702770879.853424
285.0,47952390159.76959
285.5,48202081273.87214
286.0,48451806380.50326
286.5,48701557064.197685
287.0,48951326188.19154
287.5,49201097562.87555
288.0,49450861171.01763
288.5,49700600980.3059
289.0,49950312328.500885
289.5,50199978512.36329
290.0,50449584452.22143
290.5,50699115068.4036
291.0,50948555281.23813
291.5,51197892317.38066
292.0,51447116164.50048
292.5,51696214241.57154
293.0,51945173929.91886
293.5,52193982544.272224
294.0,52442627140.14157
294.5,52691094925.247635
295.0,52939373129.84227
295.5,53187449006.27859
296.0,53435310097.18009
296.5,53682943859.22717
297.0,53930337683.76969
297.5,54177479581.92478
298.0,54424355596.62393
298.5,54670954764.033905
299.0,54917264552.468636
299.5,55163272478.817825
300.0,55408966311.13741
300.5,55654334169.17185
301.0,55899363947.35265
301.5,56144043602.57795
302.0,56388361162.96878
302.5,56632304727.86906
303.0,56875862467.84559
303.5,57119022624.68807
304.0,57361773522.38516
304.5,57604103755.502686
305.0,57846001935.20653
305.5,58087456695.74614
306.0,58328456753.01762
306.5,58568990904.563705
307.0,58809048029.57377
307.5,59048617088.88384
308.0,59287687124.97658
308.5,59526247291.73589
309.0,59764286935.080414
309.5,60001795492.73873
310.0,60238762429.1668
310.5,60475177312.60576
311.0,60711029842.45815
311.5,60946309821.01693
312.0,61181007159.03536
312.5,61415111815.19483
313.0,61648614100.78637
313.5,61881504087.82599
314.0,62113772202.62772
314.5,62345408905.22727
315.0,62576404807.6005
315.5,62806750590.360374
316.0,63036431311.670135
316.5,63265455018.9082
317.0,63493795631.36038
317.5,63721447574.077
318.0,63948406091.6171
318.5,64174660504.78367
319.0,64400204270.93345
319.5,64625027181.43107
320.0,64849126638.26816
320.5,65072492321.28775
321.0,65295114761.29065
321.5,65516984489.07767
322.0,65738092035.4496
322.5,65958429818.926544
323.0,66177993095.81102
323.5,66396774685.009964
324.0,66614767339.54995
324.5,66831963918.729454
325.0,67048357989.69296
325.5,67263942790.867004
326.0,67478711459.40396
326.5,67692657145.29591
327.0,67905773915.50248
327.5,68118055895.61355
328.0,68329496805.51598
328.5,68540090365.09663
329.0,68749831639.2257
329.5,68958713167.64749
330.0,69166731281.19763
330.5,69373880009.2943
331.0,69580153636.10513
331.5,69785547493.0165
332.0,69990056607.13432
332.5,70193676024.61017
333.0,70396400971.31725
333.5,70598226852.85037
334.0,70799149254.52606
334.5,70999163941.38243
335.0,71198266858.17924
335.5,71396454055.16649
336.0,71593721487.60205
336.5,71790065258.00014
337.0,71985481750.52516
337.5,72179967474.52531
338.0,72373519032.57051
338.5,72566133157.3205
339.0,72757806713.43044
339.5,72948536588.9613
340.0,73138320209.10661
340.5,73327154530.05624
341.0,73515037016.83656
341.5,73701965164.5227
342.0,73887936603.91194
342.5,74072949051.18246
343.0,74257000398.78044
343.5,74440088459.84033
344.0,74622211768.517
344.5,74803367614.86378
345.0,74983555284.06749
345.5,75162772771.1593
346.0,75341019304.87491
346.5,75518292610.70137
347.0,75694593075.56416
347.5,75869919392.12114
348.0,76044270239.43309
348.5,76217644296.56078
349.0,76390040242.56497
349.5,76561457012.98828
350.0,76731895135.29727
350.5,76901354351.09383
351.0,77069834182.89961
351.5,77237334153.23634
352.0,77403854326.21422
352.5,77569395062.53186
353.0,77733956309.66425
353.5,77897538015.0629
354.0,78060140253.64224
354.5,78221763950.95297
355.0,78382409627.44556
355.5,78542077679.51433
356.0,78700768503.5536
356.5,78858483627.27774
357.0,79015222627.23692
357.5,79170987691.64018
358.0,79325779449.84177
358.5,79479598712.28687
359.0,79632446985.41833
359.5,79784325558.64107
360.0,79935235742.97812
360.5,80085178971.3187
361.0,80234156798.41809
361.5,80382170900.89781
362.0,80529223077.24545
362.5,80675315247.81477
363.0,80820449377.74156
363.5,80964626978.81982
364.0,81107849971.67923
364.5,81250120473.60931
365.0,81391440697.27817
365.5,81531812950.73239
366.0,81671239637.39711
366.5,81809723256.07597
367.0,81947266400.95117
367.5,82083871687.42166
368.0,82219541228.26933
368.5,82354277519.07832
369.0,82488083234.56961
369.5,82620961117.36162
370.0,82752913977.9703
370.5,82883944694.80913
371.0,83014056214.18906
371.5,83143251550.31854
372.0,83271533772.98726
372.5,83398905865.01393
373.0,83525370811.66858
373.5,83650931750.10434
374.0,83775591941.73518
374.5,83899354661.92447
375.0,84022223192.0776
375.5,84144200877.03983
376.0,84265291104.18967
376.5,84385497285.06622
377.0,84504822950.9907
377.5,84623271556.00966
378.0,84740846674.394
378.5,84857551888.7252
379.0,84973390830.70906
379.5,85088367152.52495
380.0,85202486735.00325
380.5,85315746854.78377
381.0,85428157861.83405
381.5,85539722262.42891
382.0,85650442338.6772
382.5,85760322730.82867
383.0,85869366773.29881
383.5,85977578754.90839
384.0,86084960605.79047
384.5,86191517328.00589
385.0,86297253452.59824
385.5,86402173510.6111
386.0,86506282033.08804
386.5,86609583426.50175
387.0,86712081019.26512
387.5,86813778670.9329
388.0,86914680451.7852
388.5,87014790432.10207
389.0,87114112682.16357
389.5,87212651327.44743
390.0,87310410720.20905
390.5,87407395058.57906
391.0,87503608516.10036
391.5,87599055266.31589
392.0,87693739482.76855
392.5,87787665760.36235
393.0,87880837555.97438
393.5,87973259793.31424
394.0,88064936674.64616
394.5,88155872414.99042
395.0,88246071242.1233
395.5,88335537427.79065
396.0,88424275280.70807
396.5,88512289089.14363
397.0,88599583155.72687
397.5,88686161797.68123
398.0,88772029346.8241
398.5,88857190149.56673
399.0,88941648566.91434
399.5,89025408974.466
400.0,89108475762.41473
400.5,89190853324.84966
401.0,89272545908.79774
401.5,89353557718.83008
402.0,89433892988.29407
402.5,89513556095.34435
403.0,89592551387.76805
403.5,89670883182.62462
404.0,89748555773.2048
404.5,89825573464.56937
405.0,89901940554.68544
405.5,89977661337.49077
406.0,90052740104.13571
406.5,90127181127.40843
407.0,90200988690.57271
407.5,90274167057.89789
408.0,90346720490.2607
408.5,90418653238.05644
409.0,90489969546.52832
409.5,90560675948.07143
410.0,90630769850.0472
410.5,90700262517.49825
411.0,90769156679.45119
411.5,90837454945.55867
412.0,90905158764.41718
412.5,90972282363.00555
413.0,91038819550.12607
413.5,91104775917.74792
414.0,91170156598.6309
414.5,91234966317.08035
415.0,91299209797.40163
415.5,91362891763.90009
416.0,91426016940.64159
416.5,91488588865.0618
417.0,91550610694.98404
417.5,91612086491.51938
418.0,91673020315.77885
418.5,91733416228.87352
419.0,91793278291.91444
419.5,91852610479.77887
420.0,91911416589.72623
420.5,91969700580.71098
421.0,92027466421.13954
421.5,92084718079.41832
422.0,92141459523.95372
422.5,92197693922.23552
423.0,92253426890.89172
423.5,92308660896.80333
424.0,92363399876.60593
424.5,92417647750.78947
425.0,92471408423.69818
425.5,92524685777.8441
426.0,92577483467.54971
426.5,92629805174.64304
427.0,92681654647.2894
427.5,92733035610.4012
428.0,92783951765.63795
428.5,92834406791.40627
429.0,92884404342.85982
429.5,92933948051.89937
430.0,92983041527.17282
430.5,93031688354.07513
431.0,93079892094.74837
431.5,93127656299.8855
432.0,93174984512.30342
432.5,93221880252.26968
433.0,93268347019.85732
433.5,93314388296.3661
434.0,93360007545.26906
434.5,93405208205.03917
435.0,93449993694.27623
435.5,93494367412.38258
436.0,93538332740.18983
436.5,93581893038.31657
437.0,93625051660.40387
437.5,93667811888.37317
438.0,93710177059.58453
438.5,93752150441.37605
439.0,93793735295.74338
439.5,93834934860.10529
440.0,93875752359.70114
440.5,93916193400.26627
441.0,93956254085.08948
441.5,93995944489.29478
442.0,94035266567.1852
442.5,94074221873.0372
443.0,94112814406.5868
443.5,94151046207.55338
444.0,94188921677.30357
444.5,94226441323.12268
445.0,94263609016.6882
445.5,94300428198.7729
446.0,94336902310.14952
446.5,94373034791.59079
447.0,94408829083.86943
447.5,94444288225.86385
448.0,94479414059.39633
448.5,94514209385.6444
449.0,94548677104.9197
449.5,94582820117.5339
450.0,94616641323.7987
450.5,94650143615.67151
451.0,94683329585.41351
451.5,94716201884.48064
452.0,94748763285.52988
452.5,94781016561.2183
453.0,94812964484.20293
453.5,94844609827.1408
454.0,94875955243.1948
454.5,94907003141.51828
455.0,94937756156.7405
455.5,94968216936.5776
456.0,94998388128.74586
456.5,95028272380.96144
457.0,95057872320.15265
457.5,95087190199.25346
458.0,95116228424.51865
458.5,95144989523.66447
459.0,95173476024.40724
459.5,95201690454.46326
460.0,95229635341.54881
460.5,95257313213.3802
461.0,95284726597.67374
461.5,95311877852.39792
462.0,95338769073.67433
462.5,95365402527.07967
463.0,95391780590.35849
463.5,95417905584.13943
464.0,95443779783.92078
464.5,95469406686.92986
465.0,95494784925.89792
465.5,95519920480.2436
466.0,95544814767.29875
466.5,95569469157.69658
467.0,95593884429.7649
467.5,95618067917.5769
468.0,95642016435.86433
468.5,95665732849.2609
469.0,95689219814.34062
469.5,95712479793.07855
470.0,95735515247.4497
470.5,95758328639.42911
471.0,95780922086.4135
471.5,95803296925.47667
472.0,95825455144.41643
472.5,95847398774.2569
473.0,95869129846.02219
473.5,95890650387.4128
474.0,95911962245.76988
474.5,95933067281.49368
475.0,95953967434.92862
475.5,95974664646.41916
476.0,95995160856.30971
476.5,96015495910.93883
477.0,96035577013.04517
477.5,96055469911.01054
478.0,96075174604.83498
478.5,96094691094.51843
479.0,96114019381.0347
479.5,96133160754.82057
480.0,96152116371.1754
480.5,96170886233.49759
481.0,96189473099.87456
481.5,96207879364.20728
482.0,96226097863.75198
482.5,96244150759.70367
483.0,96262024807.65454
483.5,96279721688.5719
484.0,96297243731.00745
484.5,96314593332.58978
485.0,96331772441.75023
485.5,96348783006.92006
486.0,96365626976.53061
486.5,96382306299.01315
487.0,96398822922.79901
487.5,96415178796.3195
488.0,96431375230.05908
488.5,96447412831.0587
489.0,96463292884.50464
489.5,96479017076.43272
490.0,96494586888.09056
490.5,96510003783.20332
491.0,96525269533.43106
491.5,96540384630.50381
492.0,96555351781.1998
492.5,96570171725.48099
493.0,96584846021.1198
493.5,96599375203.87804
494.0,96613762635.04599
494.5,96628007368.85573
495.0,96642111358.30495
495.5,96656076284.0576
496.0,96669903799.5864
496.5,96683595397.89468
497.0,96697152010.26399
497.5,96710574900.74142
498.0,96723865375.3658
498.5,96737024721.23244
499.0,96750054148.49658
499.5,96762954910.13367
500.0,96775728265.8693
