Time,P2,Target,Kd,Ksp,P1,dsp1ksp,dsp1p2kd,h,k0,ka,ks,ku,s,univ,___r1,___r2,___r3,___r4
0.0,10.0,10.0,1e-05,0.001,40.0,39.999958333378544,9.99999666666352,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.52941143252568,1.0,1.52941143252568,1.0
0.01,10.005294095696176,10.005294095696176,1e-05,0.001,40.0,39.999958333378544,10.005290760006346,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5299391166368252,1.0005294095696176,1.5299391166368252,1.0005294095696176
0.02,10.010588177185966,10.010588177185966,1e-05,0.001,40.0,39.999958333378544,10.01058483914196,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5304670128247144,1.0010588177185966,1.5304670128247144,1.0010588177185966
0.03,10.015882249391682,10.015882249391682,1e-05,0.001,40.0,39.999958333378544,10.015878908992677,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5309951214866282,1.0015882249391683,1.5309951214866282,1.0015882249391683
0.04,10.021176326227508,10.021176326227508,1e-05,0.001,40.0,39.999958333378544,10.021172983472669,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5315234439181469,1.0021176326227508,1.5315234439181469,1.0021176326227508
0.05,10.026470447346735,10.026470447346735,1e-05,0.001,40.0,39.999958333378544,10.026467102235207,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5320519839872626,1.0026470447346736,1.5320519839872626,1.0026470447346736
0.06,10.031764568161643,10.031764568161643,1e-05,0.001,40.0,39.999958333378544,10.031761220692598,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5325807371530193,1.0031764568161643,1.5325807371530193,1.0031764568161643
0.07,10.037058688672232,10.037058688672232,1e-05,0.001,40.0,39.999958333378544,10.037055338844835,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5331097033231766,1.0037058688672233,1.5331097033231766,1.0037058688672233
0.08,10.0423528088785,10.0423528088785,1e-05,0.001,40.0,39.999958333378544,10.042349456691918,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.533638882405475,1.00423528088785,1.533638882405475,1.00423528088785
0.09,10.047646928780448,10.047646928780448,1e-05,0.001,40.0,39.999958333378544,10.047643574233843,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5341682743076361,1.004764692878045,1.5341682743076361,1.004764692878045
0.1,10.052941048378077,10.052941048378077,1e-05,0.001,40.0,39.999958333378544,10.052937691470621,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5346978789373624,1.0052941048378077,1.5346978789373624,1.0052941048378077
0.11,10.058235167671386,10.058235167671386,1e-05,0.001,40.0,39.999958333378544,10.058231808402244,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.535227696202337,1.0058235167671385,1.535227696202337,1.0058235167671385
0.12,10.063529286660376,10.063529286660376,1e-05,0.001,40.0,39.999958333378544,10.06352592502871,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5357577260102242,1.0063529286660378,1.5357577260102242,1.0063529286660378
0.13,10.068823405345045,10.068823405345045,1e-05,0.001,40.0,39.999958333378544,10.068820041350017,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.53628796826867,1.0068823405345044,1.53628796826867,1.0068823405345044
0.14,10.074117523725395,10.074117523725395,1e-05,0.001,40.0,39.999958333378544,10.074114157366171,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.536818422885301,1.0074117523725394,1.536818422885301,1.0074117523725394
0.15,10.079411641801425,10.079411641801425,1e-05,0.001,40.0,39.999958333378544,10.079408273077172,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.537349089767726,1.0079411641801426,1.537349089767726,1.0079411641801426
0.16,10.084705759573136,10.084705759573136,1e-05,0.001,40.0,39.999958333378544,10.084702388483008,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5378799688235316,1.0084705759573136,1.5378799688235316,1.0084705759573136
0.17,10.089999877040526,10.089999877040526,1e-05,0.001,40.0,39.999958333378544,10.089996503583698,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5384110599602916,1.0089999877040527,1.5384110599602916,1.0089999877040527
0.18,10.095294197576267,10.095294197576267,1e-05,0.001,40.0,39.999958333378544,10.095290821751805,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.538942383499553,1.0095294197576268,1.538942383499553,1.0095294197576268
0.19,10.100588653414418,10.100588653414418,1e-05,0.001,40.0,39.999958333378544,10.10058527522142,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.539473932568393,1.0100588653414417,1.539473932568393,1.0100588653414417
0.2,10.105883136984382,10.105883136984382,1e-05,0.001,40.0,39.999958333378544,10.105879756421995,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.540005696284339,1.0105883136984382,1.540005696284339,1.0105883136984382
0.21,10.11117764828616,10.11117764828616,1e-05,0.001,40.0,39.999958333378544,10.11117426535354,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5405376745582327,1.011117764828616,1.5405376745582327,1.011117764828616
0.22,10.11647218731975,10.11647218731975,1e-05,0.001,40.0,39.999958333378544,10.116468802016039,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5410698673008936,1.0116472187319752,1.5410698673008936,1.0116472187319752
0.23,10.121766754085156,10.121766754085156,1e-05,0.001,40.0,39.999958333378544,10.121763366409503,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5416022744231201,1.0121766754085157,1.5416022744231201,1.0121766754085157
0.24,10.127061348582375,10.127061348582375,1e-05,0.001,40.0,39.999958333378544,10.127057958533928,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5421348958356902,1.0127061348582376,1.5421348958356902,1.0127061348582376
0.25,10.132355970811407,10.132355970811407,1e-05,0.001,40.0,39.999958333378544,10.13235257838931,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5426677314493593,1.0132355970811406,1.5426677314493593,1.0132355970811406
0.26,10.137650620772254,10.137650620772254,1e-05,0.001,40.0,39.999958333378544,10.137647225975648,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5432007811748614,1.0137650620772254,1.5432007811748614,1.0137650620772254
0.27,10.142945298464912,10.142945298464912,1e-05,0.001,40.0,39.999958333378544,10.142941901292954,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5437340449229113,1.0142945298464914,1.5437340449229113,1.0142945298464914
0.28,10.148240003889386,10.148240003889386,1e-05,0.001,40.0,39.999958333378544,10.148236604341216,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5442675226042002,1.0148240003889386,1.5442675226042002,1.0148240003889386
0.29,10.153534737045673,10.153534737045673,1e-05,0.001,40.0,39.999958333378544,10.153531335120428,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5448012141293979,1.0153534737045673,1.5448012141293979,1.0153534737045673
0.3,10.158829497933775,10.158829497933775,1e-05,0.001,40.0,39.999958333378544,10.15882609363061,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5453351194091551,1.0158829497933775,1.5453351194091551,1.0158829497933775
0.31,10.164124286553688,10.164124286553688,1e-05,0.001,40.0,39.999958333378544,10.164120879871742,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5458692383541002,1.0164124286553688,1.5458692383541002,1.0164124286553688
0.32,10.169419102905417,10.169419102905417,1e-05,0.001,40.0,39.999958333378544,10.169415693843833,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5464035708748394,1.0169419102905417,1.5464035708748394,1.0169419102905417
0.33,10.174713946988957,10.174713946988957,1e-05,0.001,40.0,39.999958333378544,10.174710535546875,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5469381168819596,1.0174713946988958,1.5469381168819596,1.0174713946988958
0.34,10.180008818804312,10.180008818804312,1e-05,0.001,40.0,39.999958333378544,10.180005404980882,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5474728762860266,1.0180008818804314,1.5474728762860266,1.0180008818804314
0.35000000000000003,10.18530371835148,10.18530371835148,1e-05,0.001,40.0,39.999958333378544,10.185300302145839,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5480078489975828,1.0185303718351482,1.5480078489975828,1.0185303718351482
0.36,10.190598645630464,10.190598645630464,1e-05,0.001,40.0,39.999958333378544,10.190595227041753,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.548543034927153,1.0190598645630464,1.548543034927153,1.0190598645630464
0.37,10.19589360064126,10.19589360064126,1e-05,0.001,40.0,39.999958333378544,10.195890179668616,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5490784339852375,1.019589360064126,1.5490784339852375,1.019589360064126
0.38,10.20118858338387,10.20118858338387,1e-05,0.001,40.0,39.999958333378544,10.201185160026437,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5496140460823196,1.020118858338387,1.5496140460823196,1.020118858338387
0.39,10.206483593858293,10.206483593858293,1e-05,0.001,40.0,39.999958333378544,10.206480168115212,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5501498711288582,1.0206483593858293,1.5501498711288582,1.0206483593858293
0.4,10.211778971660838,10.211778971660838,1e-05,0.001,40.0,39.999958333378544,10.211775543531097,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.550685943420721,1.0211778971660839,1.550685943420721,1.0211778971660839
0.41000000000000003,10.217074525687357,10.217074525687357,1e-05,0.001,40.0,39.999958333378544,10.217071095170024,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5512222435511132,1.0217074525687357,1.5512222435511132,1.0217074525687357
0.42,10.222370147464035,10.222370147464035,1e-05,0.001,40.0,39.999958333378544,10.222366714558232,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.55175876045608,1.0222370147464035,1.55175876045608,1.0222370147464035
0.43,10.22766583699087,10.22766583699087,1e-05,0.001,40.0,39.999958333378544,10.227662401695715,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5522954940507296,1.022766583699087,1.5522954940507296,1.022766583699087
0.44,10.232961594267865,10.232961594267865,1e-05,0.001,40.0,39.999958333378544,10.232958156582477,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5528324442501442,1.0232961594267864,1.5528324442501442,1.0232961594267864
0.45,10.238257419295016,10.238257419295016,1e-05,0.001,40.0,39.999958333378544,10.238253979218515,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.553369610969381,1.0238257419295016,1.553369610969381,1.0238257419295016
0.46,10.243553312072326,10.243553312072326,1e-05,0.001,40.0,39.999958333378544,10.243549869603827,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5539069941234744,1.0243553312072327,1.5539069941234744,1.0243553312072327
0.47000000000000003,10.248849272599793,10.248849272599793,1e-05,0.001,40.0,39.999958333378544,10.24884582773842,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5544445936274323,1.0248849272599794,1.5544445936274323,1.0248849272599794
0.48,10.25414530087742,10.25414530087742,1e-05,0.001,40.0,39.999958333378544,10.254141853622288,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5549824093962388,1.025414530087742,1.5549824093962388,1.025414530087742
0.49,10.259441396905205,10.259441396905205,1e-05,0.001,40.0,39.999958333378544,10.259437947255432,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5555204413448522,1.0259441396905205,1.5555204413448522,1.0259441396905205
0.5,10.264737560683146,10.264737560683146,1e-05,0.001,40.0,39.999958333378544,10.264734108637846,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5560586893882067,1.0264737560683146,1.5560586893882067,1.0264737560683146
0.51,10.270033792211247,10.270033792211247,1e-05,0.001,40.0,39.999958333378544,10.270030337769532,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5565971534412117,1.0270033792211248,1.5565971534412117,1.0270033792211248
0.52,10.275330091489506,10.275330091489506,1e-05,0.001,40.0,39.999958333378544,10.275326634650499,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5571358334187544,1.0275330091489507,1.5571358334187544,1.0275330091489507
