data_set_T,data_set_V,data_set_Y,data_set_Z
0.0,-70.0,2.4999999e-05,0.0
100.0,-69.565559,6.7019032e-06,0.0015384993
200.0,-69.565559,6.7019032e-06,0.0015384993
300.0,-69.565559,6.7019032e-06,0.0015384993
400.0,-69.565559,6.7019032e-06,0.0015384993
500.0,-69.565559,6.7019032e-06,0.0015384993
600.0,-69.565559,6.7019032e-06,0.0015384993
700.0,-69.565559,6.7019032e-06,0.0015384993
800.0,-69.565559,6.7019032e-06,0.0015384993
900.0,-69.565559,6.7019032e-06,0.0015384993
1000.0,-69.565559,6.7019032e-06,0.0015384993
1100.0,-69.565559,6.7019032e-06,0.0015384993
1200.0,-69.565559,6.7019032e-06,0.0015384993
1300.0,-69.565559,6.7019032e-06,0.0015384993
1400.0,-69.565559,6.7019032e-06,0.0015384993
1500.0,-69.565559,6.7019032e-06,0.0015384993
1600.0,-69.565559,6.7019032e-06,0.0015384993
1700.0,-69.565559,6.7019032e-06,0.0015384993
1800.0,-69.565559,6.7019032e-06,0.0015384993
1900.0,-69.565559,6.7019032e-06,0.0015384993
2000.0,-69.565559,6.7019032e-06,0.0015384993
2100.0,-69.565559,6.7019032e-06,0.0015384993
2200.0,-69.565559,6.7019032e-06,0.0015384993
2300.0,-69.565559,6.7019032e-06,0.0015384993
2400.0,-69.565559,6.7019032e-06,0.0015384993
2500.0,-69.565559,6.7019032e-06,0.0015384993
2600.0,-69.565559,6.7019032e-06,0.0015384993
2700.0,-69.565559,6.7019032e-06,0.0015384993
2800.0,-69.565559,6.7019032e-06,0.0015384993
2900.0,-69.565559,6.7019032e-06,0.0015384993
3000.0,-69.565559,6.7019032e-06,0.0015384993
3100.0,-69.565559,6.7019032e-06,0.0015384993
3200.0,-69.565559,6.7019032e-06,0.0015384993
3300.0,-69.565559,6.7019032e-06,0.0015384993
3400.0,-69.565559,6.7019032e-06,0.0015384993
3500.0,-69.565559,6.7019032e-06,0.0015384993
3600.0,-69.565559,6.7019032e-06,0.0015384993
3700.0,-69.565559,6.7019032e-06,0.0015384993
3800.0,-69.565559,6.7019032e-06,0.0015384993
3900.0,-69.565559,6.7019032e-06,0.0015384993
4000.0,-69.565559,6.7019032e-06,0.0015384993
4100.0,-69.565559,6.7019032e-06,0.0015384993
4200.0,-69.565559,6.7019032e-06,0.0015384993
4300.0,-69.565559,6.7019032e-06,0.0015384993
4400.0,-69.565559,6.7019032e-06,0.0015384993
4500.0,-69.565559,6.7019032e-06,0.0015384993
4600.0,-69.565559,6.7019032e-06,0.0015384993
4700.0,-69.565559,6.7019032e-06,0.0015384993
