value_component_environment_variable_time,value_component_r_variable_r,value_component_r_variable_ract,value_component_r_variable_hr,value_component_r_variable_Ir,value_component_r_variable_Ir2,value_component_r_variable_k6,value_component_r_variable_n1,value_component_r_variable_theta_1,value_component_r_variable_n3,value_component_r_variable_theta_3,value_component_s_variable_s,value_component_s_variable_Is2,value_component_se_variable_se,value_component_se_variable_Ise,value_component_f_variable_f,value_component_f_variable_k1,value_component_f_variable_k2,value_component_f_variable_k3,value_component_f_variable_phi_b_s,value_component_f_variable_sb,value_component_f_variable_delta_b,value_component_h_variable_h,value_component_h_variable_k4,value_component_h_variable_k5,value_component_h_variable_phi_r_s,value_component_h_variable_sr,value_component_h_variable_delta_r,value_component_g_variable_g,value_component_g_variable_g1,value_component_g_variable_gmax,value_component_g_variable_g2,value_component_g_variable_hact,value_component_g_variable_n2,value_component_g_variable_theta_2,value_component_hh_variable_hh,value_component_hh_variable_Ih,value_component_model_parameters_variable_h_delta,value_component_model_parameters_variable_h_delta1,value_component_model_parameters_variable_j1,value_component_model_parameters_variable_k7,value_component_model_parameters_variable_Is,value_component_model_parameters_variable_k8,value_component_model_parameters_variable_c,value_component_model_parameters_variable_delta,value_component_model_parameters_variable_delta1
0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,5.0,30.0,0.0,50.0,0.0,10.0,0.3,0.1,0.002,0.018,0.0,0.029,0.3,0.0,0.5,71.0,0.0,-0.56,0.2,2.0,1.0,5.0,0.008,0.0,2.0,30.0,0.0,50.0,0.0,0.0,10.0,5.0,0.0,0.07,0.01,60.0,15.0
0.1,0.0,0.0010749994066994173,0.012024866052707583,0.0,0.0,5.0,4.0,1.0,5.0,30.0,5.521170571817401,50.0,0.7869386786012359,10.0,0.30105495239023083,0.1,0.002,0.018,0.9288835046943282,0.029,0.3,0.011652877020707105,0.5,71.0,0.9988869037668964,-0.56,0.2,2.034711174103861,1.0,5.0,0.008,0.9893980739350534,2.0,30.0,48.29012862383197,50.0,2898.1068900511605,724.5267225127901,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.2,0.0,0.00015916790594128205,0.00045174563457006656,0.0,0.0,5.0,4.0,1.0,5.0,30.0,8.902640606015822,50.0,1.2642409439735696,10.0,0.30235902044315255,0.1,0.002,0.018,0.9630530671083526,0.029,0.3,0.01245316032823423,0.5,71.0,0.9996048851247733,-0.56,0.2,2.0768257384290956,1.0,5.0,0.008,0.997137988600237,2.0,30.0,93.31554612898779,50.0,5599.6799573589615,1399.9199893397404,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.30000000000000004,0.0,6.863651896227285e-05,7.054531402528319e-05,0.0,0.0,5.0,4.0,1.0,5.0,30.0,10.98635770979985,50.0,1.5537393177336876,10.0,0.3036831830989001,0.1,0.002,0.018,0.9724639331989771,0.029,0.3,0.013138693387352556,0.5,71.0,0.9997494257037874,-0.56,0.2,2.117981610848619,1.0,5.0,0.008,0.9986364001865083,2.0,30.0,135.29696714832053,50.0,8118.606350502474,2029.6515876256185,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.4,0.0,4.394272856000914e-05,1.9803289345809993e-05,0.0,0.0,5.0,4.0,1.0,5.0,30.0,12.282123889791134,50.0,1.7293290689175798,10.0,0.30501237493149275,0.1,0.002,0.018,0.9764533613466125,0.029,0.3,0.013766037636995913,0.5,71.0,0.9998030602718327,-0.56,0.2,2.158054168157941,1.0,5.0,0.008,0.9991792294063592,2.0,30.0,174.44018465787164,50.0,10467.237041730517,2616.8092604326293,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.5,0.0,3.396386204124191e-05,7.660097503081609e-06,0.0,0.0,5.0,4.0,1.0,5.0,30.0,13.09911772662879,50.0,1.8358296940953083,10.0,0.3063424229629086,0.1,0.002,0.018,0.9784869065877995,0.029,0.3,0.014349812708735908,0.5,71.0,0.9998285450416857,-0.56,0.2,2.1970420592196427,1.0,5.0,0.008,0.9994385240576298,2.0,30.0,210.93707875514056,50.0,12657.085714070958,3164.2714285177394,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.6000000000000001,0.0,2.901733567217679e-05,3.626455593708222e-06,0.0,0.0,5.0,4.0,1.0,5.0,30.0,13.624873100145495,50.0,1.900425292756733,10.0,0.30767165262104074,0.1,0.002,0.018,0.9796370788677109,0.029,0.3,0.014896745433032384,0.5,71.0,0.9998423853466815,-0.56,0.2,2.2349646234187697,1.0,5.0,0.008,0.9995836172564057,2.0,30.0,244.96655724858556,50.0,14698.887239641115,3674.721809910279,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.7000000000000001,0.0,2.6230725427178747e-05,1.9725055276920145e-06,0.0,0.0,5.0,4.0,1.0,5.0,30.0,13.973158219308583,50.0,1.9396046093856225,10.0,0.3089992641908739,0.1,0.002,0.018,0.9803368896116169,0.029,0.3,0.015411017101594721,0.5,71.0,0.9998505991149916,-0.56,0.2,2.271846641686611,1.0,5.0,0.008,0.9996736032121409,2.0,30.0,276.69543268878294,50.0,16602.650622353074,4150.6626555882685,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.8,0.0,2.4504565096727937e-05,1.1869952024623487e-06,0.0,0.0,5.0,4.0,1.0,5.0,30.0,14.212994554286754,50.0,1.9633681748462235,10.0,0.31032483988991955,0.1,0.002,0.018,0.9807901669893629,0.029,0.3,0.0158956674989128,0.5,71.0,0.9998558344923172,-0.56,0.2,2.3077144828427048,1.0,5.0,0.008,0.9997335939428837,2.0,30.0,306.27924006294654,50.0,18377.708143826727,4594.427035956682,10.0,5.0,10.0,0.07,0.01,60.0,15.0
0.9,0.0,2.334519314850514e-05,7.712618168564944e-07,0.0,0.0,5.0,4.0,1.0,5.0,30.0,14.386266376063519,50.0,1.977781575105747,10.0,0.31164814756741566,0.1,0.002,0.018,0.9811022869752466,0.029,0.3,0.01635315857468956,0.5,71.0,0.9998594003863773,-0.56,0.2,2.342594815882033,1.0,5.0,0.008,0.9997757856018602,2.0,30.0,333.86299922887207,50.0,20032.761143246807,5008.190285811702,10.0,5.0,10.0,0.07,0.01,60.0,15.0
1.0,0.0,2.2506882470962886e-05,5.32180691292794e-07,0.0,0.0,5.0,4.0,1.0,5.0,30.0,14.518398761741949,50.0,1.9865237837214011,10.0,0.3129690545694681,0.1,0.002,0.018,0.9813309917463939,0.029,0.3,0.016785583494430132,0.5,71.0,0.9998619929061828,-0.56,0.2,2.3765140935274562,1.0,5.0,0.008,0.9998067053649611,2.0,30.0,359.58192580548246,50.0,21575.922683338613,5393.980670834653,10.0,5.0,10.0,0.07,0.01,60.0,15.0
