Time,H_m,L_m,H_c,L_c,L_n,k_0_m,k_i,k_e,k_o_c,k_c_c,k_d,k_c_m,k_b,B_T,v_1,v_2,V_m,V_c,V_n,D,human_lymphoma_cells
0.0,0.0,10.0,0.0,0.0,0.0,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.02,0.005778310291529831,9.994182538227282,9.813281285470207e-08,0.0003686885427506574,3.484581204941709e-08,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.04,0.011553259765002858,9.988413079644026,3.892072163295135e-07,0.0007293949186981002,1.3439806628262208e-07,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.06,0.01732487588519446,9.9826906307551,8.683202688539877e-07,0.0010822919553833132,2.916828842074216e-07,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.08,0.023093185548801597,9.977014219538228,1.530677836821419e-06,0.001427548552665802,5.003519324459151e-07,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.1,0.028858215096730797,9.971382894956884,2.3715921321398648e-06,0.0017653297876173359,7.546282130973829e-07,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.12,0.034619990326113875,9.96579572648571,3.386479311856266e-06,0.0020957970155096616,1.0492563104728555e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.14,0.0403785365019517,9.960251803653165,4.570857162986756e-06,0.0024191079654211473,1.3794588022676412e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.16,0.04613387836865364,9.954750235588389,5.920342808768597e-06,0.002735416834844508,1.7408933548788665e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.18,0.05188604016119119,9.94929015058586,7.430650502907355e-06,0.003044874378793846,2.129616046669902e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.2,0.057635045616100375,9.943870695676269,9.097589455232208e-06,0.003347627997386292,2.5420458430417963e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.22,0.06338091798215702,9.938491036212177,1.0917061730668338e-05,0.0036438218190311396,2.974933794314791e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.24,0.06912368003085634,9.933150355461972,1.288506018987686e-05,0.003933596781438116,3.4253341460981936e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.26,0.0748633540666591,9.927847854213738,1.4997666479485847e-05,0.004217090710056929,3.8905776601000985e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.28,0.08059996193700462,9.92258275038927,1.7251049073018145e-05,0.004494438393703215,4.368247653510907e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.3,0.0863335250421087,9.917354278667077,1.9641461356908962e-05,0.004765771657942294,4.8561578198103104e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.32,0.09206406434454543,9.912161690114502,2.216523976224436e-05,0.005031219436134018,5.352332015709001e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.34,0.09779160037857998,9.907004251830768,2.4818801950973844e-05,0.005290907837400956,5.854987099934983e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
0.36,0.10351615325940747,9.901881246592287,2.7598645014693796e-05,0.005544960215108068,6.362513488581612e-06,0.0289,0.000309,1.014,0.026553,0.18637,4.4489,0.000106,0.00085341,28.9,6.031363088057901,0.39324487334137515,2000000000000.0,829.0,326.0,10.0,1.0
