Infected_M2_macrophages_5_task1,Infected_tumour_cells_2_task1,M1_macrophages_3_task1,Oncolytic_viruses_6_task1,Uninfected_M2_macrophages_4_task1,Uninfected_tumour_cells_1_task1,_1_task1
0.0,0.0,2.5e-06,1e-05,2.5e-07,0.0005,0.0
1.5690603151687432e-10,4.569922994818451e-09,2.2501517903492655e-06,8.189538805752665e-06,4.6491793223465007e-07,0.0005314705300203013,0.1
3.5358372322291566e-10,8.36317558577546e-09,2.021929870205647e-06,6.711095663479684e-06,6.709390546408406e-07,0.0005649854317263391,0.2
5.633013847392654e-10,1.1491842264712739e-08,1.814088863093662e-06,5.503845129768891e-06,8.690563169763049e-07,0.0006006755859582266,0.30000000000000004
7.688589600646317e-10,1.4052451324489751e-08,1.6253245124493522e-06,4.518073709097081e-06,1.0602597334828325e-06,0.000638680215339136,0.4
9.597679619929557e-10,1.6128143995734246e-08,1.4543113348616293e-06,3.713155556161284e-06,1.2455271595270569e-06,0.0006791474417335647,0.5
1.1301920218173906e-09,1.779053625286533e-08,1.2997315385838345e-06,3.0558948545096275e-06,1.425817208013296e-06,0.0007222348774799828,0.6000000000000001
1.2774602815641707e-09,1.910131443919442e-08,1.1602967211690112e-06,2.519172950338941e-06,1.6020640541961497e-06,0.000768110251978233,0.7000000000000001
1.400995990358141e-09,2.0113609805937064e-08,1.0347638312851191e-06,2.0808379327781755e-06,1.775173831969528e-06,0.0008169520783845493,0.8
1.5015577383733386e-09,2.0873178923327628e-08,9.219464001293017e-07,1.72279760349028e-06,1.9460224095376816e-06,0.0008689503626161763,0.9
1.5807075308649697e-09,2.1419417757165983e-08,8.207220149930697e-07,1.4302783828191002e-06,2.11545431113775e-06,0.0009243073559052378,1.0
1.640443378510182e-09,2.1786235983276615e-08,7.300368183558432e-07,1.191218621407584e-06,2.2842825866272787e-06,0.0009832383562324517,1.1
1.6829502283814756e-09,2.2002810138870745e-08,6.489076773550587e-07,9.957721465566455e-07,2.453289449686121e-06,0.0010459725606624154,1.2000000000000002
1.7104363384479537e-09,2.2094231638808982e-08,5.764225391298557e-07,8.35903088294717e-07,2.623227532474545e-06,0.0011127539710502935,1.3
1.7250299986947131e-09,2.208206762632039e-08,5.117394040498411e-07,7.050540204229619e-07,2.794821628492161e-06,0.0011838423603308345,1.4000000000000001
1.7287177925546016e-09,2.198484336068788e-08,4.5408428961565467e-07,5.978751144061105e-07,2.9687707960780136e-06,0.0012595142984627,1.5
1.723311984287503e-09,2.1818459984611114e-08,4.0274844881318743e-07,5.100023799752694e-07,3.1457507402510077e-06,0.0013400642474050528,1.6
1.710437362632032e-09,2.1596554459422033e-08,3.570850951716546e-07,4.3787696911297515e-07,3.326416376799658e-06,0.0014258057232211024,1.7000000000000002
1.6915308063044713e-09,2.133081161688623e-08,3.165057993198373e-07,3.785971495347335e-07,3.5114045266453316e-06,0.0015170725362308021,1.8
1.6678488348077587e-09,2.1031233896748864e-08,2.8047671326798695e-07,3.297974499783897e-07,3.7013366781223733e-06,0.001614220110322472,1.9000000000000001
