Time,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses,r,K1,g1,beta1,d_u,d_m,delta_i1,d_i,a1_v,a1_i,a1_u,p_m1,r0_m1,r0_m2,r_u_m1,r_v_m2,d_e1,d_e2,p_m2,K2,g2,beta2,delta_i2,b,c,omega,delta_v,h_u,h_v,h_m,a2_u,Whole_organism,tumour_growth_production,tumour_infection,tumour_elimination,infected_tumour_lysis_elimination,M1_activation_growth,M1_polarisation,M1_death,M2_activation_growth,M2_infection,M2_death,infected_M2_lysis,virus_production,virus_death_elimination
0.0,0.0005,0.0,2.5e-06,2.5e-07,0.0,1e-05,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.0003099449000999001,5e-08,4.995004995004996e-06,0.0,1.6750585812499997e-06,2.0855833333333333e-06,2.2e-06,1.42624608125e-07,1.25e-09,3e-08,0.0,0.0,2.0000004995004998e-05
0.1,0.0005314705300203013,4.569922994818451e-09,2.2501517903492655e-06,4.6491793223465007e-07,1.5690603151687432e-10,8.189538805752665e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.00032953390806048034,4.352498529715194e-08,4.774678124649025e-06,1.910080660829592e-09,1.4873890846280706e-06,1.895601821949101e-06,1.9801335755073535e-06,2.6513536950403287e-07,1.9037317237629776e-09,5.5790151868158006e-08,8.159113638877465e-11,4.6351959039294706e-08,1.6379081290205236e-05
0.2,0.0005649854317263391,8.36317558577546e-09,2.021929870205647e-06,6.709390546408406e-07,3.5358372322291566e-10,6.711095663479684e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.00035039550332138883,3.7916712807878315e-08,4.557213233200153e-06,3.480186188991058e-09,1.3203470280455672e-06,1.7192245954641448e-06,1.7792982857809695e-06,3.825754776551802e-07,2.251368090029652e-09,8.051268655690087e-08,1.8386353607591615e-10,8.510266414636192e-08,1.3422194033568446e-05
0.30000000000000004,0.0006006755859582266,1.1491842264712739e-08,1.814088863093662e-06,8.690563169763049e-07,5.633013847392654e-10,5.503845129768891e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.00037261133040434257,3.30602539834726e-08,4.343616174974784e-06,4.762936941671922e-09,1.1717019631620607e-06,1.556128219539654e-06,1.5963981995224226e-06,4.955109404445506e-07,2.3915756888424626e-09,1.0428675803715658e-07,2.92916720064418e-10,1.1726175640764273e-07,1.100769224951301e-05
0.4,0.000638680215339136,1.4052451324489751e-08,1.6253245124493522e-06,1.0602597334828325e-06,7.688589600646317e-10,4.518073709097081e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.0003962682735330446,2.8856042894442126e-08,4.134714951339177e-06,5.802927235514604e-09,1.0394676749441402e-06,1.4058587061289553e-06,1.43028557095543e-06,6.045060951114523e-07,2.395165813331532e-09,1.272311680179399e-07,3.9980665923360853e-10,1.4372296651876637e-07,9.036148880658982e-06
0.5,0.0006791474417335647,1.6128143995734246e-08,1.4543113348616293e-06,1.2455271595270569e-06,9.597679619929557e-10,3.713155556161284e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.0004214588068033538,2.5217800967257075e-08,3.9311817158371595e-06,6.637970117226495e-09,9.218730371901131e-07,1.267865930501626e-06,1.2797939746782339e-06,7.101183510392182e-07,2.3124180463738366e-09,1.4946325914324683e-07,4.99079340236337e-10,1.6527407467923318e-07,7.426312186985324e-06
0.6000000000000001,0.0007222348774799828,1.779053625286533e-08,1.2997315385838345e-06,1.425817208013296e-06,1.1301920218173906e-09,3.0558948545096275e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.0004482813657536137,2.2070738458384706e-08,3.733552341402302e-06,7.3001488425987265e-09,8.17337056134725e-07,1.141532428504725e-06,1.1437637539537744e-06,8.128941521903953e-07,2.1785737347195573e-09,1.710980649615955e-07,5.876998513450431e-10,1.8260696133941363e-07,6.111790498883034e-06
0.7000000000000001,0.000768110251978233,1.910131443919442e-08,1.1602967211690112e-06,1.6020640541961497e-06,1.2774602815641707e-09,2.519172950338941e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.0004768407413686536,1.9350025696615926e-08,3.5422436227497353e-06,7.816702331280598e-09,7.244474169947713e-07,1.0261971933700813e-06,1.02106111462873e-06,9.13366015931825e-07,2.01793821502064e-09,1.9224768650353794e-07,6.642793464133688e-10,1.9632737916325115e-07,5.0383464815531075e-06
0.8,0.0008169520783845493,2.0113609805937064e-08,1.0347638312851191e-06,1.775173831969528e-06,1.400995990358141e-09,2.0808379327781755e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.0005072484994864234,1.6999448739645395e-08,3.3575687774907908e-06,8.210772660923573e-09,6.419418222197604e-07,9.21175230448974e-07,9.105921715309049e-07,1.0120504790093754e-06,1.8469245234186925e-09,2.1302085983634334e-07,7.285179149862333e-10,2.069642413792605e-07,4.161676293155268e-06
0.9,0.0008689503626161763,2.0873178923327628e-08,9.219464001293017e-07,1.9460224095376816e-06,1.5015577383733386e-09,1.72279760349028e-06,0.62,1.0,0.0,10.0,1.0,0.2,0.4,2.0,0.025,0.00025,1.25e-07,0.57,0.001,0.001,1.0,0.0,0.88,0.12,0.57,1.0,0.0,500.0,0.52,25.0,8.0,2.0,5e-05,0.0001,1e-06,0.00025,2.5e-07,1.0,0.000539623427029131,1.4970256022671585e-08,3.1797511667114443e-06,8.502034069675952e-09,5.686917181063104e-07,8.257733427376027e-07,8.113128321137855e-07,1.1094468297821357e-06,1.676301371744949e-09,2.335226891445218e-07,7.808100239541361e-10,2.1497826942490937e-07,3.445595522192333e-06
