data_generator_T_figure_2c,data_generator_V_figure_2c
0.0,-53.900669
10.0,-53.8899
20.0,-53.879116
30.0,-53.868317
40.0,-53.857502
50.0,-53.846672
60.0,-53.835827
70.0,-53.82497
80.0,-53.814102
90.0,-53.803223
100.0,-53.792328
110.0,-53.781425
120.0,-53.770508
130.0,-53.759583
140.0,-53.748642
150.0,-53.737698
160.0,-53.726738
170.0,-53.715771
180.0,-53.704796
190.0,-53.693813
200.0,-53.682819
210.0,-53.671818
220.0,-53.660809
230.0,-53.649792
240.0,-53.638767
250.0,-53.627735
260.0,-53.616695
270.0,-53.605652
280.0,-53.594601
290.0,-53.583542
300.0,-53.572479
310.0,-53.561409
320.0,-53.550335
330.0,-53.539253
340.0,-53.528168
350.0,-53.517078
360.0,-53.505981
370.0,-53.494881
380.0,-53.483776
390.0,-53.472668
400.0,-53.461555
410.0,-53.450439
420.0,-53.43932
430.0,-53.428196
440.0,-53.417068
450.0,-53.405937
460.0,-53.394802
470.0,-53.383667
480.0,-53.372524
490.0,-53.361382
500.0,-53.350239
510.0,-53.339088
520.0,-53.327938
530.0,-53.316788
540.0,-53.305634
550.0,-53.294476
560.0,-53.283318
570.0,-53.272156
580.0,-53.260994
590.0,-53.249828
600.0,-53.238663
610.0,-53.227497
620.0,-53.216328
630.0,-53.205158
640.0,-53.193985
650.0,-53.182812
660.0,-53.171638
670.0,-53.160465
680.0,-53.149288
690.0,-53.138111
700.0,-53.126934
710.0,-53.115757
720.0,-53.10458
730.0,-53.093399
740.0,-53.082218
750.0,-53.071037
760.0,-53.059856
770.0,-53.048676
780.0,-53.037491
790.0,-53.02631
800.0,-53.015125
810.0,-53.003941
820.0,-52.99276
830.0,-52.981575
840.0,-52.97039
850.0,-52.959206
860.0,-52.948021
870.0,-52.936836
880.0,-52.925648
890.0,-52.914463
900.0,-52.903278
910.0,-52.892094
920.0,-52.880905
930.0,-52.86972
940.0,-52.858536
950.0,-52.847347
960.0,-52.836163
970.0,-52.824974
980.0,-52.813789
990.0,-52.802601
1000.0,-52.791416
1010.0,-52.780228
1020.0,-52.769043
1030.0,-52.757854
1040.0,-52.746666
1050.0,-52.735481
1060.0,-52.724293
1070.0,-52.713104
1080.0,-52.701916
1090.0,-52.690727
1100.0,-52.679539
1110.0,-52.66835
1120.0,-52.657162
1130.0,-52.645969
1140.0,-52.634781
1150.0,-52.623589
1160.0,-52.6124
1170.0,-52.601208
1180.0,-52.590015
1190.0,-52.578823
1200.0,-52.567631
1210.0,-52.556435
1220.0,-52.545238
1230.0,-52.534046
1240.0,-52.52285
1250.0,-52.51165
1260.0,-52.500454
1270.0,-52.489254
1280.0,-52.478054
1290.0,-52.46685
1300.0,-52.45565
1310.0,-52.444447
1320.0,-52.433239
1330.0,-52.422035
1340.0,-52.410824
1350.0,-52.399616
1360.0,-52.388405
1370.0,-52.377193
1380.0,-52.365978
1390.0,-52.354763
1400.0,-52.343544
1410.0,-52.332325
1420.0,-52.321102
1430.0,-52.309875
1440.0,-52.298653
1450.0,-52.287422
1460.0,-52.276192
1470.0,-52.264957
1480.0,-52.253719
1490.0,-52.242481
1500.0,-52.231239
1510.0,-52.219997
1520.0,-52.208748
1530.0,-52.197498
1540.0,-52.186245
1550.0,-52.174988
1560.0,-52.163727
1570.0,-52.152462
1580.0,-52.141197
1590.0,-52.129925
1600.0,-52.118649
1610.0,-52.107372
1620.0,-52.096088
1630.0,-52.084801
1640.0,-52.073509
1650.0,-52.062214
1660.0,-52.050915
1670.0,-52.039608
1680.0,-52.028301
1690.0,-52.016983
1700.0,-52.005665
1710.0,-51.994339
1720.0,-51.983009
1730.0,-51.971672
1740.0,-51.960331
1750.0,-51.948986
1760.0,-51.937634
1770.0,-51.926273
1780.0,-51.914906
1790.0,-51.903534
1800.0,-51.892159
1810.0,-51.880772
1820.0,-51.869381
1830.0,-51.857983
1840.0,-51.846577
1850.0,-51.835163
1860.0,-51.823742
1870.0,-51.812313
1880.0,-51.800877
1890.0,-51.789433
1900.0,-51.777981
1910.0,-51.766518
1920.0,-51.755051
1930.0,-51.743572
1940.0,-51.732082
1950.0,-51.720589
1960.0,-51.70908
1970.0,-51.697567
1980.0,-51.686043
1990.0,-51.674507
2000.0,-51.66296
2010.0,-51.651405
2020.0,-51.639839
2030.0,-51.628262
2040.0,-51.616676
2050.0,-51.605076
2060.0,-51.593464
2070.0,-51.581844
2080.0,-51.57021
2090.0,-51.558563
2100.0,-51.546906
2110.0,-51.535233
2120.0,-51.523548
2130.0,-51.511852
2140.0,-51.500141
2150.0,-51.488415
2160.0,-51.476677
2170.0,-51.464924
2180.0,-51.453159
2190.0,-51.441376
2200.0,-51.429581
2210.0,-51.417767
2220.0,-51.405941
2230.0,-51.394096
2240.0,-51.382236
2250.0,-51.370361
2260.0,-51.358467
2270.0,-51.346558
2280.0,-51.334629
2290.0,-51.322685
2300.0,-51.310719
2310.0,-51.298737
2320.0,-51.286739
2330.0,-51.274719
2340.0,-51.26268
2350.0,-51.250618
2360.0,-51.238541
2370.0,-51.22644
2380.0,-51.214317
2390.0,-51.202175
2400.0,-51.190014
2410.0,-51.177826
2420.0,-51.165619
2430.0,-51.153385
2440.0,-51.141132
2450.0,-51.128853
2460.0,-51.116547
2470.0,-51.104221
2480.0,-51.091866
2490.0,-51.079487
2500.0,-51.067081
2510.0,-51.054653
2520.0,-51.042194
2530.0,-51.029705
2540.0,-51.017193
2550.0,-51.00465
2560.0,-50.992077
2570.0,-50.979473
2580.0,-50.966843
2590.0,-50.954178
2600.0,-50.941483
2610.0,-50.928757
2620.0,-50.915997
2630.0,-50.903202
2640.0,-50.890373
2650.0,-50.877514
2660.0,-50.864616
2670.0,-50.851681
2680.0,-50.838711
2690.0,-50.825706
2700.0,-50.81266
2710.0,-50.799576
2720.0,-50.786449
2730.0,-50.773285
2740.0,-50.760078
2750.0,-50.74683
2760.0,-50.73354
2770.0,-50.720203
2780.0,-50.706821
2790.0,-50.693394
2800.0,-50.679924
2810.0,-50.666401
2820.0,-50.652832
2830.0,-50.639214
2840.0,-50.625542
2850.0,-50.61182
2860.0,-50.598045
2870.0,-50.584213
2880.0,-50.570328
2890.0,-50.556389
2900.0,-50.542385
2910.0,-50.528328
2920.0,-50.514206
2930.0,-50.500027
2940.0,-50.485779
2950.0,-50.47147
2960.0,-50.457092
2970.0,-50.442646
2980.0,-50.428131
2990.0,-50.413544
3000.0,-50.398884
3010.0,-50.384151
3020.0,-50.369339
3030.0,-50.354446
3040.0,-50.339474
3050.0,-50.324421
3060.0,-50.30928
3070.0,-50.294052
3080.0,-50.278732
3090.0,-50.263321
3100.0,-50.247818
3110.0,-50.232216
3120.0,-50.216511
3130.0,-50.200706
3140.0,-50.184792
3150.0,-50.16877
3160.0,-50.152637
3170.0,-50.136387
3180.0,-50.120014
3190.0,-50.103519
3200.0,-50.086899
3210.0,-50.070148
3220.0,-50.053261
3230.0,-50.036232
3240.0,-50.019058
3250.0,-50.001736
3260.0,-49.984257
3270.0,-49.966618
3280.0,-49.948814
3290.0,-49.930836
3300.0,-49.912678
3310.0,-49.894337
3320.0,-49.875801
3330.0,-49.857063
3340.0,-49.83812
3350.0,-49.818958
3360.0,-49.799568
3370.0,-49.779942
3380.0,-49.760067
3390.0,-49.739937
3400.0,-49.719536
3410.0,-49.698856
3420.0,-49.677876
3430.0,-49.656586
3440.0,-49.634972
3450.0,-49.61301
3460.0,-49.590691
3470.0,-49.567989
3480.0,-49.544884
3490.0,-49.521355
3500.0,-49.497372
3510.0,-49.472912
3520.0,-49.447945
3530.0,-49.422432
3540.0,-49.396347
3550.0,-49.36964
3560.0,-49.342274
3570.0,-49.314198
3580.0,-49.285358
3590.0,-49.255692
3600.0,-49.225136
3610.0,-49.193611
3620.0,-49.161034
3630.0,-49.127308
3640.0,-49.092319
3650.0,-49.055946
3660.0,-49.01804
3670.0,-48.978436
3680.0,-48.936939
3690.0,-48.893322
3700.0,-48.847313
3710.0,-48.798592
3720.0,-48.746777
3730.0,-48.691402
3740.0,-48.631897
3750.0,-48.567554
3760.0,-48.497494
3770.0,-48.420582
3780.0,-48.335358
3790.0,-48.239887
3800.0,-48.131554
3810.0,-48.006721
3820.0,-47.860161
3830.0,-47.684055
3840.0,-47.466084
3850.0,-47.185509
3860.0,-46.803951
3870.0,-46.239784
3880.0,-45.271809
3890.0,-42.819805
3900.0,-48.263153
3910.0,-48.398788
3920.0,-48.395222
3930.0,-48.389927
3940.0,-48.382805
3950.0,-48.373703
3960.0,-48.362446
3970.0,-48.348827
3980.0,-48.332619
3990.0,-48.313557
4000.0,-48.291313
4010.0,-48.265518
4020.0,-48.235714
4030.0,-48.201336
4040.0,-48.16169
4050.0,-48.115906
4060.0,-48.06287
4070.0,-48.001125
4080.0,-47.928753
4090.0,-47.843136
4100.0,-47.740623
4110.0,-47.61594
4120.0,-47.461159
4130.0,-47.263725
4140.0,-47.002319
4150.0,-46.637131
4160.0,-46.082172
4170.0,-45.098022
4180.0,-42.404415
4190.0,-48.366802
4200.0,-48.462067
4210.0,-48.526745
4220.0,-48.593216
4230.0,-48.660881
4240.0,-48.729065
4250.0,-48.797062
4260.0,-48.864166
4270.0,-48.929699
4280.0,-48.993034
4290.0,-49.053612
4300.0,-49.110962
4310.0,-49.164703
4320.0,-49.21455
