Time,E,T,s,p,g,m,d,a,b,n,e1,e2,compartment,Fomation_of_activated_immune_effector_cell,Removal_of_activated_tumor_immune_cell,Formation_of_tumor_cell,Removal_of_tumor_cell
0.0,1708110.0,8286380.0,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,74882.12980210617,75217.64741100396,1466829.326338416,1558360.74445218
2.0,1706592.2018570986,8106980.972804172,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73872.0824316914,75046.04197262091,1435596.2445271239,1523267.6870179414
4.0,1703444.2080857267,7936534.350344086,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72842.80506157015,74808.25492903375,1405900.2951640266,1488490.7261975121
6.0,1698772.0003660864,7777290.6995278895,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71814.22536475542,74510.499322059,1378137.2756900333,1454623.9890651172
8.0,1692708.5862351363,7631116.487462684,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,70804.95626893154,74159.87889327169,1352636.749759002,1422189.9297378345
10.0,1685407.6765870147,7499488.237332304,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69831.74855737272,73764.0999200146,1329660.6461439359,1391630.4245286947
12.0,1677038.7510305403,7383537.864600305,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68909.35257710822,73331.2808968555,1309410.8283247799,1363310.9509618233
14.0,1667781.899352894,7284099.3410690585,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68050.46647652912,72869.75876081623,1292036.964236628,1337526.6226569773
16.0,1657824.1968322326,7201720.546515784,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67265.6211313958,72387.94655745065,1277638.3779940023,1314504.4425502326
18.0,1647355.0730167744,7136708.262033252,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,66563.28357214629,71894.16920235773,1266271.7494317307,1294411.8508671427
20.0,1636562.2133977746,7089168.472579815,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,65950.009259188,71396.52147938679,1257958.0535966235,1277365.3636545073
22.0,1625628.678571526,7059030.7826988185,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,65430.586994484016,70902.77073580338,1252686.771272995,1263437.453448512
24.0,1614730.2215193058,7046069.698503967,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,65008.199989056266,70420.2662032386,1250419.5903800908,1252662.9355301464
26.0,1604033.3540818451,7049919.948532272,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64684.59349077212,69955.87675496026,1251093.0970747522,1245044.5721899057
28.0,1593693.7636982282,7070087.22043529,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64460.23381002511,69515.94001305691,1254620.6916887097,1240557.6857123298
30.0,1583854.9216528255,7105954.765644842,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64334.44826870153,69106.21582096639,1260893.8042887708,1239153.6372898435
32.0,1574647.0843194593,7156786.083242116,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64305.547640738856,68731.85277639328,1269782.443648717,1240762.2985321884
34.0,1566186.1051874955,7221727.8629570175,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64370.92967739591,68397.34453105945,1281135.8081346836,1245293.738768394
36.0,1558573.3061979099,7299803.263000169,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64527.1484656076,68106.52492017843,1294781.2213757676,1252638.3635335518
38.0,1551895.4753985421,7389905.280799384,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,64769.97079180007,67862.56657309626,1310523.0985225819,1262666.4986354888
40.0,1546224.5969926908,7490791.99696267,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,65094.41374807331,67667.9667036038,1328142.252146247,1275227.3967162305
42.0,1541617.7466290074,7601082.268469862,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,65494.76861246112,67524.53820876063,1347395.285729838,1290147.7613844892
44.0,1538116.9582573655,7719253.840756819,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,65964.61365504944,67433.39871449696,1368014.4145873333,1307229.9876555062
46.0,1535749.0992685677,7843646.554635745,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,66496.82931613573,67394.96067538313,1389708.1749757763,1326250.6317520395
48.0,1534525.9722190106,7972468.716018748,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67083.61296853285,67408.93127262726,1412162.6762093315,1346959.029848518
50.0,1534444.3990926498,8103809.928606236,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67716.50161505086,67474.31346040977,1435043.9624198906,1369076.5177643632
