E_1_task1,T_2_task1,_1_task1
1708110.0,8286380.0,0.0
1706592.2018570986,8106980.972804172,2.0
1703444.2080857267,7936534.350344086,4.0
1698772.0003660864,7777290.6995278895,6.0
1692708.5862351363,7631116.487462684,8.0
1685407.6765870147,7499488.237332304,10.0
1677038.7510305403,7383537.864600305,12.0
1667781.899352894,7284099.3410690585,14.0
1657824.1968322326,7201720.546515784,16.0
1647355.0730167744,7136708.262033252,18.0
1636562.2133977746,7089168.472579815,20.0
1625628.678571526,7059030.7826988185,22.0
1614730.2215193058,7046069.698503967,24.0
1604033.3540818451,7049919.948532272,26.0
1593693.7636982282,7070087.22043529,28.0
1583854.9216528255,7105954.765644842,30.0
1574647.0843194593,7156786.083242116,32.0
1566186.1051874955,7221727.8629570175,34.0
1558573.3061979099,7299803.263000169,36.0
1551895.4753985421,7389905.280799384,38.0
1546224.5969926908,7490791.99696267,40.0
1541617.7466290074,7601082.268469862,42.0
1538116.9582573655,7719253.840756819,44.0
1535749.0992685677,7843646.554635745,46.0
1534525.9722190106,7972468.716018748,48.0
1534444.3990926498,8103809.928606236,50.0
1535486.3407539767,8235659.339438849,52.0
1537619.0945670805,8365932.038784029,54.0
1540795.5192381262,8492504.169385996,56.0
1544954.4119585338,8613252.600736022,58.0
1550021.050202969,8726101.342487974,60.0
1555907.8579425493,8829070.742755588,62.0
1562515.3322472218,8920331.963900005,64.0
1569733.1836963845,8998259.55714079,66.0
1577441.682800609,9061480.712887045,68.0
1585513.296353009,9108919.055746319,70.0
1593814.48888018,9139832.34651276,72.0
1602207.9085423215,9153837.240995396,74.0
1610554.7167558,9150921.122078113,76.0
1618716.9875224095,9131443.885057097,78.0
1626560.3998289744,9096121.572904209,80.0
1633956.8207894943,9046004.578071624,82.0
1640786.9797964653,8982434.370880948,84.0
1646942.8713694694,8906998.319021406,86.0
1652330.000028452,8821477.053151658,88.0
1656869.291147993,8727787.371386092,90.0
1660498.759928793,8627925.572371216,92.0
1663174.5122124865,8523909.869254367,94.0
1664871.3674194694,8417731.437147329,96.0
1665582.9848301609,8311309.880912023,98.0
1665321.4383287262,8206456.749831314,100.0
1664116.5502581345,8104843.491748084,102.0
1662014.3789668048,8007983.9473518785,104.0
1659075.7202934376,7917219.414080127,106.0
1655374.2360186442,7833711.40804615,108.0
1650994.3825248715,7758440.461540234,110.0
1646029.2867562876,7692207.407417864,112.0
1640578.4550242594,7635642.291686343,114.0
1634745.6874198474,7589210.915575016,116.0
1628637.0123009637,7553224.241915831,118.0
1622358.7607484774,7527848.007875506,120.0
1616015.7652696176,7513112.249901744,122.0
1609709.8396750195,7508919.932548841,124.0
1603538.373395938,7515054.373411446,126.0
1597593.1396425844,7531185.8001132505,128.0
1591959.261648312,7556877.119532518,130.0
1586714.353296972,7591588.764256522,132.0
1581927.8734596903,7634682.708690898,134.0
1577660.5384945355,7685426.82261804,136.0
1573963.8960618875,7742999.341182506,138.0
1570879.9867932484,7806494.00153894,140.0
1568441.129537213,7874926.151089721,142.0
1566669.8026592897,7947240.870851954,144.0
1565578.578379192,8022322.758651385,146.0
1565170.1618780796,8099008.0362360105,148.0
1565437.4921310155,8176098.460675559,150.0
1566363.9520881828,8252378.268192821,152.0
1567923.665501522,8326633.450513058,154.0
1570081.8734911918,8397672.374088397,156.0
1572795.4281741006,8464348.169372883,158.0
1576013.3615355073,8525581.536780486,160.0
1579677.6101653297,8580384.54909442,162.0
1583723.8708092193,8627882.468590675,164.0
1588082.5880484935,8667333.179779507,166.0
1592679.6658530503,8698148.755805649,168.0
1597438.1140265313,8719903.892589983,170.0
1602278.4850937913,8732357.594603011,172.0
1607121.147397919,8735444.547962314,174.0
1611886.5889011787,8729300.524494907,176.0
1616498.346517587,8714219.158199366,178.0
1620883.157526865,8690663.424511978,180.0
1624972.5177384834,8659248.59370829,182.0
1628703.796915489,8620727.669555882,184.0
1632021.3325483515,8575969.382808918,186.0
1634877.643562559,8525931.5489333,188.0
1637234.1329272012,8471637.108324146,190.0
1639061.8592743042,8414148.434709867,192.0
1640341.681622701,8354542.171642414,194.0
1641064.4314361315,8293888.606919464,196.0
1641230.8651517385,8233230.711637579,198.0
1640851.4863487163,8173564.98617187,200.0
