p3g,php,pser,ser,serA,serB,serC,Time
2.36,0.6,0.09,4.9,1.15,0.25,0.1,0.0
2.36,0.5984574902339179,0.08925594709170023,4.9,1.15,0.25,0.1,0.01
2.36,0.5969139672626428,0.08851974687766462,4.9,1.15,0.25,0.1,0.02
2.36,0.5953694396778673,0.08779139174840592,4.9,1.15,0.25,0.1,0.03
2.36,0.5938239163833956,0.08707087120976731,4.9,1.15,0.25,0.1,0.04
2.36,0.5922774078263182,0.0863581718080562,4.9,1.15,0.25,0.1,0.05
2.36,0.5907299239041902,0.0856532796392457,4.9,1.15,0.25,0.1,0.06
2.36,0.5891814745555117,0.08495617980778736,4.9,1.15,0.25,0.1,0.07
2.36,0.5876320697793311,0.0842668562113262,4.9,1.15,0.25,0.1,0.08
2.36,0.5860817196612881,0.0835852915177152,4.9,1.15,0.25,0.1,0.09
2.36,0.5845304343763871,0.0829114671751818,4.9,1.15,0.25,0.1,0.1
2.36,0.5829782241848774,0.08224536342260867,4.9,1.15,0.25,0.1,0.11
2.36,0.5814250994279899,0.08158695929388882,4.9,1.15,0.25,0.1,0.12
2.36,0.579871070519842,0.08093623269583086,4.9,1.15,0.25,0.1,0.13
2.36,0.5783161479517764,0.08029316030962043,4.9,1.15,0.25,0.1,0.14
2.36,0.5767603422953356,0.07965771750841709,4.9,1.15,0.25,0.1,0.15
2.36,0.575203664193344,0.07902987846071202,4.9,1.15,0.25,0.1,0.16
2.36,0.5736461243558773,0.07840961616110614,4.9,1.15,0.25,0.1,0.17
2.36,0.5720877335576046,0.07779690244198696,4.9,1.15,0.25,0.1,0.18
2.36,0.5705285026366782,0.07719170796113718,4.9,1.15,0.25,0.1,0.19
2.36,0.5689684424930995,0.07659400219711476,4.9,1.15,0.25,0.1,0.2
2.36,0.5674075640865585,0.07600375345258642,4.9,1.15,0.25,0.1,0.21
2.36,0.5658458784338574,0.07542092886449986,4.9,1.15,0.25,0.1,0.22
2.36,0.5642833966062789,0.07484549441578428,4.9,1.15,0.25,0.1,0.23
2.36,0.5627201297271305,0.07427741494640641,4.9,1.15,0.25,0.1,0.24
2.36,0.5611560889692231,0.07371665416476111,4.9,1.15,0.25,0.1,0.25
2.36,0.5595912855519042,0.07316317466162911,4.9,1.15,0.25,0.1,0.26
2.36,0.5580257307386128,0.07261693792278945,4.9,1.15,0.25,0.1,0.27
2.36,0.5564594358346122,0.0720779043419315,4.9,1.15,0.25,0.1,0.28
2.36,0.5548924121844514,0.0715460332356804,4.9,1.15,0.25,0.1,0.29
2.36,0.5533246711692,0.07102128286040899,4.9,1.15,0.25,0.1,0.3
2.36,0.5517562242037171,0.07050361042970217,4.9,1.15,0.25,0.1,0.31
2.36,0.5501870827340444,0.0699929721321306,4.9,1.15,0.25,0.1,0.32
2.36,0.548617258234833,0.06948932314974253,4.9,1.15,0.25,0.1,0.33
2.36,0.5470467622067184,0.06899261767760319,4.9,1.15,0.25,0.1,0.34
2.36,0.5454756061736586,0.06850280894429525,4.9,1.15,0.25,0.1,0.35000000000000003
2.36,0.5439038016802832,0.06801984923315323,4.9,1.15,0.25,0.1,0.36
2.36,0.5423313602892723,0.06754368990415062,4.9,1.15,0.25,0.1,0.37
2.36,0.5407582935787498,0.06707428141648979,4.9,1.15,0.25,0.1,0.38
2.36,0.539184613139677,0.066611573351925,4.9,1.15,0.25,0.1,0.39
2.36,0.537610330573254,0.06615551443877386,4.9,1.15,0.25,0.1,0.4
2.36,0.5360354574883383,0.06570605257654866,4.9,1.15,0.25,0.1,0.41000000000000003
2.36,0.5344600054988864,0.06526313486116504,4.9,1.15,0.25,0.1,0.42
2.36,0.5328839862214166,0.06482670761070858,4.9,1.15,0.25,0.1,0.43
2.36,0.5313074112724935,0.06439671639173361,4.9,1.15,0.25,0.1,0.44
2.36,0.5297302922662361,0.06397310604605472,4.9,1.15,0.25,0.1,0.45
2.36,0.528152640811855,0.06355582071799136,4.9,1.15,0.25,0.1,0.46
2.36,0.5265744685112186,0.0631448038820216,4.9,1.15,0.25,0.1,0.47000000000000003
2.36,0.5249957869564532,0.06273999837081003,4.9,1.15,0.25,0.1,0.48
2.36,0.5234166077275763,0.06234134640357526,4.9,1.15,0.25,0.1,0.49
2.36,0.5218369423901644,0.06194878961475783,4.9,1.15,0.25,0.1,0.5
2.36,0.5202568024930617,0.06156226908294715,4.9,1.15,0.25,0.1,0.51
2.36,0.5186761995661259,0.06118172536002766,4.9,1.15,0.25,0.1,0.52
2.36,0.5170951451180184,0.06080709850050552,4.9,1.15,0.25,0.1,0.53
2.36,0.5155136506340358,0.06043832809097753,4.9,1.15,0.25,0.1,0.54
2.36,0.5139317275739883,0.06007535327970308,4.9,1.15,0.25,0.1,0.55
2.36,0.5123493873701235,0.05971811280624013,4.9,1.15,0.25,0.1,0.56
2.36,0.5107666414250992,0.059366545031106624,4.9,1.15,0.25,0.1,0.5700000000000001
2.36,0.5091835011100055,0.05902058796542977,4.9,1.15,0.25,0.1,0.58
2.36,0.5075999777624384,0.058680179300545705,4.9,1.15,0.25,0.1,0.59
2.36,0.5060160826846245,0.05834525643751314,4.9,1.15,0.25,0.1,0.6
2.36,0.5044318271416004,0.05801575651650461,4.9,1.15,0.25,0.1,0.61
2.36,0.5028472223594453,0.0576916164460403,4.9,1.15,0.25,0.1,0.62
2.36,0.5012622795235702,0.057372772932030074,4.9,1.15,0.25,0.1,0.63
2.36,0.499677009777062,0.05705916250659027,4.9,1.15,0.25,0.1,0.64
2.36,0.4980914242190859,0.056750721556602914,4.9,1.15,0.25,0.1,0.65
2.36,0.4965055339033452,0.05644738635198586,4.9,1.15,0.25,0.1,0.66
2.36,0.49491934983659874,0.056149093073643755,4.9,1.15,0.25,0.1,0.67
2.36,0.4933328829772387,0.055855777841070556,4.9,1.15,0.25,0.1,0.68
2.36,0.49174614423392654,0.05556737673957586,4.9,1.15,0.25,0.1,0.6900000000000001
2.36,0.4901591444642895,0.05528382584710826,4.9,1.15,0.25,0.1,0.7000000000000001
2.36,0.4885718944736766,0.05500506126065046,4.9,1.15,0.25,0.1,0.71
2.36,0.48698440501397533,0.05473101912216194,4.9,1.15,0.25,0.1,0.72
2.36,0.48539668678248854,0.05446163564404659,4.9,1.15,0.25,0.1,0.73
2.36,0.4838087504208716,0.05419684713412377,4.9,1.15,0.25,0.1,0.74
2.36,0.48222060651413023,0.053936590020082865,4.9,1.15,0.25,0.1,0.75
2.36,0.480632265589678,0.05368080087340269,4.9,1.15,0.25,0.1,0.76
2.36,0.47904373811645473,0.05342941643271837,4.9,1.15,0.25,0.1,0.77
2.36,0.4774550345041044,0.05318237362661994,4.9,1.15,0.25,0.1,0.78
2.36,0.4758661651022123,0.05293960959586811,4.9,1.15,0.25,0.1,0.79
2.36,0.47427714019960154,0.05270106171501405,4.9,1.15,0.25,0.1,0.8
2.36,0.4726879700236884,0.052466667613411434,4.9,1.15,0.25,0.1,0.81
2.36,0.47109866473989576,0.052236365195610396,4.9,1.15,0.25,0.1,0.8200000000000001
2.36,0.4695092344511241,0.05201009266112416,4.9,1.15,0.25,0.1,0.8300000000000001
2.36,0.4679196891972795,0.05178778852356076,4.9,1.15,0.25,0.1,0.84
2.36,0.4663300389548583,0.05156939162911312,4.9,1.15,0.25,0.1,0.85
2.36,0.4647402936365872,0.051354841174402546,4.9,1.15,0.25,0.1,0.86
2.36,0.463150463091118,0.05114407672367128,4.9,1.15,0.25,0.1,0.87
2.36,0.46156055710277716,0.050937038225321606,4.9,1.15,0.25,0.1,0.88
2.36,0.45997058539136776,0.05073366602779958,4.9,1.15,0.25,0.1,0.89
2.36,0.4583805576120246,0.05053390089482306,4.9,1.15,0.25,0.1,0.9
2.36,0.4567904833551204,0.05033768401995442,4.9,1.15,0.25,0.1,0.91
2.36,0.4552003721462225,0.05014495704051957,4.9,1.15,0.25,0.1,0.92
2.36,0.45361023344609935,0.049955662050875906,4.9,1.15,0.25,0.1,0.93
2.36,0.45202007665077565,0.04976974161503264,4.9,1.15,0.25,0.1,0.9400000000000001
2.36,0.4504299110916347,0.04958713877862805,4.9,1.15,0.25,0.1,0.9500000000000001
2.36,0.44883974603556775,0.049407797080268864,4.9,1.15,0.25,0.1,0.96
2.36,0.44724959068516834,0.04923166056223805,4.9,1.15,0.25,0.1,0.97
2.36,0.44565945417897157,0.04905867378057778,4.9,1.15,0.25,0.1,0.98
2.36,0.4440693455917366,0.0488887818145553,4.9,1.15,0.25,0.1,0.99
2.36,0.4424792739347711,0.048721930275520096,4.9,1.15,0.25,0.1,1.0
2.36,0.4408892481562972,0.04855806531516123,4.9,1.15,0.25,0.1,1.01
2.36,0.4392992771418575,0.048397133633174425,4.9,1.15,0.25,0.1,1.02
2.36,0.4377093697147598,0.04823908248434919,4.9,1.15,0.25,0.1,1.03
2.36,0.43611953463656006,0.04808385968508639,4.9,1.15,0.25,0.1,1.04
2.36,0.4345297806075816,0.04793141361935885,4.9,1.15,0.25,0.1,1.05
2.36,0.43294011626747064,0.04778169324412139,4.9,1.15,0.25,0.1,1.06
2.36,0.43135055019578616,0.04763464809418823,4.9,1.15,0.25,0.1,1.07
2.36,0.42976109091262293,0.04749022828658938,4.9,1.15,0.25,0.1,1.08
2.36,0.42817174687926685,0.04734838452441612,4.9,1.15,0.25,0.1,1.09
2.36,0.4265825264988823,0.047209068100167985,4.9,1.15,0.25,0.1,1.1
2.36,0.42499343811722917,0.04707223089861536,4.9,1.15,0.25,0.1,1.11
2.36,0.42340449002340963,0.046937825399191696,4.9,1.15,0.25,0.1,1.12
2.36,0.4218156904506423,0.04680580467792832,4.9,1.15,0.25,0.1,1.1300000000000001
2.36,0.4202270475770644,0.046676122408944976,4.9,1.15,0.25,0.1,1.1400000000000001
2.36,0.4186385695265595,0.046548732865509604,4.9,1.15,0.25,0.1,1.1500000000000001
2.36,0.41705026436968007,0.046423590920748777,4.9,1.15,0.25,0.1,1.16
2.36,0.41546214012436133,0.046300652047698336,4.9,1.15,0.25,0.1,1.17
2.36,0.41387420475689113,0.046179872319259525,4.9,1.15,0.25,0.1,1.18
2.36,0.4122864661828944,0.04606120840774739,4.9,1.15,0.25,0.1,1.19
2.36,0.4106989322682677,0.04594461758397919,4.9,1.15,0.25,0.1,1.2
2.36,0.4091116108301146,0.04583005771599568,4.9,1.15,0.25,0.1,1.21
2.36,0.4075245096377211,0.045717487267480164,4.9,1.15,0.25,0.1,1.22
2.36,0.40593763641356695,0.04560686529587701,4.9,1.15,0.25,0.1,1.23
2.36,0.404350998834354,0.045498151450197866,4.9,1.15,0.25,0.1,1.24
2.36,0.40276460453209384,0.045391305968404926,4.9,1.15,0.25,0.1,1.25
2.36,0.4011784610950578,0.04528628967486019,4.9,1.15,0.25,0.1,1.26
