Time,p3g,php,pser,ser,serA,serC,serB,cell,PDH,PSA,PSP
0.0,2.36,0.6,0.09,4.9,1.15,0.1,0.25,1.0,5.060846357705952e-06,0.15420500194376055,0.22900355871886116
0.01,2.36,0.5984574902339179,0.08925594709170023,4.9,1.15,0.1,0.25,1.0,5.073686878071722e-06,0.1543069033164379,0.2283194507947907
0.02,2.36,0.5969139672626428,0.08851974687766462,4.9,1.15,0.1,0.25,1.0,5.08660122167818e-06,0.1544078548711756,0.2276353555485391
0.03,2.36,0.5953694396778673,0.08779139174840592,4.9,1.15,0.1,0.25,1.0,5.0995899461462496e-06,0.15450784648346796,0.22695138253547073
0.04,2.36,0.5938239163833956,0.08707087120976731,4.9,1.15,0.1,0.25,1.0,5.112653612165616e-06,0.15460686854136793,0.22626764069864944
0.05,2.36,0.5922774078263182,0.0863581718080562,4.9,1.15,0.1,0.25,1.0,5.125792773011737e-06,0.1547049120089122,0.22558423814603915
0.06,2.36,0.5907299239041902,0.0856532796392457,4.9,1.15,0.1,0.25,1.0,5.139007992196849e-06,0.1548019678605814,0.22490128443592722
0.07,2.36,0.5891814745555117,0.08495617980778736,4.9,1.15,0.1,0.25,1.0,5.152299838577411e-06,0.15489802721188753,0.22421889000842699
0.08,2.36,0.5876320697793311,0.0842668562113262,4.9,1.15,0.1,0.25,1.0,5.165668886245779e-06,0.15499308136799925,0.22353716590605816
0.09,2.36,0.5860817196612881,0.0835852915177152,4.9,1.15,0.1,0.25,1.0,5.179115714361387e-06,0.15508712183382686,0.22285622367189498
0.1,2.36,0.5845304343763871,0.0829114671751818,4.9,1.15,0.1,0.25,1.0,5.192640907178947e-06,0.15518014031666377,0.222176175277394
0.11,2.36,0.5829782241848774,0.08224536342260867,4.9,1.15,0.1,0.25,1.0,5.2062450541370495e-06,0.15527212872858753,0.22149713304845148
0.12,2.36,0.5814250994279899,0.08158695929388882,4.9,1.15,0.1,0.25,1.0,5.219928749949716e-06,0.15536307919008743,0.2208192095835059
0.13,2.36,0.579871070519842,0.08093623269583086,4.9,1.15,0.1,0.25,1.0,5.233692594733791e-06,0.15545298401814173,0.22014251774638197
0.14,2.36,0.5783161479517764,0.08029316030962043,4.9,1.15,0.1,0.25,1.0,5.247537194028238e-06,0.15554183575154634,0.21946717047541156
0.15,2.36,0.5767603422953356,0.07965771750841709,4.9,1.15,0.1,0.25,1.0,5.26146315882513e-06,0.15562962717329853,0.2187932806014173
0.16,2.36,0.575203664193344,0.07902987846071202,4.9,1.15,0.1,0.25,1.0,5.275471105707745e-06,0.1557163512935806,0.2181209608582631
0.17,2.36,0.5736461243558773,0.07840961616110614,4.9,1.15,0.1,0.25,1.0,5.2895616569475884e-06,0.15580200134791322,0.21745032381884424
0.18,2.36,0.5720877335576046,0.07779690244198696,4.9,1.15,0.1,0.25,1.0,5.303735440590771e-06,0.15588657079932747,0.21678148181002646
0.19,2.36,0.5705285026366782,0.07719170796113718,4.9,1.15,0.1,0.25,1.0,5.317993090531746e-06,0.15597005334573608,0.2161145467997449
0.2,2.36,0.5689684424930995,0.07659400219711476,4.9,1.15,0.1,0.25,1.0,5.3323352465929865e-06,0.15605244292570764,0.21544963029018652
0.21,2.36,0.5674075640865585,0.07600375345258642,4.9,1.15,0.1,0.25,1.0,5.3467625546108265e-06,0.1561337337225597,0.21478684321792438
