Time,FeIII,FeII,FeII_O2,FeIII_star,FeII_star,FeII_star_O2,FeIII_NO,FeII_NO,NADPH,O2,citrulline,NO3,NO,NADPplus,FeIII_t,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,cytosol,r1,r2,r3,r4,r5,r6,rF,rG,r9,r10
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,140.0,0.0,0.0,0.0,0.0,1.0,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.9743350900982812,0.014552437306904956,0.010123619528049407,0.0009819917462224085,5.379134351497692e-06,1.416795494411355e-06,6.513536791653871e-08,2.5532778866030305e-10,40.0,140.0,0.0,0.0,0.0,0.0,0.9753170818445036,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.5332712342555315,1.8336071006700243,0.26321410772928455,0.002553178540178262,0.0006777709282887092,3.683668285469523e-05,3.2567683958269356e-07,1.6935195658300065e-07,2.5532778866030306e-14,4.6469657536175156e-11
0.02,0.949328910559847,0.01830680791739003,0.02660658703160998,0.005673439013605801,5.27806228505631e-05,2.8674344705155753e-05,2.7776340894783485e-06,2.2875901546292054e-08,40.0,140.0,0.0,0.0,0.0,0.0,0.9550023495734529,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.4682551674556024,2.3066577975911438,0.6917712628218595,0.014750941435375083,0.006650358479170951,0.0007455329623340496,1.3888170447391742e-05,7.221848632643706e-06,2.2875901546292057e-12,4.163414081425153e-09
0.03,0.924964959624621,0.01900785205010237,0.041368291258644295,0.014323020108393918,0.00017152492059085931,0.00014241274497032164,2.165938012752474e-05,2.7991254945022163e-07,40.0,140.0,0.0,0.0,0.0,0.0,0.9392879797330149,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.4049088950240147,2.3949893583128983,1.0755755727247516,0.037239852281824186,0.021612139994448273,0.0037027313692283626,0.0001082969006376237,5.631438833156433e-05,2.7991254945022164e-11,5.094408399994034e-08
0.04,0.9012282055493162,0.01885216566539897,0.052934206257044515,0.02613189112857052,0.0003622953043969115,0.00040437047094804725,8.533303911790557e-05,1.532585206737297e-06,40.0,140.0,0.0,0.0,0.0,0.0,0.9273600966778867,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.343193334428222,2.3753728738402704,1.3762893626831574,0.06794291693428335,0.045649208354010845,0.010513632244649228,0.00042666519558952787,0.0002218659017065545,1.532585206737297e-10,2.78930507626188e-07
0.05,0.8781057109317844,0.018462617184570193,0.061516226853337616,0.04021101890248479,0.0006121763401262302,0.000853666416978963,0.00023314509999624144,5.43827072135601e-06,40.0,140.0,0.0,0.0,0.0,0.0,0.9183167298342692,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.2830748484226393,2.3262897652558445,1.599421898186778,0.10454864914646046,0.07713421885590502,0.022195326841453037,0.001165725499981207,0.0006061772599902278,5.43827072135601e-10,9.897652712867937e-07
0.06,0.8555869343078129,0.018015715777113608,0.06766012814089695,0.05580509269894514,0.0009054621257895084,0.0015038814833419085,0.0005080501447029121,1.4735321396880645e-05,40.0,140.0,0.0,0.0,0.0,0.0,0.911392027006758,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.2245260292003133,2.269980187916315,1.7591633316633206,0.14509324101725737,0.11408822784947804,0.03910091856688962,0.0025402507235145607,0.0013209303762275716,1.4735321396880646e-09,2.6818284942322773e-06
0.07,0.8336636914810668,0.017561394319134935,0.07189503032741212,0.07231932062364199,0.0012279743433053132,0.002348743190854547,0.0009505933283394456,3.325238624465883e-05,40.0,140.0,0.0,0.0,0.0,0.0,0.9059830121047088,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.1675255978507737,2.212735684211002,1.8692707885127153,0.18803023362146917,0.15472476725646944,0.06106732296221822,0.004752966641697228,0.002471542653682559,3.325238624465883e-09,6.051934296527907e-06
0.08,0.8123298727795559,0.017113714612345766,0.0746595016478219,0.08929873620787515,0.0015681771631111474,0.003369187494344636,0.001595021415757495,6.578867918766871e-05,40.0,140.0,0.0,0.0,0.0,0.0,0.901628608987431,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.1120576692268456,2.1563280411555663,1.9411470428433693,0.2321767141404754,0.19759032255200457,0.08759887485296054,0.007975107078787475,0.004147055680969487,6.578867918766872e-09,1.1973539612155705e-05
0.09,0.7915810249826173,0.016676590181606984,0.0763002808465477,0.10640052739666764,0.0019171038843611191,0.004539233174611864,0.0024673200615200953,0.00011791947206710876,40.0,140.0,0.0,0.0,0.0,0.0,0.8979815523792849,2.6,0.9,26.0,2.6,0.9,26.0,5.0,2.6,0.0001,0.0013,1.0,2.058110664954805,2.10125036288248,1.9838073020102402,0.27664137123133586,0.241555089429501,0.11802006253990847,0.012336600307600476,0.006415032159952248,1.1791947206710877e-08,2.1461343916213792e-05
