A,CDX2,CDX2_Gene,GATA6,GATA6_Gene,GCNF,GCNF_Gene,NANOG,NANOG_Gene,OCT4,OCT4_Gene,OCT4_SOX2,Protein,SG,SN,SOX2,SOX2_Gene,degradation,p53,targetGene,Time
25.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
25.0,0.010197525350886357,0.0,0.010974948012475514,0.0,0.010020508988877984,0.0,0.010000133161985891,0.0,0.01956354734312436,0.0,0.1,0.0,0.0,0.0,0.010000007604522179,0.0,0.0,0.0,0.01,0.01
25.0,0.010398566584902869,0.0,0.012022194504455557,0.0,0.01004220152932851,0.0,0.010000349509107968,0.0,0.02911708903159755,0.0,0.1,0.0,0.0,0.0,0.010000020113360063,0.0,0.0,0.0,0.01,0.02
25.0,0.010603178070584838,0.0,0.013140484342986748,0.0,0.01006514969998669,0.0,0.010000646540741811,0.0,0.03866061090983748,0.0,0.1,0.0,0.0,0.0,0.010000037519553438,0.0,0.0,0.0,0.01,0.03
25.0,0.01081141311922901,0.0,0.01432853596755864,0.0,0.010089424452223411,0.0,0.010001021448699677,0.0,0.04819410402242285,0.0,0.1,0.0,0.0,0.0,0.010000059813164515,0.0,0.0,0.0,0.01,0.04
25.0,0.011023326941634678,0.0,0.015585083843789531,0.0,0.01011509644973957,0.0,0.010001471006056915,0.0,0.057717558321560225,0.0,0.1,0.0,0.0,0.0,0.010000086984019987,0.0,0.0,0.0,0.01,0.05
25.0,0.01123897507303917,0.0,0.016908859692690643,0.0,0.010142236551123236,0.0,0.010001991942798816,0.0,0.06723096363215554,0.0,0.1,0.0,0.0,0.0,0.01000011902189699,0.0,0.0,0.0,0.01,0.06
25.0,0.011458412763915361,0.0,0.018298677560861346,0.0,0.010170911767413696,0.0,0.010002580617076429,0.0,0.07673430878664611,0.0,0.1,0.0,0.0,0.0,0.010000155916796594,0.0,0.0,0.0,0.01,0.07
25.0,0.011681695823139642,0.0,0.019753324033643927,0.0,0.010201190479442271,0.0,0.010003233430047035,0.0,0.08622758267751617,0.0,0.1,0.0,0.0,0.0,0.01000019765858225,0.0,0.0,0.0,0.01,0.08
25.0,0.011908880086112615,0.0,0.02127166114370875,0.0,0.010233137592006196,0.0,0.010003946392304657,0.0,0.09571077310941045,0.0,0.1,0.0,0.0,0.0,0.010000244237282813,0.0,0.0,0.0,0.01,0.09
25.0,0.012140021939060365,0.0,0.02285257151142738,0.0,0.010266817147492224,0.0,0.010004715317033829,0.0,0.10518386720678508,0.0,0.1,0.0,0.0,0.0,0.010000295642894019,0.0,0.0,0.0,0.01,0.1
25.0,0.012375177714926699,0.0,0.024494941472933508,0.0,0.010302293006594354,0.0,0.010005536008780333,0.0,0.1146468520719593,0.0,0.1,0.0,0.0,0.0,0.010000351865427144,0.0,0.0,0.0,0.01,0.11
25.0,0.012614404596009914,0.0,0.026197728684320045,0.0,0.01033962585137589,0.0,0.010006403782921358,0.0,0.12409971310768975,0.0,0.1,0.0,0.0,0.0,0.010000412894925289,0.0,0.0,0.0,0.01,0.12
25.0,0.01285775942394282,0.0,0.027959862263880184,0.0,0.010378877623221804,0.0,0.01000731416095394,0.0,0.13354243634839105,0.0,0.1,0.0,0.0,0.0,0.010000478721415315,0.0,0.0,0.0,0.01,0.13
25.0,0.013105299805246315,0.0,0.029780338503972534,0.0,0.0104201072421076,0.0,0.010008262228038921,0.0,0.14297500616580475,0.0,0.1,0.0,0.0,0.0,0.010000549334952575,0.0,0.0,0.0,0.01,0.14
25.0,0.013357083292812932,0.0,0.03165815437665961,0.0,0.010463373561578585,0.0,0.010009243103636411,0.0,0.15239740684365738,0.0,0.1,0.0,0.0,0.0,0.01000062472559196,0.0,0.0,0.0,0.01,0.15
25.0,0.013613167663849011,0.0,0.033592327527196465,0.0,0.010508734496758345,0.0,0.010010251781838305,0.0,0.1618096221324284,0.0,0.1,0.0,0.0,0.0,0.010000704883396324,0.0,0.0,0.0,0.01,0.16
25.0,0.013873611089347695,0.0,0.03558192640553486,0.0,0.010556245580935606,0.0,0.010011283045120752,0.0,0.17121163432853648,0.0,0.1,0.0,0.0,0.0,0.010000789798447526,0.0,0.0,0.0,0.01,0.17
25.0,0.0141384715199247,0.0,0.03762599665867945,0.0,0.010605963401678528,0.0,0.01001233179881939,0.0,0.1806034263454825,0.0,0.1,0.0,0.0,0.0,0.010000879460818232,0.0,0.0,0.0,0.01,0.18
25.0,0.014407807437018026,0.0,0.03972366346477226,0.0,0.010657940797480173,0.0,0.010013392674239218,0.0,0.18998497875202872,0.0,0.1,0.0,0.0,0.0,0.010000973860608404,0.0,0.0,0.0,0.01,0.19
25.0,0.014681676983665999,0.0,0.04187399892458422,0.0,0.010712233114054642,0.0,0.010014460475374088,0.0,0.1993562736946586,0.0,0.1,0.0,0.0,0.0,0.010001072987900058,0.0,0.0,0.0,0.01,0.2
25.0,0.014960138551968767,0.0,0.0440761390196363,0.0,0.010768892624345763,0.0,0.010015529900724721,0.0,0.20871729129901304,0.0,0.1,0.0,0.0,0.0,0.010001176832793144,0.0,0.0,0.0,0.01,0.21
25.0,0.015243250620502129,0.0,0.04632924584476348,0.0,0.01082797033985002,0.0,0.010016595615588745,0.0,0.21806801085282318,0.0,0.1,0.0,0.0,0.0,0.010001285385394595,0.0,0.0,0.0,0.01,0.22
25.0,0.015531071577106655,0.0,0.048632450593110305,0.0,0.010889518768870126,0.0,0.01001765231705331,0.0,0.2274084126443188,0.0,0.1,0.0,0.0,0.0,0.010001398635803353,0.0,0.0,0.0,0.01,0.23
