Time,OCT4_Gene,NANOG_Gene,SOX2_Gene,GATA6_Gene,CDX2_Gene,GCNF_Gene,targetGene,degradation,p53,A,SG,SN,OCT4,SOX2,NANOG,GATA6,CDX2,GCNF,OCT4_SOX2,Protein,a0,a1,a2,a3,b0,b1,b2,b3,b4,b5,gamma1,c0,c1,c2,d0,d1,d2,d3,gamma2,e0,e1,e2,e3,f0,f1,f2,f3,f4,gamma3,g0,g1,h0,h1,gamma4,i0,i1,i2,j0,j1,gamma5,p0,p1,p2,q0,q1,q2,q3,gammag,gamman,cell,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9578556547093687,0.001,0.0010005144695852076,0.001,0.0010090706470329616,0.001,0.020578147966683,0.001,0.002994011976047905,0.001,0.09482953700530819,0.001
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.01956354734312436,0.010000007604522179,0.010000133161985891,0.010974948012475514,0.010197525350886357,0.010020508988877984,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9578112657650357,0.001956354734312436,0.0010010064763088474,0.001000000760452218,0.0010175344510171677,0.0010000133161985891,0.020946942202743988,0.0010197525350886358,0.003110661296990889,0.0010020508988877984,0.1022311328502763,0.0010974948012475515
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.02911708903159755,0.010000020113360063,0.010000349509107968,0.012022194504455557,0.010398566584902869,0.01004220152932851,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9577650614211176,0.002911708903159755,0.001001497961145004,0.0010000020113360064,0.001025757618397386,0.0010000349509107968,0.021321430455285725,0.0010398566584902868,0.003234823388699413,0.0010042201529328512,0.10950497839779542,0.0012022194504455559
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.03866061090983748,0.010000037519553438,0.010000646540741811,0.013140484342986748,0.010603178070584838,0.01006514969998669,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9577169802894209,0.0038660610909837484,0.0010019889247001785,0.0010000037519553439,0.0010337155873830876,0.001000064654074181,0.021701662646835294,0.001060317807058484,0.003366373238384132,0.001006514969998669,0.11665430839406064,0.0013140484342986749
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.04819410402242285,0.010000059813164515,0.010001021448699677,0.01432853596755864,0.01081141311922901,0.010089424452223411,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9576669607607495,0.004819410402242285,0.001002479367815896,0.0010000059813164515,0.001041384217402001,0.0010001021448699677,0.02208768453467823,0.001081141311922901,0.003505182896722417,0.001008942445222341,0.12368225447474196,0.0014328535967558641
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.057717558321560225,0.010000086984019987,0.010001471006056915,0.015585083843789531,0.011023326941634678,0.01011509644973957,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.957614940681247,0.005771755832156023,0.0010029692912398775,0.0010000086984019987,0.0010487398972293899,0.0010001471006056916,0.022479543303876214,0.001102332694163468,0.0036511260124655184,0.0010115096449739571,0.13059184505818738,0.0015585083843789533
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.06723096363215554,0.01000011902189699,0.010001991942798816,0.016908859692690643,0.01123897507303917,0.010142236551123236,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9575608571824843,0.0067230963632155544,0.0010034586956770997,0.001000011902189699,0.0010557596803537083,0.0010001991942798817,0.02287728449009435,0.001123897507303917,0.0038040758267920962,0.0010142236551123236,0.13738600981015714,0.0016908859692690644
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.07673430878664611,0.010000155916796594,0.010002580617076429,0.018298677560861346,0.011458412763915361,0.010170911767413696,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9575046481843333,0.007673430878664612,0.001003947581738667,0.0010000155916796594,0.0010624213486043396,0.0010002580617076429,0.02328095076733851,0.001145841276391536,0.00396391357903657,0.0010170911767413697,0.1440675836483928,0.0018298677560861347
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.08622758267751617,0.01000019765858225,0.010003233430047035,0.019753324033643927,0.011681695823139642,0.010201190479442271,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9574462504605911,0.008622758267751617,0.0010044359500004573,0.0010000197658582251,0.0010687036021389453,0.0010003233430047034,0.023690583490866887,0.0011681695823139643,0.004130517695101924,0.0010201190479442273,0.15063931066260958,0.001975332403364393
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.09571077310941045,0.010000244237282813,0.010003946392304657,0.02127166114370875,0.011908880086112615,0.010233137592006196,0.1,0.0,0.001,1.0,0.005,0.025,1.0,0.001,0.005,0.025,10.0,10.0,0.1,0.001,0.005,0.025,0.001,0.005,0.025,0.05,0.1,0.001,0.1,0.1,1.0,0.001,0.1,0.1,10.0,1.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,10.0,0.1,0.01,1.0,0.9573856014352978,0.009571077310941046,0.001004923800934438,0.0010000244237282814,0.001074586099216207,0.0010003946392304658,0.02410622163098335,0.0011908880086112616,0.004303773968023154,0.0010233137592006196,0.157103847765565,0.002127166114370875
