value_component_environment_variable_time,value_component_environment_variable_epi,value_component_environment_variable_endo,value_component_environment_variable_mcell,value_component_membrane_variable_u,value_component_membrane_variable_Vm,value_component_membrane_variable_V_0,value_component_membrane_variable_V_fi,value_component_membrane_variable_J_stim,value_component_m_variable_m,value_component_m_variable_u_m,value_component_p_variable_p,value_component_p_variable_u_p,value_component_q_variable_q,value_component_q_variable_u_q,value_component_r_variable_r,value_component_r_variable_u_r,value_component_fast_inward_current_variable_J_fi,value_component_fast_inward_current_variable_tau_fi,value_component_fast_inward_current_variable_u_u,value_component_fast_inward_current_v_gate_variable_v,value_component_fast_inward_current_v_gate_variable_v_inf,value_component_fast_inward_current_v_gate_variable_tau_v_minus,value_component_fast_inward_current_v_gate_variable_tau_v1_minus,value_component_fast_inward_current_v_gate_variable_tau_v2_minus,value_component_fast_inward_current_v_gate_variable_tau_v_plus,value_component_slow_outward_current_variable_J_so,value_component_slow_outward_current_variable_tau_o,value_component_slow_outward_current_variable_tau_o1,value_component_slow_outward_current_variable_tau_o2,value_component_slow_outward_current_variable_tau_so,value_component_slow_outward_current_variable_tau_so1,value_component_slow_outward_current_variable_tau_so2,value_component_slow_outward_current_variable_k_so,value_component_slow_outward_current_variable_u_so,value_component_slow_inward_current_variable_J_si,value_component_slow_inward_current_variable_tau_si,value_component_slow_inward_current_w_gate_variable_w,value_component_slow_inward_current_w_gate_variable_w_inf,value_component_slow_inward_current_w_gate_variable_tau_winf,value_component_slow_inward_current_w_gate_variable_wstar_inf,value_component_slow_inward_current_w_gate_variable_tau_w_minus,value_component_slow_inward_current_w_gate_variable_tau_w1_minus,value_component_slow_inward_current_w_gate_variable_tau_w2_minus,value_component_slow_inward_current_w_gate_variable_k_w_minus,value_component_slow_inward_current_w_gate_variable_u_w_minus,value_component_slow_inward_current_w_gate_variable_tau_w_plus,value_component_slow_inward_current_s_gate_variable_s,value_component_slow_inward_current_s_gate_variable_tau_s,value_component_slow_inward_current_s_gate_variable_tau_s1,value_component_slow_inward_current_s_gate_variable_tau_s2,value_component_slow_inward_current_s_gate_variable_k_s,value_component_slow_inward_current_s_gate_variable_u_s
0.0,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.0,2.7342,2.7342,16.0,2.0994,0.9087
0.1,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.0007740586812019917,2.7342,2.7342,16.0,2.0994,0.9087
0.2,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.001520437918288188,2.7342,2.7342,16.0,2.0994,0.9087
0.30000000000000004,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.0022400241899207243,2.7342,2.7342,16.0,2.0994,0.9087
0.4,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.0029338048881116436,2.7342,2.7342,16.0,2.0994,0.9087
0.5,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.0036026426718894626,2.7342,2.7342,16.0,2.0994,0.9087
0.6000000000000001,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.004247385383596307,2.7342,2.7342,16.0,2.0994,0.9087
0.7000000000000001,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.004868919437506889,2.7342,2.7342,16.0,2.0994,0.9087
0.8,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.005468097685657119,2.7342,2.7342,16.0,2.0994,0.9087
0.9,1.0,0.0,0.0,0.0,-83.0,-83.0,2.7,0.0,0.0,0.3,0.0,0.13,0.0,0.006,0.0,0.006,0.0,0.11,1.55,1.0,1.0,60.0,60.0,1150.0,1.45,0.0,400.0,400.0,6.0,28.12219161042192,30.02,0.996,2.046,0.65,-0.0,1.8875,1.0,1.0,0.07,0.94,59.10718624196651,60.0,15.0,65.0,0.03,200.0,0.006045737148601307,2.7342,2.7342,16.0,2.0994,0.9087
