Time,Exposed_Human,Infected_Human,Recovered,Susceptible_Human,Exposed_Mosquito,Infected_Mosquito,Susceptible_Mosquito,Capital_lambda_h,Psi_h,Psi_v,sigma_v,sigma_h,Beta_hv,Beta_vh,Beta_tilde_vh,v_h,v_v,gamma_h,delta_h,rho_h,u_1h,u_2h,u_1v,u_2v,N_h,N_v,f_h,f_v,lambda_h,lambda_v,Baseline_dummy_variable,Human,Mosquito,Human_Immigration,Human_Birth,Human_Loss_of_Immunity,Human_Infection,Human_Susceptible_natural_death,Human_disease_progression,Human_Exposed_natural_death,Human_Recovery,Human_disease_induced_death,Human_Infectious_natural_death,Human_Recovered_natural_death,Mosquito_birth,Mosquito_infection,Mosquito_Susceptible_death,Mosquito_disease_progression,Mosquito_Exposed_death,Mosquito_Infected_death
0.0,20.0,3.0,0.0,600.0,30.0,5.0,2400.0,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,623.0,2435.0,0.0001334,0.13040000000000002,4.482189263306006e-05,0.0002933796608709385,0.0,1.0,1.0,0.041,0.034265000000000004,0.0,0.026893135579836035,0.08004,2.0,0.002668,0.0105,5.4e-05,0.00040019999999999997,0.0,316.55,0.7041111860902525,312.96000000000004,2.49,3.9120000000000004,0.6520000000000001
10.0,7.638691675419623,15.416814050212508,0.3549747232531152,599.5093222185473,15.453873537686482,9.241244790205103,2404.0860306473037,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.9198026674325,2428.7811489751953,0.00013338396053348648,0.13015124595900782,8.289907814943764e-05,0.0015121721758295584,0.0,1.0,1.0,0.041,0.034260589146708785,0.0009584317527834111,0.04969877015391174,0.07996492777425594,0.7638691675419623,0.0010188789489616427,0.053958849175743784,0.00027750265290382513,0.002056355716825645,4.73479344767788e-05,315.7415493667754,3.6353920038453795,312.89479228139203,1.282671503627978,2.0113408958228356,1.202759523657384
20.0,3.1503223694328777,19.778483488461244,0.9658271172080898,598.943746856161,20.02539157153413,10.98553390545646,2395.4210579429027,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.8383798312632,2426.4319834198936,0.00013336767596625263,0.13005727933679576,9.857819365453259e-05,0.00194561466840088,0.0,1.0,1.0,0.041,0.03425611089071948,0.0026077332164618425,0.05904279266575799,0.07987973555272573,0.3150322369432878,0.00042015117295576127,0.06922469220961436,0.0003560127027923024,0.002637810376992977,0.00012881011800722843,315.4361578445862,4.660566347330066,311.5419456621229,1.662107500437333,2.6044479454477294,1.4287486518057917
30.0,1.5744521633340427,21.248159424576833,1.651455761308072,598.2825750322189,22.733597760552446,13.139363613946275,2389.669681163055,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.7566423814378,2425.542642537554,0.00013335132847628754,0.13002170570150218,0.0001179273499105309,0.002096584986848148,0.0,1.0,1.0,0.041,0.034251615330979084,0.004458930555531795,0.07055387857119794,0.07978177618476057,0.15744521633340428,0.00020995528760295946,0.07436855798601892,0.000382466869642383,0.00283347028694327,0.00022022381969025024,315.32054352988206,5.010145577052662,310.70892800798526,1.8868886141258532,2.955861157558879,1.7084024689175485
40.0,1.052671952569006,21.726955869703147,2.3483893685816755,597.5468943256512,23.802753296914947,14.477426952238817,2386.925499856943,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.6749115165051,2425.2056801060967,0.000133334982303301,0.13000822720424388,0.00012995391233026294,0.002150573880281506,0.0,1.0,1.0,0.041,0.03424712013340778,0.006340651295170524,0.07765355671841657,0.07967390458030317,0.1052671952569006,0.0001403579961669697,0.07604434554396101,0.00039108520565465666,0.0028969632763914707,0.0003131224549010979,315.2767384137926,5.133259634170219,310.3199527050048,1.9756285236439406,3.0945537587118834,1.882184612539508
50.0,0.8912432961110535,21.886202910615303,3.035787881947451,596.7800603158014,24.216466978425313,15.130189428114967,2385.73131028317,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.5932944044753,2425.07796668971,0.00013331865888089505,0.1300031186675884,0.0001358286652275152,0.0021731447658405074,0.0,1.0,1.0,0.041,0.03424263119224614,0.008196627281258119,0.08105983902709131,0.0795619172881623,0.08912432961110535,0.00011881936097411407,0.07660171018715356,0.0003939516523910755,0.002917839220038374,0.00040472716906810713,315.2601356696623,5.184539509643686,310.1525106397241,2.009966759209301,3.148216230305962,1.9669718116863215
60.0,0.8457027163118701,21.94930512267618,3.707476697625782,596.0093399014596,24.410895284496004,15.429717908905786,2385.188942444931,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.5118244380734,2425.0295556383326,0.00013330236488761466,0.1300011822255333,0.00013853222284815122,0.002186133075274491,0.0,1.0,1.0,0.041,0.03423815034409404,0.010010187083589611,0.0825664986948085,0.07944945450397073,0.08457027163118702,0.00011273417207625178,0.07682256792936663,0.0003950874922081712,0.0029258942804925698,0.0004942154115592406,315.25384223298323,5.214340437857848,310.07738234911056,2.0261043086131685,3.1734452461681766,2.005881569564236
70.0,0.8351688355854295,21.986167319795857,4.362023951702259,595.2471509615176,24.538475647317124,15.5800024752092,2384.8927261663534,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.4305110686012,2425.01120428888,0.00013328610221372022,0.1300004481715552,0.00013989583009162406,0.002196379175318586,0.0,1.0,1.0,0.041,0.034233678108773063,0.0117774646695961,0.08327259429343577,0.07933817260548258,0.08351688355854296,0.00011131639878555326,0.0769515856192855,0.0003957510117563254,0.0029304505446742656,0.000581397170285283,315.25145655755443,5.23812871912055,310.03712324270805,2.0366934787273214,3.190012831598019,2.0254073042911354
80.0,0.8345006855699715,22.017268533602227,4.99943098611141,594.4981562442871,24.647137831086866,15.674052423274032,2384.683057690636,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.3493564495707,2425.004247944997,0.00013326987128991412,0.1300001699177999,0.00014075454340605487,0.002205892265171751,0.0,1.0,1.0,0.041,0.03422921460472639,0.013498463662500806,0.0836783165379061,0.07922869276476739,0.08345006855699716,0.0001112137989572552,0.0770604398676078,0.0003963108336048401,0.002934238543628645,0.000666273524041876,315.25055223284966,5.260353911845894,310.00920269988126,2.04571243998021,3.2041321060287262,2.0376294783261275
90.0,0.8363795383106142,22.048146864873164,5.620095041878808,593.7637392162854,24.75080044201898,15.748520676813046,2384.5022893992946,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.2683606613481,2425.001610518126,0.0001332536721322696,0.13000006442072504,0.00014143748116266907,0.002215220058611572,0.0,1.0,1.0,0.041,0.034224759836374144,0.015174256613072782,0.08398044768047933,0.07912119862955734,0.08363795383106143,0.00011145064477618161,0.07716851402705607,0.00039686664356771697,0.0029379965334559366,0.0007488983020627127,315.25020936735643,5.282197301282533,309.9854512332746,2.0543164366875755,3.217605651926977,2.0473087025168164
