Time,Glucose,Lysine,Schiff,Amadori,Glyoxal,CML,Fraction_Amadori,Fraction_CML,compartment,v1a,v1b,v2a,v2b,v3,v4,v5,v5b,v6,v7a,v7b,v7c
0.0,0.25,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.7975e-06,0.0,0.0,0.0,7.92e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.24999990426164534,0.0033999122651891555,8.606152724084867e-08,1.069004099079194e-11,7.928284503335925e-09,7.519511357669166e-11,3.1441297031741003e-09,2.2116209875497547e-08,1.0,8.797269617231174e-06,3.098214980670552e-08,2.1300227992110046e-09,9.621036891712745e-15,7.919998908123079e-07,9.193435252081069e-16,5.121539627712175e-13,1.3478083655671071e-11,1.0077708686759532e-08,1.119745409639948e-08,1.119745409639948e-09,2.239490819279896e-07
0.02,0.24999980883282594,0.003399824885354895,1.7084255172931006e-07,4.2502285934627784e-11,1.5860972426361578e-08,1.9129783547110252e-10,1.2500672333714054e-08,5.626406925620663e-08,1.0,8.797040164029414e-06,6.150331862255162e-08,4.2283531553004244e-09,3.8252057341165e-14,7.91999781977608e-07,3.6551965903779895e-15,1.0245660464603662e-12,2.696365312481468e-11,1.2899269619615639e-08,1.433252179957293e-08,1.433252179957293e-09,2.866504359914586e-07
0.03,0.24999971370988505,0.0033997378373286243,2.5475477195208734e-07,9.518573974188272e-11,2.3796112826581426e-08,3.3074782485249266e-10,2.7995805806436096e-08,9.727877201543902e-08,1.0,8.796811580315484e-06,9.171171790275144e-08,6.305180605814162e-09,8.566716576769444e-14,7.9199967349173e-07,8.185973617801913e-15,1.5371103579995275e-12,4.045339180518842e-11,1.489479672545791e-08,1.6549774139397675e-08,1.6549774139397676e-09,3.309954827879535e-07
0.04,0.24999961888995686,0.0033996511120292206,3.379311505194076e-07,1.6854376271162214e-10,3.1733084139557245e-08,4.87951312756622e-10,4.9571694915182985e-08,1.4351509198724177e-07,1.0,8.796583842489374e-06,1.2165521418698673e-07,8.363795975355339e-09,1.5168938644045992e-13,7.91999565351406e-07,1.4494763593199505e-14,2.0497468808800894e-12,5.394624303724731e-11,1.648954621879417e-08,1.832171802088241e-08,1.8321718020882409e-09,3.664343604176482e-07
0.05,0.2499995243705268,0.0033995647034384823,4.204476000747579e-07,2.6240385022487006e-10,3.9671535978286764e-08,6.597550633616288e-10,7.717760300731473e-08,1.940456068710673e-07,1.0,8.796356934888774e-06,1.5136113602691285e-07,1.040607810185026e-08,2.3616346520238306e-13,7.919994575537682e-07,2.2566731119338828e-14,2.5624531154164967e-12,6.744161116308749e-11,1.783884856065247e-08,1.982094284516941e-08,1.982094284516941e-09,3.964188569033882e-07
0.06,0.24999943014930756,0.0033994786070340524,5.023532760605004e-07,3.7660911061607856e-10,4.7611244823934075e-08,8.441476079117628e-10,1.1076738547531723e-07,2.4827870820934204e-07,1.0,8.796130845729896e-06,1.808471793817801e-07,1.2433243582497384e-08,3.389481995544707e-13,7.919993500962082e-07,3.2388383512982756e-14,3.075214756431268e-12,8.093911620068792e-11,1.901927108727451e-08,2.1132523430305007e-08,2.113252343030501e-09,4.226504686061002e-07
0.07,0.24999933622416365,0.0033993928191188233,5.836831001058021e-07,5.11013094835482e-10,5.5552054488237326e-08,1.0397234225381863e-09,1.502979690692594e-07,3.0580100662887834e-07,1.0,8.795905565369654e-06,2.1012591603808874e-07,1.4446156727618602e-08,4.599117853519338e-13,7.91999242976291e-07,4.394712615585145e-14,3.5880218471776195e-12,9.443849263000344e-11,2.007494228930852e-08,2.230549143256502e-08,2.230549143256502e-09,4.4610982865130044e-07
0.08,0.24999924259306508,0.0033993073364301176,6.64465003595515e-07,6.65476592403617e-10,6.349384169260148e-08,1.2453731499166839e-09,1.957284095304756e-07,3.662862205637306e-07,1.0,8.795681085292792e-06,2.392074012943854e-07,1.6445508838989e-08,5.989289331632554e-13,7.919991361917014e-07,5.723098694671106e-14,4.100866555792061e-12,1.0793953087742251e-10,2.103393381426437e-08,2.3371037571404853e-08,2.3371037571404853e-09,4.674207514280971e-07
0.09,0.24999914925407005,0.00339922215604339,7.447216012844404e-07,8.398664565695027e-10,7.143650814741226e-08,1.4602123165620453e-09,2.4701954604985376e-07,4.2947421075354276e-07,1.0,8.795457397862085e-06,2.680997764623985e-07,1.8431859631789902e-08,7.558798109125524e-13,7.919990297402252e-07,7.222851526497724e-14,4.6137426636561e-12,1.2144206385060084e-10,2.1915347681876603e-08,2.4350386313196223e-08,2.4350386313196225e-09,4.870077262639245e-07
0.1,0.24999905620530363,0.003399137275253188,8.244722548148584e-07,1.0340541338276781e-09,7.937997078767665e-08,1.6834934580078925e-09,3.0413356877284656e-07,4.951451347082037e-07,1.0,8.795234496009592e-06,2.96810011733349e-07,2.0405688306667747e-08,9.306487204449104e-13,7.919989236197244e-07,8.892865550918032e-14,5.126644934645116e-12,1.3494595033905028e-10,2.2732851708443833e-08,2.5258724120493143e-08,2.5258724120493146e-09,5.05174482409863e-07
0.11,0.2499989634449748,0.003399052691665749,9.037314755449417e-07,1.247916835347456e-09,8.732416932820932e-08,1.9146741120117933e-09,3.6703436333748707e-07,5.63139444709351e-07,1.0,8.79501237347684e-06,3.25343331196179e-07,2.236735401973731e-08,1.1231251518127103e-12,7.919988178281563e-07,1.0732084783988122e-13,5.639569603247985e-12,1.4845108785795584e-10,2.34965840936061e-08,2.610731565956233e-08,2.6107315659562328e-09,5.221463131912466e-07
0.12,0.24999887097132434,0.0033989684029359112,9.82513388728753e-07,1.4813339528204914e-09,9.526904516943059e-08,2.153226981473669e-09,4.3568645671190924e-07,6.333020533746085e-07,1.0,8.794791024132246e-06,3.5370481994235106e-07,2.431720637103664e-08,1.3332005575384422e-12,7.919987123635152e-07,1.2739471994256228e-13,6.152513011866605e-12,1.61957376788032e-10,2.4214326521927354e-08,2.6904807246585945e-08,2.6904807246585943e-09,5.38096144931719e-07
0.13,0.24999877878266127,0.0033988844069639617,1.0608283443195474e-06,1.7341895701847662e-09,1.0321455742755189e-07,2.3987841985925435e-09,5.100557559366959e-07,7.055247642919246e-07,1.0,8.794570442481751e-06,3.8189820395503705e-07,2.62555015219088e-08,1.5607706131662895e-12,7.919986072238723e-07,1.491403030358899e-13,6.665472646431656e-12,1.754647476268382e-10,2.4892171476600896e-08,2.7657968307334326e-08,2.7657968307334328e-09,5.531593661466866e-07
