Time,u_1,u_2,AMPK_A,Drug_D,Glucose_G,miR_451_M,mTOR_R,deltaD,myu_G,l_1,l_2,alpha,l_3,l_4,beta,S_1,epsilon_1,l_5,l_6,gamma,S_2,epsilon_2,myu_D,compartment,Dose_for_Glucose,Dose_for_Drug,Consumption_of_Glucose,Decay_of_Drug,Production_of_miR_451,loss_of_miR_451,signal_source_of_AMPK,Production_of_AMPK,loss_of_AMPK,signal_source_of_mTOR,Production_of_mTOR,loss_of_mTOR
0.0,1.0,1.0,2.07567380053396e-21,0.0,6.64215616170866e-22,3.05539183438598e-21,4.58308775157897e-21,1.0,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,3.32107808085433e-22,0.0,4.0,3.05539183438598e-21,10.0,200.0,1.03783690026698e-19,60.0,200.0,2.2915438757894852e-19
0.12,1.0,1.0,4.182999685820223,0.11100448884237607,0.11647093283150255,0.04442544959325017,1.4420323454457777,0.8949347316990672,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.05823546641575127,0.14608190731656692,0.25442109864989904,0.04442544959325017,10.0,199.60605338682737,209.14998429101118,60.0,12.00544451373454,72.10161727228889
0.24,1.0,1.0,4.180915204539276,0.20579322885844317,0.226159126472975,0.07453590910154667,1.4587573928245259,0.8140013708757734,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.1130795632364875,0.2708238891777112,0.364242132655049,0.07453590910154667,10.0,198.89501848809758,209.04576022696378,60.0,13.133022996008105,72.93786964122629
0.36,1.0,1.0,4.154981786349045,0.28673503789917115,0.32945957617905963,0.11339749442557584,1.4825078621391938,0.7507106123485703,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.16472978808952982,0.37734330987530923,0.46921124806332104,0.11339749442557584,10.0,197.46085252797477,207.74908931745225,60.0,14.326469863427123,74.12539310695969
0.48,1.0,1.0,4.1101221118694795,0.35585267196942294,0.4267442726007946,0.159454729645666,1.5073555023743268,0.7005758270893094,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.2133721363003973,0.4683021163117606,0.5694537822705666,0.159454729645666,10.0,195.04092630818835,205.50610559347396,60.0,15.58251312278211,75.36777511871634
0.6,1.0,1.0,4.042260160671724,0.4148734137339735,0.5183635374020318,0.2114033286129132,1.5344586636439044,0.6604238760063211,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.2591817687010159,0.5459734124739092,0.6657269072157496,0.2114033286129132,10.0,191.44410134027544,202.11300803358617,60.0,16.96174673422138,76.72293318219522
0.72,1.0,1.0,3.9492574990031444,0.4652721884298847,0.60464728286438,0.26817071420359745,1.565097889671899,0.6279641573476715,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.30232364143219,0.6122981999737284,0.7587624526259468,0.26817071420359745,10.0,186.58186586302995,197.46287495015721,60.0,18.52859322574629,78.25489448359495
0.84,1.0,1.0,3.8312255768785484,0.5083088121342398,0.6859063005901941,0.32888672231845434,1.6005670722973828,0.6015119888765252,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.34295315029509704,0.6689343967686596,0.849269871077273,0.32888672231845434,10.0,180.47829844188152,191.56127884392743,60.0,20.347604097110395,80.02835361486913
0.96,1.0,1.0,3.690371486525414,0.5450590417115123,0.7624333077096955,0.3928591657005244,1.6421235486754064,0.5798075494991739,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.38121665385484776,0.7172976988923503,0.9379477546652266,0.3928591657005244,10.0,173.2594299511629,184.5185743262707,60.0,22.48123796179465,82.10617743377033
1.08,1.0,1.0,3.530508801145321,0.5764406975470305,0.834503731662231,0.4595535860349219,1.6909585058509522,0.561894764980183,0.5,4.0,1.0,1.6,4.0,1.0,1.0,0.2,0.02,4.0,1.0,1.0,1.2,0.02,1.316,1.0,1.0,1.0,0.4172518658311155,0.7585959579718922,1.0254966231025233,0.4595535860349219,10.0,165.12692708944513,176.52544005726605,60.0,24.98833973829994,84.5479252925476
