IC1_1_task1,_1_task1
1.0,0.0
0.9999999999999705,0.008
0.9999999999990561,0.016
0.999999999992832,0.024
0.9999999999697942,0.032
0.9999999999078188,0.04
0.9999999997706239,0.048
0.9999999995042279,0.056
0.9999999990334114,0.064
0.999999998258176,0.072
0.9999999970502058,0.08
0.9999999952493268,0.088
0.999999992659968,0.096
0.9999999890476206,0.104
0.999999984135299,0.112
0.9999999776000006,0.12
0.999999969069167,0.128
0.9999999581171427,0.136
0.999999944261637,0.144
0.9999999269601828,0.152
0.9999999056065983,0.16
0.9999998795274468,0.168
0.9999998479784965,0.176
0.9999998101411818,0.184
0.9999997651190626,0.192
0.9999997119342867,0.2
0.9999996495240483,0.208
0.9999995767370496,0.216
0.9999994923299613,0.224
0.9999993949638837,0.232
0.9999992832008074,0.24
0.9999991555000739,0.248
0.9999990102148375,0.256
0.999998845588526,0.264
0.9999986597513032,0.272
0.999998450716529,0.28
0.9999982163772233,0.288
0.9999979545025264,0.296
0.9999976627341637,0.304
0.9999973385829066,0.312
0.9999969794250371,0.32
0.999996582498811,0.328
0.9999961449009225,0.336
0.9999956635829682,0.344
0.9999951353479137,0.352
0.9999945568465585,0.36
0.9999939245740034,0.368
0.9999932348661174,0.376
0.9999924838960059,0.384
0.9999916676704813,0.392
0.999990782026532,0.4
0.9999898226277933,0.408
0.9999887849610221,0.416
0.999987664332568,0.424
0.9999864558648507,0.432
0.9999851544928359,0.44
0.9999837549605137,0.448
0.9999822518173785,0.456
0.9999806394149122,0.464
0.9999789119030669,0.472
0.9999770632267513,0.48
0.9999750871223207,0.488
0.999972977114066,0.496
0.9999707265107094,0.504
0.9999683284019002,0.512
0.9999657756547142,0.52
0.999963060910157,0.528
0.9999601765796708,0.536
0.9999571148416436,0.544
0.9999538676379247,0.552
0.9999504266703407,0.56
0.9999467833972203,0.568
0.9999429290299203,0.576
0.9999388545293584,0.584
0.9999345506025502,0.592
0.9999300076991533,0.6
0.9999252160080142,0.608
0.9999201654537258,0.616
0.9999148456931879,0.624
0.9999092461121742,0.632
0.9999033558219117,0.64
0.9998971636556603,0.648
0.999890658165306,0.656
0.9998838276179608,0.664
0.999876659992572,0.672
0.9998691429765383,0.68
0.999861263962339,0.688
0.999853010044172,0.696
0.9998443680146027,0.704
0.9998353243612228,0.712
0.9998258652633243,0.72
0.9998159765885815,0.728
0.9998056438897496,0.736
0.9997948524013744,0.744
0.9997835870365178,0.752
0.9997718323834953,0.76
0.9997595727026333,0.768
0.999746791923038,0.776
0.9997334736393829,0.784
0.9997196011087145,0.792
0.9997051572472745,0.8
0.999690124627342,0.808
0.9996744854740945,0.816
0.9996582216624915,0.824
0.9996413147141746,0.832
0.9996237457943961,0.84
0.9996054957089653,0.848
0.9995865449012215,0.856
0.9995668734490306,0.864
0.999546461061808,0.872
0.9995252870775675,0.88
0.9995033304599997,0.888
0.999480569795576,0.896
0.9994569832906849,0.904
0.9994325487687986,0.912
0.9994072436676711,0.92
0.9993810450365684,0.928
0.999353929533536,0.936
0.9993258734226972,0.944
0.9992968525715925,0.952
0.9992668424485539,0.96
0.9992358181201195,0.968
0.9992037542484875,0.976
0.9991706250890139,0.984
0.9991364044877504,0.992
0.999101065879029,1.0
0.9990645822830924,1.008
0.9990269263037695,1.016
0.9989880701262036,1.024
0.9989479855146257,1.032
0.9989066438101849,1.04
0.9988640159288296,1.048
0.9988200723592418,1.056
0.9987747831608337,1.064
0.9987281179617964,1.072
0.9986800459572129,1.08
0.9986305359072298,1.088
0.9985795561352973,1.096
0.9985270745264677,1.104
0.9984730585257666,1.112
0.9984174751366315,1.12
0.9983602909194201,1.128
0.9983014719899933,1.136
0.9982409840183715,1.144
0.9981787922274683,1.152
0.9981148613919031,1.16
0.9980491558368949,1.168
0.9979816394372383,1.176
0.9979122756163642,1.184
0.9978410273454904,1.192
0.997767857142857,1.2
0.9976927270730588,1.208
0.9976155987464659,1.216
0.9975364333187463,1.224
0.9974551914904813,1.232
0.9973718335068869,1.24
0.997286319157633,1.248
0.9971986077767733,1.256
0.9971086582427785,1.264
0.9970164289786837,1.272
0.9969218779523463,1.28
0.9968249626768195,1.288
0.9967256402108446,1.296
0.9966238671594625,1.304
0.9965195996747491,1.312
0.9964127934566754,1.32
0.9963034037540973,1.328
0.9961913853658733,1.336
0.9960766926421186,1.344
0.9959592794855944,1.352
0.9958390993532337,1.36
0.9957161052578133,1.368
0.9955902497697653,1.376
0.9954614850191373,1.384
0.9953297626977042,1.392
0.9951950340612289,1.4
0.9950572499318808,1.408
0.9949163607008111,1.416
0.9947723163308896,1.424
0.9946250663596042,1.432
0.9944745599021273,1.44
0.9943207456545509,1.448
0.9941635718972945,1.456
0.9940029864986857,1.464
0.9938389369187209,1.472
0.9936713702130041,1.48
0.9935002330368697,1.488
0.9933254716496907,1.496
0.9931470319193755,1.504
0.9929648593270566,1.512
0.992778898971972,1.52
0.9925890955765431,1.528
0.9923953934916544,1.536
0.9921977367021322,1.544
0.9919960688324287,1.552
0.9917903331525146,1.56
0.9915804725839796,1.568
0.9913664297063459,1.576
0.9911481467635969,1.584
0.9909255656709218,1.592
0.9906986280216807,1.6
0.9904672750945915,1.608
0.9902314478611406,1.616
