Time,IC1,IFNBm,IFNBenv,STATP2n,SOCSm,IRF7m,IRF7Pn,IFNam,IFNaenv,TNFam,TFNenv,STATm,STAT,r_0,k_15,t_1,v_max217,K_217,TJ_tot,K_3,d,K_9,k_5,K_5,t_3,r_3,k_8,t_4,k_11,k_14,t_6,k_12,k_16,t_8,r_1,r_20,K_20,t_9,v_max19,K_19,r_4,k_26,t_12,k_28,t_13,r_5,n_3,b_m,sp,d_1,n_1,sv,d_2,n_2,TJ,delta,delta_1,delta_2,NS,IC2,C,gamma,compartment,IFNb_mRNA_Induction,IFNb_mRNA_Degradation,IFNBenv_Translation_Secretion,STATP2n_Formation,STATP2n_Dephosphorylation,SOCS_mRNA_Induction,SOCS_mRNA_Degradation,IRF7_mRNA_Induction,IRF7_mRNA_Degradation,IRF7_Translation,IFNa_mRNA_Induction,IFNa_mRNA_Degradation,IFNaenv_Translation_Secretion,TNFa_mRNA_Induction,TNFa_mRNA_Degradation,TNFa_Translation_Secretion,STAT_mRNA_Induction,STAT_mRNA_Degradation,STAT_Translation,STAT_Degradation
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,3.837900879972534e-11,0.0003,0.1,0.4,0.0,1.0,500000.0,1.6603021749958496e-15,1.0,0.001036,0.2772588722239781,5.9949833025299245e-05,6.8398233504461e-08,1.2377628224284736,0.0036000999999999997,1.5068416968694462,0.00036032040000000005,0.6931471805599453,360.0,0.36,0.34657359027997264,5.9949833025299245e-05,0.0010994003597841297,0.34657359027997264,0.00013692531881439877,0.018001,0.6931471805599453,360.0,0.046209812037329684
0.008,0.9999999999999705,0.9977930795879512,1.0000004795986643,0.9901467623827581,0.9880461200263069,0.9944730327519635,3.872033815962247,1.0042429872326457,1.0000004796000301,0.9972400343735585,1.0000010953965144,0.9946130688450494,3.8713350652907024,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,3.88433372519137e-11,0.0003,0.1,0.4,4.2139917695473076e-15,1.0,500000.0,1.6603021749958496e-15,1.0,0.0011393932173746114,0.27664698395944537,5.994983308268816e-05,6.973786798820731e-08,1.225566851225298,0.003564628344577929,1.4888290920857128,0.0003576934340924273,0.6893161787949217,358.0102917906963,1.393932173746409,0.34804409759870275,5.9950338601744205e-05,0.0010994003604405758,0.3456170590837675,0.0001369238090498654,0.017823641722889645,0.6894132444180208,358.06070478421776,0.1788936657006068
0.016,0.9999999999990561,0.9955918728000897,1.0000009591973293,0.9803906110753533,0.9762351951585181,0.9889766078631161,6.728193987484015,1.0167113703022164,1.0000009592079562,0.9944877103982653,1.0000021907809338,0.9892545185605311,6.726138259007784,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,3.931328096928184e-11,0.0003,0.1,0.4,1.3484773662549622e-13,1.0,500000.0,1.6603021749958496e-15,1.0,0.0012422149835484807,0.27603667984791114,5.994983314007702e-05,7.065885459666996e-08,1.2134910498470053,0.003529506199871272,1.4710318980163364,0.0003550963333407171,0.6855063473800576,356.03157883038574,2.422149835494245,0.35236530988410986,5.9951799909911416e-05,0.0010994003610969249,0.3446631762820365,0.00013692229515370368,0.017648030999356357,0.6856989803964182,356.1316266817912,0.31081358468584164
0.024,0.999999999992832,0.993396362422831,1.0000014387959948,0.9707305893887822,0.9645655150567701,0.9835105566690392,9.568568237273412,1.0373368452181528,1.0000014388311416,0.991743006915853,1.0000032861532258,0.9839242060727839,9.564497210626346,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,3.978890783138389e-11,0.0003,0.1,0.4,1.0239999999989516e-12,1.0,500000.0,1.6603021749958496e-15,1.0,0.0013444684565346748,0.27542795511675633,5.9949833197465827e-05,7.154523117731838e-08,1.2015342341395148,0.0034947301217996152,1.453447537449895,0.00035252878144318404,0.6817175694060869,354.0638003983162,3.444684565418428,0.3595135547769555,5.9954140267261885e-05,0.0010994003617527345,0.3437119345418829,0.00013692077711477288,0.01747415060899807,0.6820042893240327,354.21271418620216,0.4419736183346075
0.032,0.9999999999697942,0.991206531307126,1.0000019183946605,0.9611657502483668,0.9530353902616673,0.9780747114536805,12.393243794130886,1.0660515573380012,1.0000019184762117,0.9890059028277651,1.0000043815133568,0.9786219889752799,12.386499097568134,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.0270286520769175e-11,0.0003,0.1,0.4,4.315127571997841e-12,1.0,500000.0,1.6603021749958496e-15,1.0,0.001446156776558506,0.274820805011255,5.994983325485457e-05,7.242804236101682e-08,1.1896952318489997,0.0034602967008941173,1.4360734646385256,0.0003499904654010516,0.6779497286211007,352.1068961126893,4.461567765887119,0.3694653156501872,5.995724798538478e-05,0.0010994003624068536,0.3427633265511043,0.00013691925492190387,0.01730198350447057,0.6783290724921811,352.30391603110075,0.5723777950991772
0.04,0.9999999999078188,0.9890223623659292,1.0000023979933268,0.9516951557543459,0.9416431511890311,0.9726689054109201,15.202307412947235,1.1027880829353778,1.0000023981487762,0.986276377092929,1.0000054768612934,0.973347725503184,15.192230663047955,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.075748656369016e-11,0.0003,0.1,0.4,1.3168724279661978e-11,1.0,500000.0,1.6603021749958496e-15,1.0,0.0015472830667739193,0.2742152247938721,5.994983331224326e-05,7.331521745214225e-08,1.1779728820780049,0.003426202560715636,1.418907163783172,0.0003474810753666728,0.6742027094039074,350.160805915653,5.472830668661004,0.3821972252208821,5.996098833825772e-05,0.0010994003630570707,0.34181734501742056,0.00013691772856389776,0.017131512803578133,0.6746732316369676,350.40518118114625,0.7020301233672025
0.048,0.9999999997706239,0.9868438385752194,1.0000028775919936,0.9423178772907366,0.9303871483235562,0.967292972658669,17.99584536733224,1.1474794357151523,1.0000028778533154,0.9835544087287857,1.0000065721970026,0.9681012745444467,17.98177820900359,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.125057832255602e-11,0.0003,0.1,0.4,3.2767999998926264e-11,1.0,500000.0,1.6603021749958496e-15,1.0,0.0016478504329945848,0.27361120974454683,5.994983336963191e-05,7.42097715517995e-08,1.1663660354201901,0.003392444358246628,1.4019461493253926,0.00034500030468035845,0.6704763967738047,348.2254700772462,6.4785043322396065,0.3976860678082374,5.996521628013806e-05,0.0010994003636997567,0.34087398266883095,0.00013691619802952656,0.01696272179123303,0.6710366689469728,348.5164588360008,0.8309345911350067
0.056,0.9999999995042279,0.9846709429733909,1.0000033571906606,0.9330329953742759,0.9192657518441074,0.9619467482287272,20.773943454841717,1.2000590617889544,1.0000033575932143,0.9808399768108413,1.000007667520451,0.9628824956342006,20.755227600476477,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.174963301175986e-11,0.0003,0.1,0.4,7.082455966576579e-11,1.0,500000.0,1.6603021749958496e-15,1.0,0.0017478619638785298,0.2730087551605234,5.9949833427020497e-05,7.511314943044526e-08,1.1548735537733565,0.0033590187833473432,1.3851879653827421,0.0003425478498176707,0.6667706763835498,346.3008291906555,7.478619643743018,0.41590877759221345,5.9969787963838785e-05,0.0010994003643295138,0.3399332322534584,0.0001369146633075329,0.01679559391673647,0.6674192870593699,346.6376984283122,0.9590951662100152
0.064,0.9999999990334114,0.9825036586591275,1.0000038367893282,0.9238395989818561,0.9082773498858477,0.9566300680280877,23.536687016406418,1.2604608199765985,1.000003837373085,0.9781330604714065,1.0000087628316046,0.9576912489366296,23.512664281355995,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.225472277804294e-11,0.0003,0.1,0.4,1.3808408228545953e-10,1.0,500000.0,1.6603021749958496e-15,1.0,0.0018473207316240426,0.27240785635576203,5.994983348440902e-05,7.602616686515539e-08,1.1434943095069714,0.003325922556334585,1.3686301831300745,0.0003401234101535248,0.6630854344925377,344.3868241572312,8.47320732590631,0.43684243178652804,5.9974569765513516e-05,0.0010994003649388204,0.3389950865391129,0.00013691312438662942,0.01663011278167244,0.6638209890473575,344.7688496171867,1.086515796938296
0.072,0.999999998258176,0.9803419687937688,1.0000043163879966,0.9147367862985158,0.8974203504722567,0.9513427688820031,26.284160914724158,1.3286190037299876,1.0000043171960888,0.9754336389009982,1.0000098581304298,0.9525273952651623,26.25417325685211,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.2765920616452495e-11,0.0003,0.1,0.4,2.4883199993808256e-10,1.0,500000.0,1.6603021749958496e-15,1.0,0.0019462297911882458,0.27180850866159467,5.99498335417975e-05,7.694934773202366e-08,1.1322271863880025,0.0032931524306744828,1.3522704037107884,0.0003377266882245434,0.6594205579966521,342.4833962009753,9.462297929300696,0.4604642582369022,5.997944428794818e-05,0.0010994003655176757,0.33805953831377733,0.00013691158125549944,0.016466262153371544,0.6602416784341558,342.9098622954584,1.2132004113946238
0.08,0.9999999970502058,0.9781858566015107,1.0000047959866651,0.9057236647776172,0.8866931816671535,0.9460846885376091,29.016449532493766,1.4044683429766456,1.0000047970633907,0.9727416913484617,1.0000109534168933,0.9473907960842628,28.979839091993046,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.3283300359018464e-11,0.0003,0.1,0.4,4.213991767771553e-10,1.0,500000.0,1.6603021749958496e-15,1.0,0.0020445921802199813,0.27121070742678083,5.994983359918592e-05,7.788306573313041e-08,1.1210710796554042,0.003260705193199127,1.3361062584659018,0.0003353573897501532,0.6557759344307778,340.5904868688674,10.445921831697756,0.48675163605998006,5.998431344534788e-05,0.001099400366053249,0.33712658038564935,0.00013691003390279722,0.016304025965994156,0.6566812591942488,341.0606865903346,1.3391529173130576
0.088,0.9999999952493268,0.9760353053682541,1.0000052755853341,0.8967993507730563,0.8760942906205159,0.9408556656429514,31.733636783005593,1.487943993437973,1.0000052769750671,0.9700571971202901,1.000012048690961,0.9422813134997043,31.68974592012969,0.001,3.6e-05,2.5,72360.0,0.002,0.0001,0.0043,0.0003,780.0,3600.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.2040000000000004e-07,1.0,360.0,0.36,2.0,0.0001,0.001,0.0006,2.0,165600.0,0.004,1e-06,0.018,1.0,360.0,15.0,1.0,5.0,6.0,0.3,0.1,1.0,0.33333333333333337,0.4,5.0,4.380693671603916e-11,0.0003,0.1,0.4,6.786675880167764e-10,1.0,500000.0,1.6603021749958496e-15,1.0,0.0021424109194375283,0.2706144480171882,5.994983365657428e-05,7.882761128820567e-08,1.1100248955648808,0.0032285776627825275,1.320135407496252,0.0003330152235035753,0.6521514519542624,338.7080380223713,11.424109241882013,0.5156820919413183,5.998909914679259e-05,0.0010994003665295228,0.3361962055829061,0.00013690848231714736,0.01614338831391026,0.653139635746642,339.2212728598936,1.4643772024799282
