data_set_value_component_environment_variable_time,data_set_value_component_membrane_variable_V,data_set_value_component_membrane_variable_R,data_set_value_component_membrane_variable_T,data_set_value_component_membrane_variable_F,data_set_value_component_membrane_variable_C,data_set_value_component_membrane_variable_I_stim,data_set_value_component_membrane_variable_stim_start,data_set_value_component_membrane_variable_stim_end,data_set_value_component_membrane_variable_stim_period,data_set_value_component_membrane_variable_stim_duration,data_set_value_component_membrane_variable_stim_amplitude,data_set_value_component_fast_sodium_current_variable_i_Na,data_set_value_component_fast_sodium_current_variable_g_Na,data_set_value_component_fast_sodium_current_variable_E_Na,data_set_value_component_fast_sodium_current_m_gate_variable_m,data_set_value_component_fast_sodium_current_m_gate_variable_alpha_m,data_set_value_component_fast_sodium_current_m_gate_variable_beta_m,data_set_value_component_fast_sodium_current_h_gate_variable_h,data_set_value_component_fast_sodium_current_h_gate_variable_alpha_h,data_set_value_component_fast_sodium_current_h_gate_variable_beta_h,data_set_value_component_fast_sodium_current_j_gate_variable_j,data_set_value_component_fast_sodium_current_j_gate_variable_alpha_j,data_set_value_component_fast_sodium_current_j_gate_variable_beta_j,data_set_value_component_slow_inward_current_variable_i_si,data_set_value_component_slow_inward_current_variable_E_si,data_set_value_component_slow_inward_current_d_gate_variable_d,data_set_value_component_slow_inward_current_d_gate_variable_alpha_d,data_set_value_component_slow_inward_current_d_gate_variable_beta_d,data_set_value_component_slow_inward_current_f_gate_variable_f,data_set_value_component_slow_inward_current_f_gate_variable_alpha_f,data_set_value_component_slow_inward_current_f_gate_variable_beta_f,data_set_value_component_time_dependent_potassium_current_variable_i_K,data_set_value_component_time_dependent_potassium_current_variable_g_K,data_set_value_component_time_dependent_potassium_current_variable_E_K,data_set_value_component_time_dependent_potassium_current_variable_PR_NaK,data_set_value_component_time_dependent_potassium_current_X_gate_variable_X,data_set_value_component_time_dependent_potassium_current_X_gate_variable_alpha_X,data_set_value_component_time_dependent_potassium_current_X_gate_variable_beta_X,data_set_value_component_time_dependent_potassium_current_Xi_gate_variable_Xi,data_set_value_component_time_independent_potassium_current_variable_i_K1,data_set_value_component_time_independent_potassium_current_variable_E_K1,data_set_value_component_time_independent_potassium_current_variable_g_K1,data_set_value_component_time_independent_potassium_current_K1_gate_variable_K1_infinity,data_set_value_component_time_independent_potassium_current_K1_gate_variable_alpha_K1,data_set_value_component_time_independent_potassium_current_K1_gate_variable_beta_K1,data_set_value_component_plateau_potassium_current_variable_i_Kp,data_set_value_component_plateau_potassium_current_variable_E_Kp,data_set_value_component_plateau_potassium_current_variable_g_Kp,data_set_value_component_plateau_potassium_current_variable_Kp,data_set_value_component_background_current_variable_i_b,data_set_value_component_background_current_variable_E_b,data_set_value_component_background_current_variable_g_b,data_set_value_component_ionic_concentrations_variable_Nao,data_set_value_component_ionic_concentrations_variable_Nai,data_set_value_component_ionic_concentrations_variable_Ki,data_set_value_component_ionic_concentrations_variable_Ko,data_set_value_component_intracellular_calcium_concentration_variable_Cai
0.0,-84.3801107371,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.564936524295937e-05,23.0,54.794463935091855,0.00171338077730188,0.29452772667551536,171.60417448779597,0.982660523699656,0.25708549896448607,0.004533513665785029,0.989108212766685,0.06022964734468672,0.0006613876830254825,-0.05559310933106251,120.07776580761063,0.00302126301779861,0.0003718396716544477,0.1227654664038927,0.999967936476325,0.0188353449150062,3.646266291507135e-07,-0.05682425094929054,0.282,-77.56758438531939,0.01833,0.0417603108167287,2.5260368924312885e-05,0.00437798045505578,0.7082925824368258,1.0741953026313733,-87.89290171380252,0.6047,0.5056976922980316,1.0199982661668807,0.9970136397639604,1.368447464410201e-08,-87.89290171380252,0.0183,2.1287503430666888e-07,-0.9610414420016911,-59.87,0.03921,140.0,18.0,145.0,5.4,0.00017948816388306
0.1,-84.38018278616357,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.564881837287881e-05,23.0,54.794463935091855,0.00171336025399065,0.2945261218767593,171.60529848421123,0.9826608058480938,0.25708822291560196,0.00453348786075726,0.9891083951194205,0.06023004411527304,0.0006613816326096531,-0.05559278945778938,120.07780107122888,0.0030212439760841808,0.0003718380137234274,0.12276566861347375,0.9999679603525975,0.018835355814788842,3.6462190049941624e-07,-0.056803365405303265,0.282,-77.56758438531939,0.01833,0.04174445737135763,2.526023067795548e-05,0.004377987656330818,0.7082936532175026,1.0741766194730145,-87.89290171380252,0.6047,0.5056992689886795,1.0199982661966742,0.9970073510677399,1.3684029098052863e-08,-87.89290171380252,0.0183,2.1287246953221717e-07,-0.9610442670454739,-59.87,0.03921,140.0,18.0,145.0,5.4,0.0001794876780791409
0.2,-84.38025480441992,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.5648271754394304e-05,23.0,54.794463935091855,0.0017133397396565508,0.2945245177722181,171.60642200737794,0.9826610878714438,0.2570909457308353,0.004533462066910184,0.9891085773908301,0.060230440716593385,0.0006613755848360693,-0.055592469720979275,120.07783632000017,0.0030212249426180933,0.00037183635650868803,0.12276587073676076,0.9999679841836288,0.01883536670991672,3.646171739313109e-07,-0.05678248867247516,0.282,-77.56758438531939,0.01833,0.041728610998647525,2.52600924914204e-05,0.004377994854536137,0.7082947235424336,1.0741579441758797,-87.89290171380252,0.6047,0.5057008450097927,1.0199982662264544,0.9970010650811739,1.3683583751257375e-08,-87.89290171380252,0.0183,2.128699058853104e-07,-0.9610470908813052,-59.87,0.03921,140.0,18.0,145.0,5.4,0.00017948719248107192
0.30000000000000004,-84.38032680254321,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.5647725304603095e-05,23.0,54.794463935091855,0.001713319231189156,0.29452291412413134,171.607545223811,0.9826613698130467,0.2570936678137176,0.00453343628042062,0.989108759609092,0.06023083720742959,0.0006613695388083031,-0.05559215007322671,120.07787155910178,0.0030212059145424343,0.000371834699764598,0.1227660728037112,0.9999680079850941,0.01883537760200464,3.6461244874578394e-07,-0.056761617518476026,0.282,-77.56758438531939,0.01833,0.041712769248039065,2.5259954344225638e-05,0.004378002050738603,0.7082957935702543,1.0741392739721485,-87.89290171380252,0.6047,0.5057024205949563,1.0199982662562255,0.9969947808725637,1.3683138537699179e-08,-87.89290171380252,0.0183,2.1286734298594558e-07,-0.9610499139277193,-59.87,0.03921,140.0,18.0,145.0,5.4,0.0001794867070175295
0.4,-84.38039877640526,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.5647179056311432e-05,23.0,54.794463935091855,0.0017132987298192361,0.29452131102444057,171.60866806910138,0.9826616516561102,0.25709638900814513,0.004533410502766961,0.9891089417632971,0.060231233565047525,0.0006613634948729664,-0.05559183053289727,120.07790678652816,0.00302118689296392,0.0003718330435861441,0.12276627480273893,0.9999680317510334,0.018835388490428075,3.6460772521370714e-07,-0.05674075319512846,0.282,-77.56758438531939,0.01833,0.04169693306800861,2.5259816244291504e-05,0.004378009244525599,0.7082968632396097,1.074120609932439,-87.89290171380252,0.6047,0.5057039956538264,1.0199982662859863,0.9969884988022091,1.3682693482897343e-08,-87.89290171380252,0.0183,2.1286478098104247e-07,-0.9610527360228504,-59.87,0.03921,140.0,18.0,145.0,5.4,0.00017948622171614018
0.5,-84.38047071178865,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.5646633122524306e-05,23.0,54.794463935091855,0.00171327823978552,0.2945197087898049,171.60979032143737,0.9826619333428023,0.25709910877654735,0.004533384739041021,0.9891091238158761,0.06023162971115176,0.0006613574542238795,-0.0555915111632407,120.07794199537278,0.003021167881694044,0.00037183138830047075,0.12276647669394165,0.9999680554609203,0.01883539937303617,3.6460300426806794e-07,-0.05671990001277844,0.282,-77.56758438531939,0.01833,0.04168110572507502,2.5259678218896767e-05,0.00437801643447608,0.7082979323391998,1.0741019557437348,-87.89290171380252,0.6047,0.5057055698752664,1.0199982663157305,0.9969822201110173,1.3682248674754679e-08,-87.89290171380252,0.0183,2.1286222037664958e-07,-0.961055556609233,-59.87,0.03921,140.0,18.0,145.0,5.4,0.0001794857366720489
0.6000000000000001,-84.38054262036879,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.564608741041248e-05,23.0,54.794463935091855,0.0017132577576071482,0.2945181071601639,171.610912162955,0.9826622149206147,0.25710182756031497,0.004533358985061043,0.989109305797681,0.060232025710038,0.0006613514158805471,-0.05559119191231698,120.07797719130711,0.0030211488776027947,0.00037182973363890853,0.12276667851008696,0.9999680791316109,0.018835410251595203,3.645982851425522e-07,-0.056699054432953734,0.282,-77.56758438531939,0.01833,0.04166528453676122,2.5259540245638373e-05,0.004378023621756994,0.7082990010425403,1.074083308378556,-87.89290171380252,0.6047,0.5057071435147726,1.0199982663454632,0.9969759437799018,1.3681804041064892e-08,-87.89290171380252,0.0183,2.1285966075712678e-07,-0.9610583761446603,-59.87,0.03921,140.0,18.0,145.0,5.4,0.0001794852518071223
0.7000000000000001,-84.38061450214563,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.5645541919961644e-05,23.0,54.794463935091855,0.0017132372832841206,0.2945165061355099,171.61203359364572,0.9826624963895475,0.25710454535941424,0.004533333240826876,0.989109487708712,0.06023242156170556,0.0006613453798429082,-0.05559087278012648,120.07801237433107,0.003021129880690171,0.00037182807960145015,0.12276688025117447,0.9999681027631053,0.018835421126105163,3.6459356783709374e-07,-0.05667821645624302,0.282,-77.56758438531939,0.01833,0.04164946950306722,2.5259402324515605e-05,0.004378030806368321,0.7083000693496285,1.0740646678370556,-87.89290171380252,0.6047,0.5057087165723393,1.0199982663751843,0.9969696698088428,1.3681359581818399e-08,-87.89290171380252,0.0183,2.128571021224415e-07,-0.9610611946291304,-59.87,0.03921,140.0,18.0,145.0,5.4,0.00017948476712136035
0.8,-84.38068635711923,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.5644996651157513e-05,23.0,54.794463935091855,0.0017132168168164372,0.2945149057158327,171.613154613502,0.9826627777496008,0.2571072621738153,0.0045333075063383466,0.9891096695489691,0.060232817266154266,0.0006613393461108998,-0.05559055376666966,120.07804754444452,0.003021110890956174,0.0003718264261880863,0.1227670819172042,0.9999681263554038,0.018835431996566055,3.645888523516213e-07,-0.05665738608323556,0.282,-77.56758438531939,0.01833,0.04163366062399303,2.5259264455527586e-05,0.004378037988310062,0.7083011372604625,1.0740460341193645,-87.89290171380252,0.6047,0.5057102890479622,1.019998266404894,0.9969633981978131,1.3680915297005052e-08,-87.89290171380252,0.0183,2.1285454447255748e-07,-0.9610640120626451,-59.87,0.03921,140.0,18.0,145.0,5.4,0.0001794842826147631
0.9,-84.38075818528954,8314.0,310.0,96484.6,1.0,0.0,100.0,9000.0,1000.0,2.0,-25.5,-1.564445160398579e-05,23.0,54.794463935091855,0.0017131963582040983,0.29451330590112446,171.61427522251483,0.9826630590007743,0.25710997800348434,0.004533281781595301,0.9891098513184521,0.060233212823383404,0.0006613333146844608,-0.05559023487194695,120.07808270164738,0.0030210919084008026,0.0003718247733988101,0.12276728350817578,0.999968149908506,0.01883544286297786,3.64584138686068e-07,-0.05663656331451966,0.282,-77.56758438531939,0.01833,0.041617857899538625,2.525912663867361e-05,0.0043780451675822,0.7083022047750401,1.074027407225635,-87.89290171380252,0.6047,0.5057118609416356,1.0199982664345921,0.9969571289467921,1.3680471186615207e-08,-87.89290171380252,0.0183,2.128519878074411e-07,-0.9610668284452029,-59.87,0.03921,140.0,18.0,145.0,5.4,0.0001794837982873305
