data_set_value_component_environment_variable_time,data_set_value_component_M_variable_M,data_set_value_component_Mp_variable_Mp,data_set_value_component_AMp_variable_AMp,data_set_value_component_AM_variable_AM,data_set_value_component_phosphorylation_variable_phosphorylation,data_set_value_component_stress_variable_stress,data_set_value_component_model_parameters_variable_k1,data_set_value_component_model_parameters_variable_k2,data_set_value_component_model_parameters_variable_k5,data_set_value_component_model_parameters_variable_k6,data_set_value_component_model_parameters_variable_k3,data_set_value_component_model_parameters_variable_k4,data_set_value_component_model_parameters_variable_k7
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.1,0.9477715187622395,0.0511835828870761,0.0010276766549404044,1.722515105831132e-05,0.052211259542016504,0.0010449018059987157,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.2,0.900653195201926,0.0953720101083502,0.003845915016374707,0.0001288785761822965,0.09921792512472491,0.003974793592557003,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.30000000000000004,0.8580527846691292,0.13343598325630251,0.008103132695080688,0.00040808932956371745,0.14153911595138322,0.008511222024644405,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.4,0.8194495450026794,0.1661388683539159,0.013503252621469057,0.0009083217379862624,0.17964212097538496,0.01441157435945532,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.5,0.7843860290716195,0.19414914325626137,0.019798050566423808,0.0016667689552064971,0.21394719382268518,0.021464819521630304,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.6000000000000001,0.7524594201828521,0.21805352007306128,0.02677941404812363,0.0027076418153551022,0.2448329341211849,0.029487055863478735,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.7000000000000001,0.7233153426414759,0.2383663308692727,0.03427381302807306,0.004044525897745246,0.27264014389734575,0.038318338925818304,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.8,0.6966417886223614,0.2555386935597786,0.0421369484772977,0.005682595318306571,0.2976756420370763,0.04781954379560427,0.55,0.5,0.5,0.55,0.4,0.1,0.01
0.9,0.6721639708819971,0.2699663047867801,0.050249402087732715,0.007620358859410401,0.3202157068745128,0.05786976094714312,0.55,0.5,0.5,0.55,0.4,0.1,0.01
1.0,0.6496397757637261,0.28199629258230247,0.05851282511711712,0.009851148951079719,0.3405091176994196,0.06836397406819683,0.55,0.5,0.5,0.55,0.4,0.1,0.01
