CaER,CaM,CaPr,Ca_cyt,Pr,Time
0.76,0.29,85.45,0.35,34.55,0.0
0.7569860607921313,0.29062326428643437,85.45365157492623,0.3559111247594934,34.54634842507376,0.01
0.7540495265808198,0.2913707562861539,85.45748863235292,0.3608302361791415,34.54251136764703,0.02
0.7512135738465706,0.2922302806700018,85.46147645933193,0.3647481226017467,34.53852354066803,0.03
0.7484940150308435,0.2931838654277612,85.46558098406189,0.3677074941036267,34.534419015938035,0.04
0.7459000473045707,0.2942100974924087,85.46977033919852,0.3697890816134869,34.530229660801396,0.05
0.7434355059622376,0.29528653508586,85.47401590011603,0.37109593569152016,34.5259840998839,0.06
0.7411002494908824,0.29639169984032626,85.47829279965582,0.3717394030192871,34.521707200344125,0.07
0.7388914146790609,0.29750641879638656,85.4825800233749,0.37182864272324667,34.51741997662503,0.08
0.7368044544697019,0.29861452418496726,85.48686019831405,0.3714638870671895,34.51313980168586,0.09
0.7348338740138373,0.29970301436039604,85.49111922183326,0.37073322466972025,34.508880778166656,0.1
0.7329737522679638,0.30076188705547297,85.49534581729638,0.36971162540978464,34.50465418270354,0.11
0.7312180953287026,0.3017837953678942,85.49953108000402,0.3684613572095131,34.50046891999592,0.12
0.7295610408396113,0.30276362194028816,85.50366805990615,0.36703328897415866,34.49633194009377,0.13
0.7279969707531736,0.30369804948285517,85.50775139395284,0.3654685251029541,34.49224860604708,0.14
0.7265205770195026,0.3045851818467122,85.51177699476929,0.3637999697657416,34.4882230052306,0.15
0.7251268830877954,0.30542421057709845,85.51574179130289,0.3620538340374191,34.484258208697,0.16
0.723811246723393,0.30621515145609496,85.51964352380622,0.36025088347569095,34.48035647619365,0.17
0.7225693494364953,0.3069586227787228,85.52348057119265,0.3584075399463562,34.47651942880724,0.18
0.7213971797491289,0.3076556756368681,85.52725181675929,0.3565367616966091,34.472748183240604,0.19
0.7202910128464353,0.3083076636793027,85.53095654192772,0.3546487519692074,34.469043458072164,0.2
0.7192473902926282,0.3089161425717923,85.53459434127853,0.35275152726365705,34.465405658721345,0.21
0.71826309891126,0.30948279228261566,85.53816505363713,0.3508513815872348,34.46183494636274,0.22
0.717335151707616,0.310009361974227,85.541668710203,0.34895323506952,34.458331289796895,0.23
0.7164607698974214,0.3104976285243451,85.54510549275338,0.3470609135594472,34.45489450724652,0.24
0.7156373659704225,0.31094936423660174,85.54847569887242,0.3451773802993876,34.45152430112749,0.25
0.7148625275918805,0.31136631428948125,85.55177971447529,0.34330491799917984,34.44822028552464,0.26
0.7141340036328975,0.3117501782834566,85.5550179906574,0.3414452816770879,34.44498200934252,0.27
0.7134496927564559,0.31210260935226425,85.55819103522651,0.339599756338521,34.44180896477342,0.28
0.7128076315167474,0.3124252040485703,85.56129939585675,0.3377692618819246,34.43870060414322,0.29
0.7122059816437725,0.31271948609497163,85.56434363913509,0.33595448990987076,34.435656360864876,0.3
0.7116430222881956,0.3129869159276028,85.56732435239414,0.33415589474263535,34.43267564760586,0.31
0.7111171413960142,0.31322889110328617,85.57024213765887,0.3323737323438918,34.429757862341134,0.32
0.7106268268957712,0.313446740615667,85.57309760051443,0.33060812943976975,34.42690239948556,0.33
0.7101706594005593,0.31364172871794704,85.57589134781149,0.32885909971443744,34.4241086521885,0.34
0.7097473058506046,0.3138150572402211,85.5786239850028,0.3271265626338365,34.42137601499717,0.35000000000000003
0.7093555143173363,0.31396786707758134,85.58129611327101,0.32541036114927163,34.41870388672898,0.36
0.7089941077119324,0.31410124054439403,85.58390832650522,0.3237102804694246,34.41609167349476,0.37
0.7086619780555585,0.3142162037969713,85.58646120938704,0.32202606320280025,34.413538790612954,0.38
0.7083580820300409,0.31431372965087656,85.58895533631679,0.32035741695950337,34.41104466368321,0.39
0.7080814369954074,0.31439474032793935,85.59139127052772,0.31870402017885174,34.40860872947228,0.4
0.7078311171042347,0.31446010996423185,85.59376956323105,0.3170655284950514,34.40623043676895,0.41000000000000003
0.7076062495878203,0.31451066701158675,85.59609075289151,0.3154415807108302,34.403909247108494,0.42
0.7074060113483587,0.31454719663820113,85.59835536470491,0.31383180334881106,34.401644635295085,0.43
0.7072296258708941,0.31457044309799326,85.6005639102503,0.312235813874122,34.399436089749706,0.44
0.7070763603950708,0.31458111199704564,85.60271688725425,0.3106532231772643,34.39728311274577,0.45
0.7069455234160477,0.3145798723321012,85.60481477943391,0.3090836375734762,34.39518522056611,0.46
0.7068364621024397,0.31456735860036417,85.60685805637571,0.30752666081305424,34.393141943624315,0.47000000000000003
0.7067485599019321,0.31454417289785436,85.60884717347278,0.3059818953280519,34.39115282652724,0.48
0.7066812346043125,0.3145108866481021,85.61078257192457,0.3044489430657473,34.38921742807545,0.49
0.7066339365498275,0.31446804221008556,85.61266467875868,0.30292740620165287,34.387335321241345,0.5
0.7066061468646196,0.3144161544715905,85.61449390686379,0.30141688779135795,34.385506093136236,0.51
0.706597375750848,0.3143557124376806,85.61627065503494,0.29991699221093027,34.38372934496508,0.52
0.706607160923819,0.31428718073131084,85.61799530803388,0.29842732534557675,34.38200469196613,0.53
0.7066350662089086,0.3142110009720533,85.6196682366576,0.29694749461852676,34.38033176334241,0.54
0.7066806802787071,0.3141275930239192,85.62128979780803,0.29547710898144214,34.37871020219199,0.55
0.7067436154627522,0.3140373561876637,85.6228603345564,0.2940157788419056,34.37713966544361,0.56
0.706823506623156,0.3139406703521712,85.6243801762018,0.2925631158968651,34.37561982379821,0.5700000000000001
0.7069200101184324,0.31383789708069143,85.6258496383234,0.2911187328800643,34.3741503616766,0.58
