Bid,CD95,CD95L,DISC,DISCp55,FADD,PrER,PrER_mGFP,PrNES,PrNES_mCherry,mCherry,mGFP,p18,p18inactive,p30,p43,p55free,tBid,Time
224.0,12.0,16.6,0.0,0.0,90.0,0.0,3316.0,0.0,1909.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0
224.0,12.0,16.6,0.003579842202593644,1.1181010143940372e-06,89.9964190396515,7.705474435147393e-25,3316.0,8.184828778619296e-21,1909.0,8.184828778619296e-21,7.705474435147393e-25,7.698502500129021e-23,1.4497890024656e-26,4.487452628896218e-11,1.313384249069473e-18,126.99999888185408,3.334840706816091e-22,0.01
224.0,12.0,16.6,0.007157103944398206,4.47119201049887e-06,89.99283842451902,6.383675956682902e-23,3316.0,3.888673062977361e-19,1909.0,3.888673062977361e-19,6.383675956682902e-23,3.9572517381970106e-21,1.2010919347273014e-24,3.445592104167836e-10,3.711083583021018e-17,126.99999552846342,1.58440763718746e-20,0.02
224.0,12.0,16.6,0.010731786982623937,1.0057420980405604e-05,89.98925815444402,1.1994972190765237e-21,3316.0,4.595994332605308e-18,1909.0,4.595994332605308e-18,1.1994972190765237e-21,4.699178189885982e-20,2.2568602249498618e-23,1.1523692270060966e-09,2.8569419459353774e-16,126.99998994142663,1.8725998311297284e-19,0.03
224.0,12.0,16.6,0.014303893102205437,1.787490707888733e-05,89.98567822926539,8.980705657347812e-21,3316.0,2.588745379888978e-17,1909.0,2.588745379888978e-17,8.980705657347812e-21,2.6366762608435576e-19,1.6897244168398052e-22,2.7253086971173893e-09,1.2056965402182712e-15,126.99998212236758,1.0547628674881308e-18,0.04
224.0,12.0,16.6,0.0178734240682698,2.7921790405295528e-05,89.98209864882384,4.7869063306274085e-20,3316.0,1.0590866968360825e-16,1909.0,1.0590866968360825e-16,4.7869063306274085e-20,1.0699731076025775e-18,9.006589032754123e-22,5.317455595539467e-09,3.795199203884797e-15,126.9999720728921,4.31516104268727e-18,0.05
224.0,12.0,16.6,0.021440381653822865,4.019620275820444e-05,89.97851941295937,1.6012324442106083e-19,3316.0,3.0522549936531156e-16,1909.0,3.0522549936531156e-16,1.6012324442106083e-19,3.0793082198596775e-18,3.0127271299722984e-21,9.184006553806134e-09,9.301137773198863e-15,126.9999597946132,1.243616021266869e-17,0.06
224.0,12.0,16.6,0.025004767626079703,5.469628207629138e-05,89.97494052151251,4.3297942237056425e-19,3316.0,7.350828599601367e-16,1909.0,7.350828599601367e-16,4.3297942237056425e-19,7.433615100776484e-18,8.146530238079294e-21,1.457925714878938e-08,1.9716158933792823e-14,126.99994528913862,2.9950342402781224e-17,0.07
224.0,12.0,16.6,0.028566583751432752,7.142016725341097e-05,89.97136197432386,1.0482505948922146e-18,3316.0,1.5874398508671412e-15,1909.0,1.5874398508671412e-15,1.0482505948922146e-18,1.6136317809387607e-17,1.972288918863548e-20,2.1757322376068247e-08,3.7917718096684066e-14,126.99992855807537,6.467892215561818e-17,0.08
224.0,12.0,16.6,0.03212583179868338,9.036599467125692e-05,89.96778377123381,2.26207434387325e-18,3316.0,3.1144558994763112e-15,1909.0,3.1144558994763112e-15,2.26207434387325e-18,3.182481494061388e-17,4.25610458396686e-20,3.097262453861e-08,6.741472810215397e-14,126.99990960303262,1.2689592652552946e-16,0.09
224.0,12.0,16.6,0.03568251352853856,0.00011153190931791589,89.96420591208351,4.554917303256067e-18,3316.0,5.730961901551158e-15,1909.0,5.730961901551158e-15,4.554917303256067e-18,5.884805701011798e-17,8.570100477238945e-20,4.2478335669016535e-08,1.1319087133563489e-13,126.99988842561221,2.3350329683657655e-16,0.1
224.0,12.0,16.6,0.039236630703400874,0.00013491605442268428,89.96062839671397,8.64147707783317e-18,3316.0,9.991619184724096e-15,1909.0,9.991619184724096e-15,8.64147707783317e-18,1.0301117576178749e-16,1.6258983840573156e-19,5.6527829504092074e-08,1.812374338677225e-13,126.99986502741754,4.071002495649442e-16,0.11
224.0,12.0,16.6,0.04278818508344116,0.00016051657561046238,89.95705122496636,1.5626424924804112e-17,3316.0,1.6665286152681198e-14,1909.0,1.6665286152681198e-14,1.5626424924804112e-17,1.723431592956519e-16,2.9401199360934657e-19,7.33740996956354e-08,2.7898881157445803e-13,126.99983941004999,6.79013283672807e-16,0.12
224.0,12.0,16.6,0.046337178430871935,0.000188331616383055,89.95347439668173,2.7591892918698162e-17,3316.0,2.6936326394425608e-14,1909.0,2.6936326394425608e-14,2.7591892918698162e-17,2.7912402047694067e-16,5.191428931133935e-19,9.327039338448421e-08,4.158160267614651e-13,126.99981157511279,1.0974983128158781e-15,0.13
224.0,12.0,16.6,0.049883612502750446,0.0002183593257371662,89.94989791170157,4.626112103106696e-17,3316.0,4.1923753096458705e-14,1909.0,4.1923753096458705e-14,4.626112103106696e-17,4.3502403146332804e-16,8.70405386158264e-19,1.1646914266190805e-07,6.016577791599535e-13,126.9997815242045,1.7081486026169766e-15,0.14
224.0,12.0,16.6,0.0534274890561111,0.00025059785273676144,89.94632176986738,7.437710905068769e-17,3316.0,6.315840246796125e-14,1909.0,6.315840246796125e-14,7.437710905068769e-17,6.559710156718331e-16,1.399409155716822e-18,1.4322272607942644e-07,8.483884044472979e-13,126.99974925892367,2.573336806725006e-15,0.15
224.0,12.0,16.6,0.05696880985129086,0.0002850453430105689,89.94274597102039,1.1744208844938913e-16,3316.0,9.315222157140574e-14,1909.0,9.315222157140574e-14,1.1744208844938913e-16,9.680176769680635e-16,2.2096789716655493e-18,1.7378396042913416e-07,1.1714324779427496e-12,126.99971478087184,3.7954101280427665e-15,0.16
224.0,12.0,16.6,0.06050757664112948,0.0003216999501380025,89.93917051500249,1.7869100757698382e-16,3316.0,1.337398050318992e-13,1909.0,1.337398050318992e-13,1.7869100757698382e-16,1.3902727068678888e-15,3.3620805546109503e-18,2.084045023345674e-07,1.5850494571116313e-12,126.99967809164376,5.44911760533201e-15,0.17
224.0,12.0,16.6,0.06404379118129061,0.00036055982475905596,89.93559540165535,2.6576470776812686e-16,3316.0,1.8812465607954351e-13,1909.0,1.8812465607954351e-13,2.6576470776812686e-16,1.955892565975409e-15,5.000376729669133e-18,2.4733637743494483e-07,2.107888243621361e-12,126.99963919283674,7.664983324864007e-15,0.18
224.0,12.0,16.6,0.06757745523158976,0.00040162311316028685,89.93202063082023,3.9430611984674267e-16,3316.0,2.61817993069355e-13,1909.0,2.61817993069355e-13,3.9430611984674267e-16,2.7216348304907132e-15,7.418890049795561e-18,2.908321794972095e-07,2.7652368142278497e-12,126.99959808605188,1.0667557314642642e-14,0.19
224.0,12.0,16.6,0.07110857054166872,0.00044488797242678074,89.92844620233936,5.709076050974257e-16,3316.0,3.578762198304015e-13,1909.0,3.578762198304015e-13,5.709076050974257e-16,3.719221820896645e-15,1.0741656133706832e-17,3.391429411998536e-07,3.5769445221596077e-12,126.99955477288104,1.4581370217657902e-14,0.2
