U,Vthresh,a,b,c,d,i,v,Time
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.0
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.01
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.02
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.03
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.04
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.05
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.06
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.07
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.08
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.09
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.1
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.11
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.12
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.13
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.14
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.15
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.16
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.17
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.18
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.19
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.2
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.21
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.22
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.23
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.24
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.25
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.26
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.27
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.28
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.29
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.3
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.31
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.32
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.33
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.34
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.35
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.36
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.37
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.38
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.39
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.4
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.41
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.42
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.43
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.44
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.45
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.46
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.47
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.48
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.49
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.5
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.51
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.52
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.53
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.54
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.55
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.56
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.57
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.58
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.59
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.6
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.61
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.62
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.63
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.64
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.65
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.66
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.67
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.68
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.69
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.7
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.71
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.72
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.73
