Time,Osteocytes__S,Pre_Osteoblasts__P,Osteoblasts__B,Osteoclasts__C,Bone_volume__z,alpha_1,alpha_2,alpha_3,beta_1,delta,beta_2,alpha_4,K_S,k1,k2,g_31,g_21,g_22,g_32,g_41,g_42,g_43,g_44,f_12,f_14,f_23,f_34,epsilon,beta_3,rho,Bone,Differentiation_of_Osteoblast_to_Osteocytes,Differentiation_of_MSC_cells_to_Pre_Osteoblast_cells,Proliferation_of_pre_osteoblasts,Differentiation_of_Pre_Osteoblast_to_mature_osteoblast,Apoptosis_of_pre_osteoblast,Apoptosis_of_osteoblasts,Differentiation_of_pre_osteoclast_to_osteoclasts,Apoptosis_of_osteoclasts,Resorption_of_bone,Formation_of_bone
0.0,180.0,0.0,0.0,0.0,100.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,0.0,323.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,181.91534392798036,181.77212799965517,119.8313575690549,12.446348044568266,94.08423004834914,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,5.417772220698912,299.2395010456614,1.643643209176447,226.23991698855207,18.177212799965517,11.98313575690549,2.474555659290201,1.2446348044568267,8.712443631197786,1.850795317654053
2.0,189.71279120926934,175.72435159091444,325.69739923806424,12.437054315043762,88.75299366006313,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,8.376292871399821,185.1231733715148,0.9038565472157504,218.54933052120498,17.572435159091444,32.569739923806424,0.5248684220474016,1.2437054315043763,8.705938020530633,5.030396331231902
3.0,196.1976167911309,111.71069634408974,453.7722191701057,11.491880310868718,86.50781660952161,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,4.313539667059195,73.18352821664911,0.21238343801492068,128.37659518300788,11.171069634408974,45.37722191701057,0.0916263628866216,1.1491880310868718,8.044316217608102,7.008511925082283
4.0,198.85353726641995,56.660716131457,493.65978704685887,10.43641486230567,86.24181749088729,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,1.4149063722907251,22.667132753712796,0.03247969975133688,59.13347399432205,5.6660716131457,49.36597870468589,0.0130568591869239,1.043641486230567,7.305490403613968,7.624575410938736
5.0,199.66420508389825,26.17393714881887,483.34928728483084,9.448576630977616,86.87340402422893,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,0.4057655834291131,6.693365608718296,0.004394537514469914,24.730645088500687,2.617393714881887,48.334928728483085,0.0018115683507179705,0.9448576630977616,6.614003641684331,7.465329742114212
6.0,199.89601421415495,11.905923137693376,452.60957242347325,8.550180979312096,87.82108140791877,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,0.1176624051736185,2.0775536703708792,0.0006190233868419107,10.17977975530577,1.1905923137693377,45.26095724234733,0.0002727903361341006,0.8550180979312096,5.985126685518466,6.990554846080545
7.0,199.96490028456984,5.540017334447393,415.89301716608946,7.7366425239496985,88.83508025875096,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,0.03649431637980581,0.7017479322198871,9.722651595864143e-05,4.286113369310416,0.5540017334447394,41.58930171660895,4.6635203201161447e-05,0.7736642523949699,5.415649766764789,6.423467650130252
8.0,199.98700188276524,2.681724975115094,379.04258506831457,7.00042503987831,89.8185705217472,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,0.012317099894214652,0.25992855558296785,1.7428687808969932e-05,1.8773214665862743,0.2681724975115094,37.90425850683146,9.171369627011825e-06,0.7000425039878311,4.900297527914817,5.854312726380119
9.0,199.99473396060986,1.3591264044415816,344.1925171129528,6.33425095744325,90.73729754634626,0.5,0.1,0.1,0.1,0.1,0.1,0.1,200.0,0.7,0.015445,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,20.0,1.0,0.004531328382260514,0.1053152416414103,3.578606590976383e-06,0.8609047728620491,0.13591264044415816,34.41925171129528,2.0733429539488446e-06,0.633425095744325,4.433975670210275,5.316053426809557
