Time,AS_m,ASL_m,ASoOH_m,ASLpOH_m,ASpOH_m,ASLoOH_m,AS_c,ASL_c,ASpOH_c,ASoOH_c,ASLpOH_c,ASLoOH_c,ASpOH_b,ASoOH_b,ASLpOH_b,ASLoOH_b,AS_b,ASL_b,CYP3A4_ASLpOH_Km1,CYP3A4_ASLoOH_Km1,CYP3A4_ASpOH_Km1,CYP3A4_ASoOH_Km1,Import_ASLpOH_k,Import_ASLoOH_k,Import_ASL_k,fu_ASL,fu_AS,Import_ASpOH_k,Export_ASLpOH_k,Export_ASLoOH_k,k_CR_ASL_c,k_CR_ASL_m,k_PON_OH_c,Export_ASoOH_k,Prot_k1,CYP3A4_ASoOH_Vmax,CYP3A4_ASLpOH_Vmax,CYP3A4_ASLoOH_Vmax,UGT1A3_AS_Vmax,UGT1A3_AS_Km1,UGT1A3_AS_KI1,k_PON_ASL_c,Export_AS_k,Export_ASL_k,Import_AS_k,Import_ASoOH_k,Export_ASpOH_k,CYP3A4_ASpOH_Vmax,compartment,medium,cell,Import_AS,Import_ASL,CYP3A4_ASpOH,CYP3A4_ASoOH,CYP3A4_ASLpOH,CYP3A4_ASLoOH,Export_ASoOH,UGT1A3_AS,R_ASASL_c,CR_oOH,CR_pOH,Export_AS,Export_ASL,Import_ASLpOH,Import_ASLoOH,ASpOH_Prot,ASoOH_Prot,ASLpOH_Prot,ASLoOH_Prot,AS_Prot,ASL_Prot,Import_ASpOH,R_ASASL_m,R_pOH_m,R_oOH_m,Export_ASLpOH,Export_ASLoOH,Export_ASpOH,Import_ASoOH
0.0,8797.15,30.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.89004525,8.416224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.0,0.0,0.0,0.0,0.0,0.0
0.01,8796.256546250366,30.517273598408394,1.65949310957169e-08,4.299481870716764e-09,3.173848301837061e-09,8.15863798074276e-09,31.299129730516533,1.4684870295677157,0.002019177991106842,0.005252788774966719,0.0019207517297216516,0.0015465950462550666,0.005460517984108149,0.014205598161750682,0.0051956213736904944,0.004183574426096033,94.60875932698654,4.440194076969456,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.87187686800118,8.40445714900167,0.019165301111871393,0.0498713303020393,0.01823048993473293,0.014681053234390888,8.395532299029307e-06,0.0353441278536388,0.006474412464661102,6.21483753387136e-06,7.718348750713485e-06,0.0677939149962988,0.03204532395922669,1.4501722401740575e-10,2.1311994133296237e-10,0.014470247037669614,0.03764072676606066,0.013753977237239754,0.011074364250537573,139.39471843007772,6.528534662834833,1.2572882662897335e-11,0.15258636799204198,2.149740935358382e-11,4.07931899037138e-11,2.1740988828719375e-06,4.125387626380764e-06,1.6057714892076272e-06,6.451279463459944e-12
0.02,8795.363483500616,30.47474900186707,1.0202540132633428e-07,2.639689527106308e-08,1.951554991769993e-08,5.008772210202225e-08,58.96999720945375,2.760766622266083,0.006634710095685263,0.017256666096366693,0.006299208158469722,0.005071721376610293,0.020282557387622236,0.05275564353947941,0.01926209171606106,0.015508790112542116,192.72949056734882,9.025871324203953,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.85371643698502,8.39274587511419,0.035991768601879706,0.09365662295736515,0.03416226183257529,0.027510943829090525,2.7581329421822884e-05,0.06643810340302801,0.012171943960908933,2.0380205179770802e-05,2.531273806399473e-05,0.12772901395567682,0.060245449231090466,8.903408805976867e-10,1.3083914767490251e-09,0.027609108384213012,0.07179873618006495,0.026168877387916078,0.02106797906114737,139.26752879866913,6.494806612925413,7.730889944397651e-11,0.15237374500933537,1.319844763553154e-10,2.5043861051011125e-10,7.130073714571878e-06,1.3528309599970294e-05,5.2763195506946625e-06,3.966237476561245e-11
0.03,8794.470810010476,30.43242452070083,3.103950036542998e-07,8.020144862943932e-08,5.93809157245294e-08,1.5217325307419864e-07,86.61548083217596,4.046378719069518,0.013847965333249857,0.036011607775958576,0.013123157643605146,0.010565075836796434,0.044325336762676304,0.11527105710347355,0.04201703327035266,0.03382711067854717,290.7602692062817,13.587878204373373,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.83556392156302,8.381089713001009,0.0526943976953069,0.13711966731907319,0.04990916369161072,0.04019195817905482,5.755735270831459e-05,0.09736104441595284,0.0178400791345056,4.245470074258279e-05,5.273409667506292e-05,0.18760913148249314,0.08830007640753504,2.705114660822359e-09,3.975069716804217e-09,0.040657396321294455,0.10570305091436136,0.03842967851996971,0.03093514420520713,139.1399582638825,6.461343223504278,2.352315595511508e-10,0.15216212260350415,4.0100724314719657e-10,7.608662653709933e-10,1.4854102136796664e-05,2.8181283287070807e-05,1.1012732910920282e-05,1.2066605767060905e-10
0.04,8793.578525471241,30.390299150961752,6.954568628177983e-07,1.7946024771684056e-07,1.330642209687416e-07,3.4048839386662005e-07,114.23570599415447,5.325384787786265,0.023641112756533043,0.06146766472973461,0.02236230739254907,0.018001800345476517,0.07752549946666808,0.20157436422309985,0.07335276805958789,0.05905017671543164,388.70142539190573,18.126427756137474,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.81741931545767,8.369488386174865,0.06927486554766861,0.18026482762731805,0.06547411778984924,0.0527264496011274,9.824376853753483e-05,0.12811430245399577,0.023479088990870867,7.233843450826284e-05,8.986069602621919e-05,0.24743453918333858,0.11621054683907188,6.053014695241315e-09,8.894237824583849e-09,0.053616285156787916,0.13935692921884524,0.05053873435014799,0.04067778700224403,139.01298181893114,6.428186180037825,5.271206049455731e-10,0.15195149575480876,8.973012385842028e-10,1.7024419693331004e-09,2.5311895737626293e-05,4.801800224152406e-05,1.8800831330760467e-05,2.703588554204191e-10
0.05,8792.686629575312,30.348371896656612,1.310567227778908e-06,3.377471369613264e-07,2.507893031354066e-07,6.407723332821331e-07,141.83076824334896,6.597844053675687,0.035996562480903944,0.09357555513419714,0.03398683704619119,0.027357423562597776,0.1198205352778764,0.3114904348467598,0.1131632881414027,0.09109099604864852,486.55331402986883,22.641731217427353,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.79928261241395,8.357941620339231,0.08573479971323507,0.22309633905148857,0.0808599687553587,0.06511670888048438,0.00014956180977098728,0.15869918261264057,0.029089234648250736,0.0001099330708439429,0.00013657270598641468,0.3072054440150938,0.14397815293931085,1.1391873182568578e-08,1.673825488999588e-08,0.06648701953747159,0.17276380965024501,0.062498440826922505,0.05029786833642261,138.8864619109713,6.395324768915086,9.934767454405997e-10,0.15174185948328306,1.688735684806632e-09,3.2038616664106656e-09,3.846970085258381e-05,7.297319161087331e-05,2.862662627856367e-05,5.094830097990505e-10
0.06,8791.795122016152,30.306641769596812,2.2086924716587003e-06,5.684663183815848e-07,4.227108001064069e-07,1.0784372616284092e-06,169.40076675138212,7.863815103508413,0.05089695517259306,0.13228663624439058,0.04796738189437977,0.03860784723968635,0.17114876312260743,0.4448464356740843,0.16134421547010325,0.12986391094992047,584.3162814332788,27.1339965297223,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.78115380619843,8.34644914334696,0.10207579926586612,0.2656183626501652,0.09606950469889454,0.07736498128878719,0.00021143373070940945,0.18911698128013885,0.034670774409858246,0.00015514177334795563,0.00019275212740437565,0.36692206078349365,0.1716041731887606,1.9173800452692473e-08,2.8170938148257303e-08,0.0792707440816776,0.20592686726462944,0.07431107109149378,0.05979724968876671,138.76044365657748,6.362757075291048,1.6745265635415204e-09,0.15153320884798407,2.842331591907924e-09,5.392186308142046e-09,5.429427956624845e-05,0.00010298257172713936,4.0476312570556355e-05,8.586291983573197e-10
0.07,8790.904002488296,30.26510778932029,3.4424129697837124e-06,8.848543472134774e-07,6.589148525079273e-07,1.6785722073704858e-06,196.94579789443696,9.123355593412654,0.06832516111962858,0.17755290153450806,0.06427502786279483,0.05172934211235949,0.23144931536887586,0.6014717876775902,0.21779277198253227,0.17528457379209142,681.9906718105825,31.603428697280556,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.7630328905995,8.335010685178807,0.11829943171233305,0.3078349773390659,0.11110545499323243,0.08947346479587422,0.00028378280252260425,0.21936897916367767,0.040223962475797057,0.00020786918834430536,0.00025828277196385474,0.42658459823935047,0.19908986575945095,2.984525227716338e-08,4.384766320093183e-08,0.091968609132649,0.23884928915841663,0.08597887891332208,0.06917777648181848,138.63490566142931,6.330478097274816,2.6102252967249034e-09,0.15132553894660145,4.424271736067387e-09,8.39286103685243e-09,7.275290403789746e-05,0.00013798284715050768,5.4336267631995825e-05,1.338238042003418e-09
0.08,8790.013270687316,30.223768982984147,5.063928339343947e-06,1.2999827987198144e-06,9.694200427523216e-07,2.465948170500072e-06,224.4659575714595,10.376522376786632,0.08826427464487317,0.2293269655554261,0.08288130099745614,0.06669853933577145,0.3006621223650247,0.7811981237324866,0.28240774646551675,0.22726992002610952,779.5768250367053,36.05022974265706,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.74491985942655,8.323625977913833,0.13440723512356828,0.34975018543691494,0.12597049311997113,0.10144431236229746,0.00036653328904723753,0.24945644403731485,0.04574904950701458,0.000268021410466864,0.00033305021992817777,0.4861932640997813,0.2264364713062379,4.384711981802062e-08,6.441549810980288e-08,0.10458173372257631,0.2715341780498483,0.09750406333513585,0.07844124960392312,138.50984903677733,6.2984839888038255,3.840260557359047e-09,0.15111884491492075,6.499913993599072e-09,1.2329740852500361e-08,9.381334459902059e-05,0.00017791168382423676,7.019304705408183e-05,1.9686021419199594e-09
0.09,8789.122926309834,30.18262438526828,7.125062172092446e-06,1.8267606480138166e-06,1.3641782423701844e-06,3.465022704235802e-06,251.9613404458694,11.623371483260208,0.11069761039797386,0.2875620537489728,0.10375815943646426,0.08349242393377536,0.3787278977636119,0.983859248513547,0.355089464530448,0.2857381436962423,877.0750774897214,40.47459880042718,1400.0,3900.0,25600.0,29700.0,0.033729,0.026122,0.2754,0.22,0.22,0.0039614,0.0011319,0.0026674,3.55e-05,0.005,0.0039829,0.0015983,8.52,47.4985,17.4446,39.1342,13.5862,12000.0,75000.0,0.0043734,0.002166,0.021822,0.020335,0.00038875,0.00079526,15.7336,1.0,2.0,0.0142,178.72681470651045,8.312294755702883,0.1504007184086659,0.39136791337843874,0.1406672376727434,0.11327963274721031,0.00045961043050698325,0.27938063007708996,0.051246282532545935,0.0003355059563354829,0.000416941787879488,0.5457482634057531,0.2536452125077043,6.161480989685803e-08,9.051332308004762e-08,0.1171112186030045,0.3039845862744602,0.10888878197770512,0.0875894361366409,138.3852673651641,6.266770625606005,5.404055689325249e-09,0.1509131219263414,9.133803240069083e-09,1.7325113521179013e-08,0.00011744386066613388,0.0002227076916009524,8.80333816450927e-05,2.7698679194009383e-09
