value_component_environment_variable_t,value_component_parameters_variable_D_Ca,value_component_parameters_variable_k_1,value_component_parameters_variable_k_2,value_component_parameters_variable_f,value_component_parameters_variable_g,value_component_parameters_variable_Ca_max,value_component_parameters_variable_Total_Tn,value_component_parameters_variable_Total_CB,value_component_Ca_t_variable_Ca_t,value_component_TnCa_variable_TnCa,value_component_CB_on_variable_CB_on,value_component_CumCB_variable_CumCB_on,value_component_CumCB_variable_CumCB_off,value_component_force_development_variable_F,value_component_force_development_variable_FTI,value_component_force_development_variable_FLA,value_component_force_development_variable_phi,value_component_force_development_variable_s,value_component_force_development_variable_L,value_component_force_development_variable_L_0,value_component_force_development_variable_F_max,value_component_ATP_variable_ATP,value_component_ATP_variable_ATP_energy,value_component_ATP_variable_epsilon,value_component_ATP_variable_CumCB_on_end,value_component_equations_main_variable_Efficiency,value_component_equations_main_variable_Economy
0.0,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.1,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,0.3536965325256521,0.22698865914939262,0.33729195498045644,0.11030329583106008,0.22698865914939262,0.011030329583106041,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.2,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,0.047867271313355955,0.14883837644094625,0.4578363873428352,0.3089980109018852,0.14883837644094625,0.03089980109018857,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.30000000000000004,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,0.006478470952928408,0.06466740580904076,0.47613189465545386,0.41146448884640924,0.06466740580904076,0.04114644888464098,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.4,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0008768364216275255,0.02522799807800788,0.47879721275057635,0.4535692146725643,0.02522799807800788,0.045356921467256485,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.5,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,0.00011874987930829196,0.009481223912414115,0.4791692160978849,0.4696879921854595,0.009481223912414115,0.046968799218546,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.6000000000000001,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,1.619870342296455e-05,0.003515509434806681,0.47922013828554305,0.47570462885072123,0.003515509434806681,0.04757046288507221,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.7000000000000001,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,2.212034825984727e-06,0.0012971234457513064,0.4792271113390312,0.4779299878932598,0.0012971234457513064,0.04779299878932613,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.8,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,3.018291928781242e-07,0.00047773295719937914,0.47922806505536364,0.47875033209814366,0.00047773295719937914,0.04787503320981453,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
0.9,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,4.612933444967186e-08,0.00017588880672689578,0.4792281931689412,0.47905230436219437,0.00017588880672689578,0.047905230436219616,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
1.0,0.1,40.0,20.0,10.0,10.0,1.0,1.0,1.0,0.0,6.997004571229369e-09,6.479043640520422e-05,0.4792282123840639,0.4791634219476386,6.479043640520422e-05,0.04791634219476414,0.228,1.0,1.0,1.0,0.0,0.228,1.0,1.0,1.0,1.0,0.228,0.1
