Time,EmptySet,M,P,N_A,default,CYTOPLASM,TC,TL,mRNAD,ProteinD,DBT
0.0,0.0,1.0,1.0,6.0221367e+23,1.0,1.0,0.04233490368140345,0.5,0.1,0.1,0.4930059291367275
0.01,0.0,0.9994243193292229,0.9990671850847719,6.0221367e+23,1.0,1.0,0.042412536199259665,0.49971215966461147,0.0999424319329223,0.0999067185084772,0.49319534845534135
0.02,0.0,0.9988498030282007,0.998131070509021,6.0221367e+23,1.0,1.0,0.042490654081964216,0.49942490151410035,0.09988498030282007,0.0998131070509021,0.4933856723865165
0.03,0.0,0.9982765775864509,0.997191306852237,6.0221367e+23,1.0,1.0,0.04256928959329588,0.49913828879322547,0.0998276577586451,0.0997191306852237,0.4935769750745967
0.04,0.0,0.9977046900180069,0.99624777162979,6.0221367e+23,1.0,1.0,0.04264845627767102,0.49885234500900344,0.0997704690018007,0.099624777162979,0.4937692847571689
0.05,0.0,0.9971341642666434,0.9953004141151616,6.0221367e+23,1.0,1.0,0.04272816177798931,0.4985670821333217,0.09971341642666434,0.09953004141151617,0.49396261516772877
0.06,0.0,0.9965650104936092,0.9943492193130178,6.0221367e+23,1.0,1.0,0.04280841079822688,0.4982825052468046,0.09965650104936093,0.09943492193130178,0.49415697281141463
0.07,0.0,0.9959972266026369,0.9933941979557767,6.0221367e+23,1.0,1.0,0.04288920591022811,0.49799861330131845,0.09959972266026369,0.09933941979557767,0.4943523589675951
0.08,0.0,0.9954308389471301,0.9924353323741404,6.0221367e+23,1.0,1.0,0.04297055212243657,0.49771541947356507,0.09954308389471302,0.09924353323741404,0.494548780752144
0.09,0.0,0.9948658294406976,0.9914726346945819,6.0221367e+23,1.0,1.0,0.04305245195591197,0.4974329147203488,0.09948658294406976,0.0991472634694582,0.4947462392102095
0.1,0.0,0.9943021980833392,0.9905061049171011,6.0221367e+23,1.0,1.0,0.043134908990772054,0.4971510990416696,0.09943021980833393,0.09905061049171011,0.49494473789259535
0.11,0.0,0.993739958154072,0.9895357416493666,6.0221367e+23,1.0,1.0,0.04321792696136849,0.496869979077036,0.0993739958154072,0.09895357416493666,0.49514428066309485
0.12,0.0,0.9931791560836414,0.9885615400230227,6.0221367e+23,1.0,1.0,0.04330150993738678,0.4965895780418207,0.09931791560836414,0.09885615400230227,0.4953448721298656
0.13,0.0,0.9926197513424617,0.9875835042876766,6.0221367e+23,1.0,1.0,0.04338566124337329,0.49630987567123086,0.09926197513424617,0.09875835042876767,0.4955465150521108
0.14,0.0,0.992061743930533,0.9866016344433287,6.0221367e+23,1.0,1.0,0.04347038460303874,0.4960308719652665,0.0992061743930533,0.09866016344433287,0.4957492130894587
0.15,0.0,0.9915051338478553,0.9856159304899788,6.0221367e+23,1.0,1.0,0.04355568377659356,0.49575256692392766,0.09915051338478553,0.09856159304899788,0.4959529699288524
0.16,0.0,0.9909499210944286,0.984626392427627,6.0221367e+23,1.0,1.0,0.043641562561143064,0.4954749605472143,0.09909499210944286,0.0984626392427627,0.4961577892847583
0.17,0.0,0.9903961086503812,0.9836330202971644,6.0221367e+23,1.0,1.0,0.04372802478752383,0.4951980543251906,0.09903961086503812,0.09836330202971644,0.4963636748908933
0.18,0.0,0.9898437802402315,0.9826358152474027,6.0221367e+23,1.0,1.0,0.04381507422737628,0.4949218901201157,0.09898437802402316,0.09826358152474028,0.4965706302787868
0.19,0.0,0.9892928738817944,0.9816347764278642,6.0221367e+23,1.0,1.0,0.043902714864565165,0.4946464369408972,0.09892928738817945,0.09816347764278643,0.496778659422601
0.2,0.0,0.9887433895750704,0.9806299038385486,6.0221367e+23,1.0,1.0,0.04399095064756317,0.4943716947875352,0.09887433895750704,0.09806299038385487,0.4969877661487154
0.21,0.0,0.9881953273200591,0.9796211974794561,6.0221367e+23,1.0,1.0,0.044079785563789935,0.49409766366002955,0.09881953273200592,0.09796211974794561,0.4971979543120973
0.22,0.0,0.9876486871167607,0.9786086573505866,6.0221367e+23,1.0,1.0,0.04416922364003982,0.49382434355838034,0.09876486871167607,0.09786086573505866,0.4974092277965203
0.23,0.0,0.9871034689651752,0.9775922834519402,6.0221367e+23,1.0,1.0,0.04425926894291533,0.4935517344825876,0.09871034689651753,0.09775922834519402,0.4976215905147899
0.24,0.0,0.9865597561216508,0.9765720779232654,6.0221367e+23,1.0,1.0,0.04434992538883978,0.4932798780608254,0.09865597561216509,0.09765720779232655,0.4978350459609636
0.25,0.0,0.9860175043345745,0.9755480396272637,6.0221367e+23,1.0,1.0,0.04444119722514553,0.49300875216728723,0.09860175043345745,0.09755480396272637,0.49804959834317614
