Time,EpoRJAK2,EpoRpJAK2,p1EpoRpJAK2,p2EpoRpJAK2,p12EpoRpJAK2,EpoRJAK2_CIS,SHP1,SHP1Act,STAT5,pSTAT5,npSTAT5,CISnRNA1,CISnRNA2,CISnRNA3,CISnRNA4,CISnRNA5,CISRNA,CIS,SOCS3nRNA1,SOCS3nRNA2,SOCS3nRNA3,SOCS3nRNA4,SOCS3nRNA5,SOCS3RNA,SOCS3,Epo,ActD,CISEqc,CISEqcOE,CISInh,CISRNADelay,CISRNAEqc,CISRNATurn,CISTurn,CISoe,EpoRActJAK2,EpoRCISInh,EpoRCISRemove,JAK2ActEpo,JAK2EpoRDeaSHP1,SHP1ActEpoR,SHP1Dea,SOCS3Eqc,SOCS3EqcOE,SOCS3Inh,SOCS3RNADelay,SOCS3RNAEqc,SOCS3RNATurn,SOCS3Turn,SOCS3oe,STAT5ActEpoR,STAT5ActJAK2,STAT5Exp,STAT5Imp,epo_level,init_EpoRJAK2,init_SHP1,init_STAT5,cyt,nuc,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32,reaction_33,reaction_34,reaction_35,reaction_36
0.0,3.97622,0.0,0.0,0.0,0.0,0.0,26.7251,0.0,79.7535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.1258946406391076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3.9730738793043288,0.003129358611137186,4.179331275762107e-06,1.256035858104837e-05,2.239467830660843e-08,0.0,26.725099894259873,1.0574011735606264e-07,79.75347535586161,2.4641929978940204e-05,3.212264174858978e-09,1.0067344505864199e-10,2.914613347919403e-14,7.03359813286688e-18,1.4561278381485778e-21,2.6427237505974532e-25,1.426695343434303e-29,5.505776362034298e-32,8.349029987216562e-16,1.775343873947817e-18,3.1478234714825814e-21,4.7891246719600756e-24,6.3883941826846144e-27,5.231003723935821e-30,8.332264000333946e-28,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.12579502851141125,7.068490810434216e-10,0.0003346010366503436,0.0010038031099510309,1.340602421593701e-06,1.342993732633151e-06,9.440134029813086e-13,2.8370918848970127e-12,5.058435209359671e-15,0.0,8.458323721649274e-06,3.453011205937334e-10,0.001971270184999898,1.3884113906579235e-09,2.650377564042901e-07,6.582495455846865e-11,1.1076286910119542e-08,4.0081244523003455e-12,1.160398655473837e-15,2.8002952166359567e-19,5.797299963618909e-23,1.0521509102300522e-26,5.706781373737212e-27,2.074661827000756e-29,1.8495928925774436e-34,0.0,9.202666521551362e-14,2.444418563369781e-16,5.197829602345996e-19,9.21615821201331e-22,1.402153935050631e-24,1.8703860633136732e-27,1.7384592232038935e-32,3.633517958690509e-24,3.3329056001335786e-24,0.0
0.02,3.969930247988645,0.006222959249362846,1.660910648710695e-05,5.000524914605189e-05,1.7840636000468168e-07,0.0,26.7250995771626,4.2283739542445474e-07,79.75340144930406,9.853303647447298e-05,2.568653398983626e-08,1.6097277982626617e-09,9.320996303222507e-13,4.500490577738399e-16,1.8647353116472223e-19,6.773361134625996e-23,4.7707259580130864e-27,3.7482261570625455e-29,1.3325271500389471e-14,5.660212848440865e-17,2.0062182163045485e-19,6.104770871362008e-22,1.6289649682323444e-24,2.669807029148925e-27,4.43711462805763e-25,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.12569549520219048,5.620849038428481e-09,0.0006653787164114734,0.0019961361492344203,5.3276964442267025e-06,5.3467212554931355e-06,1.500207160070508e-11,4.516692867750029e-11,1.6114442934597626e-13,0.0,1.6909954561784617e-05,1.3808025763518642e-09,0.0039409769428965895,2.2163331123919763e-08,1.0597779857833827e-06,5.26362353967902e-10,8.857036803657485e-08,6.408829404820613e-11,3.7109799094473557e-14,1.7917859393282108e-17,7.424094005452481e-21,2.6966867352300658e-24,1.9082903832052345e-24,6.937460809499819e-27,1.259167100879889e-31,0.0,7.358815886098e-13,3.9013563332946545e-15,1.657190042500456e-17,5.873780615968754e-20,1.7873471847537798e-22,4.769263271928556e-25,8.872772605304839e-30,1.8544800001311932e-21,1.7748458512230525e-21,0.0
0.03,3.9667891042428476,0.009281184016765202,3.712873580369728e-05,0.00011198340474108315,5.995998425626433e-07,0.0,26.72509904889267,9.511073236220666e-07,79.7532783184228,0.00022162200321510867,8.665312366873442e-08,8.143959826645281e-09,7.070923662222406e-12,5.1165347064049316e-15,3.174520786356715e-18,1.7249195440311937e-21,1.3480839675720827e-25,1.5964653427183853e-27,6.729203433463178e-14,4.2807583388282126e-16,2.271908622717528e-18,1.034533824145313e-20,4.1273461443023603e-23,1.0114345546010103e-25,1.7052898946179834e-23,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.12559604065413404,1.8856647587799154e-08,0.000992373894861389,0.0029771216845841672,1.1909769732257658e-05,1.1973623981811782e-05,7.543471664457275e-11,2.2751747999717554e-10,1.2182112653385672e-12,0.0,2.5354897186743533e-05,3.1059018361565703e-09,0.005909117765030604,1.1194300025916642e-07,2.3836687529002943e-06,1.7756752301028343e-09,2.9879076164559506e-07,3.242364905732069e-10,2.815155676295184e-13,2.0370523583293782e-16,1.2638759288231817e-19,6.867443742145691e-23,5.39233587028833e-23,1.9603472878667273e-25,5.3631145854371774e-30,0.0,2.4824851156867277e-12,1.9701677697450577e-14,1.2533150754942007e-16,6.6516656667345955e-19,3.028895198659846e-21,1.2083992449461648e-23,3.3613773243316874e-28,7.025545788405171e-20,6.821159578471933e-20,0.0
0.04,3.9636504463643107,0.012304410849200842,6.557992268189061e-05,0.00019814753612915756,1.4153276778129574e-06,0.0,26.72509830963447,1.6903655194754774e-06,79.75310599973672,0.0003938591138973023,2.0530824627342212e-07,2.5722258413907242e-08,2.977543430891426e-11,2.8728225082200725e-14,2.376576314975903e-17,1.721454973531816e-20,1.4230813042051057e-24,2.2578909988658818e-26,2.121495700405763e-13,1.797113246513324e-15,1.2706196701431848e-17,7.709465937450312e-20,4.0980873106293754e-22,1.339102944113001e-24,2.274325577993531e-22,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.1254966648133336,4.442966356081807e-08,0.0013156269821112713,0.003946880946333815,2.1036045566700983e-05,2.1186568635045138e-05,2.3680076492976523e-10,7.154855663971346e-10,5.11056834205335e-12,0.0,3.37931559744713e-05,5.519996787240418e-09,0.007875690084775526,3.5297889468099113e-07,4.236175331069269e-06,4.207127821926476e-09,7.079284009503167e-07,1.0240834895151908e-09,1.185453088070092e-12,1.1437604162257926e-15,9.4618929900175e-19,6.853650204309387e-22,5.692325216820423e-22,2.0694063887850188e-24,7.585086769078081e-29,0.0,5.8817806435916504e-12,6.211288592951738e-14,5.261565699226129e-16,3.72010438749934e-18,2.2571678003342808e-20,1.1998328801969303e-22,4.45034258599449e-27,9.3015697421622e-19,9.097302311974126e-19,0.0
0.05,3.960514272757503,0.015293013563081836,0.00010180663403557744,0.00030815428644141593,2.752758938910067e-06,0.0,26.725097359572263,2.6404277214138593e-06,79.75288452737992,0.0006151970599288124,4.0081482323754623e-07,6.275791685711453e-08,9.079691300125501e-11,1.0949169517545004e-13,1.1319579190575913e-16,1.0242793802328292e-19,8.768427999015516e-24,1.7428573667334065e-25,5.166636697585469e-13,5.463403063386206e-15,4.823729731572596e-17,3.6552299267847913e-19,2.4260471011373204e-21,9.902542654580169e-24,1.6892560136368994e-21,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.12539736762927164,8.625791032015195e-08,0.0016351779478081118,0.004905533843424336,3.265647327693857e-05,3.2948842400032804e-05,5.742247904518107e-10,1.7380972491125899e-09,1.552651690957181e-11,0.0,4.222473501553119e-05,8.622485711651127e-09,0.009840691277466203,8.597765791682336e-07,6.616788889887938e-06,8.21340216426328e-09,1.3820594254838372e-06,2.4985887885719078e-09,3.6149088469330907e-12,4.359206546482089e-15,4.506678212617976e-18,4.077976300013215e-21,3.5073711996062065e-21,1.27508111217157e-23,5.854899266368471e-28,0.0,1.1482757813066934e-11,1.5126814340232018e-13,1.5995683196443842e-15,1.4122855611476603e-17,1.0701736489266429e-19,7.102950377121083e-22,3.290987259720802e-26,6.878424958383241e-18,6.757024054547598e-18,0.0
0.06,3.957380581933615,0.018247361901715633,0.00014565507071649382,0.0004416641862675856,4.736907685876681e-06,0.0,26.725096198890206,3.801109781586627e-06,79.75261393230035,0.0008855917409594929,6.92303607585354e-07,1.3005105448181144e-07,2.2575621627643385e-10,3.2665671656310144e-13,4.0522020732953985e-16,4.399688362615679e-19,3.8575686196565757e-23,9.223837432429329e-25,1.0687123380108195e-12,1.354278447543532e-14,1.4334700577685811e-16,1.3025207561058572e-18,1.0367865690298506e-20,5.0807112867313905e-23,8.69276276358227e-21,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.1252981490548096,1.4816378832556786e-07,0.0019510663260895208,0.005853198978268564,4.672171877170144e-05,4.7224148121126306e-05,1.1826809366977678e-09,3.586197246352752e-09,3.84624468714023e-11,0.0,5.064963811411491e-05,1.2412767262797154e-08,0.011804118660209709,1.7787191282045758e-06,9.525035105394284e-06,1.4186521104532271e-08,2.3871490540975924e-06,5.177738888466169e-09,8.988060458140694e-12,1.3005224688616328e-14,1.6133082766936885e-17,1.7516534274186335e-20,1.5430274478626304e-20,5.60957207652513e-23,3.0986264307705252e-27,0.0,1.9833484687026602e-11,3.128962624323853e-13,3.965039510237359e-15,4.1968957167591305e-17,3.8135039882172777e-19,3.0354907569734838e-21,1.6885113953252222e-25,3.529123028299065e-17,3.4771051054329084e-17,0.0
0.07,3.9542493725101857,0.021167821581046537,0.00019697363841513619,0.0005983416093355783,7.4906610183976785e-06,0.0,26.72509482777233,5.1722276587080725e-06,79.75229424146949,0.0012050030542724015,1.0988746148907286e-06,2.407812229464543e-07,4.875693510351486e-10,8.229646501697551e-13,1.190797698694966e-15,1.5077602253909133e-18,1.345093626004333e-22,3.756679658881286e-24,1.975050897981191e-12,2.9159658535045765e-14,3.5972978403546896e-16,3.810189894142407e-18,3.535067063785599e-20,2.0207724802428083e-22,3.464708313460711e-20,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.12519900904617617,2.3387584735508095e-07,0.002263331220474555,0.006789993661423666,6.318315520496788e-05,6.39765995633099e-05,2.1762927476770483e-09,6.610866893193204e-09,8.276169024856347e-11,0.0,5.906786878904938e-05,1.689024044208137e-08,0.013765969491580406,3.2876930773257063e-06,1.2960482650410073e-05,2.2517877625619773e-08,3.789056519086314e-06,9.586252926820053e-09,1.941165951893125e-11,3.276479448778973e-14,4.740937762785502e-17,6.00286463235166e-20,5.3803745040173315e-20,1.955998813941404e-22,1.2620069432296709e-26,0.0,3.14811487454375e-11,5.782529330973107e-13,8.537328376317532e-15,1.0532123650767456e-16,1.1155426344696465e-18,1.034992516101318e-20,6.715786762299423e-25,1.4036528140464175e-16,1.3858833253842845e-16,0.0
0.08,3.9511206432107233,0.024054754334877845,0.0002556129189242532,0.0007778547287019783,1.1134806773986839e-05,0.0,26.725093246402576,6.75359741092775e-06,79.75192547710085,0.0015733956749771365,1.6395988665922826e-06,4.1050022136742885e-07,9.498595253068113e-10,1.8321231906156367e-12,3.0295395727543007e-15,4.3837893686682604e-18,3.9628003051104427e-22,1.266880632160543e-23,3.3610811551312295e-12,5.66349343219392e-14,7.977153764922793e-16,9.64932371353966e-18,1.0225948141038885e-19,6.684836192910243e-22,1.1479732247873605e-19,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.1250999475629552,3.4703051887716845e-07,0.0025720113086990107,0.007716033926097034,8.199285375816514e-05,8.317071672794737e-05,3.687648713891621e-09,1.1221870169803063e-08,1.606384217680802e-10,0.0,6.74794302748021e-05,2.2054304575618866e-08,0.01572624097120137,5.5957168691729274e-06,1.692275158595709e-05,3.359827056947824e-08,5.653541077355573e-06,1.6343296625829116e-08,3.781687601348074e-11,7.294254960337916e-14,1.2061543770251357e-16,1.7453235410846053e-19,1.5851201220441772e-19,5.762597150733722e-22,4.2559182554998994e-26,0.0,4.6972106828744147e-11,9.840531392478775e-13,1.6581505277109457e-14,2.3355411078518897e-16,2.8251169351955e-18,2.9939403142981886e-20,2.221622416744927e-24,4.64336743762977e-16,4.591892899149442e-16,0.0
0.09,3.9479943928643375,0.02690851795960459,0.00032142564174574494,0.0009798754734242866,1.5788060889789245e-05,0.0,26.725091454964797,8.545035188722284e-06,79.75150765587742,0.0019907398273225838,2.3335204287640684e-06,6.571251502813427e-07,1.7103560218851766e-09,3.711062157276086e-12,6.903373542709229e-15,1.1238262960599757e-17,1.0264883869036352e-21,3.6968730087098244e-23,5.370624756992698e-12,1.0166975879673065e-13,1.6094978175311989e-15,2.1887357731647166e-17,2.6082011261153974e-19,1.9195055470930046e-21,3.3004206427202927e-19,1.24997e-07,0.0,432.871,0.530261,784653000.0,0.144775,1.0,1000.0,0.00839842,0.0,0.267308,1000000.0,5.42932,633253.0,142.722,0.001,0.00816391,173.653,0.679157,10.408,1.06465,1.0,0.00830844,10000.0,0.0,38.9757,0.0780965,0.0745155,0.0268889,1.24997e-07,3.97622,26.7251,79.7535,0.4,0.275,0.1250009645680741,4.911738190623775e-07,0.0028771448474983934,0.008631434542495181,0.00010310357453252592,0.00010477142122003967,5.867133234087375e-09,1.78861273300105e-08,2.881868921383396e-10,0.0,7.5884325522485e-05,2.7904359291024697e-08,0.017684930239214077,8.942571758709476e-06,2.1411521657157692e-05,4.781794641513146e-08,8.046269040357086e-06,2.6162205748794882e-08,6.809461809381727e-11,1.4774898155040247e-13,2.748448737775754e-16,4.474303680332282e-19,4.1059535476145406e-19,1.49269168219348e-21,1.2419156885523507e-25,0.0,6.685194354566442e-11,1.572404803071376e-12,2.9766744893308306e-14,4.712267591445126e-16,6.408153237474493e-18,7.636258654526585e-20,6.379238667075762e-24,1.3333115870773663e-15,1.3201682570881172e-15,0.0
