data_set_value_component_environment_variable_time,data_set_value_component_x1_variable_x1,data_set_value_component_x2_variable_x2,data_set_value_component_z_variable_z,data_set_value_component_y1_variable_y1,data_set_value_component_y2_variable_y2,data_set_value_component_x1_bar_variable_x1_bar,data_set_value_component_x2_bar_variable_x2_bar,data_set_value_component_model_parameters_variable_alpha1,data_set_value_component_model_parameters_variable_beta1,data_set_value_component_model_parameters_variable_alpha2,data_set_value_component_model_parameters_variable_beta2,data_set_value_component_model_parameters_variable_k1,data_set_value_component_model_parameters_variable_k2,data_set_value_component_model_parameters_variable_g11,data_set_value_component_model_parameters_variable_g21,data_set_value_component_model_parameters_variable_g12,data_set_value_component_model_parameters_variable_g22,data_set_value_component_model_parameters_variable_gamma
0.0,10.06066,212.132,100.0,8.99999982822018,0.0,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.1,9.925641784592939,215.7013247034534,99.78593009270591,8.864981612813118,3.5692903474891295,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.2,9.79234231806615,219.20997009259753,99.57567769946183,8.73168214628633,7.077935736633265,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.30000000000000004,9.66075966273065,222.65866591868172,99.36919627152945,8.600099490950829,10.526631562717455,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.4,9.530888810174378,226.04822040986835,99.16643432558615,8.470228638394557,13.916186053904084,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.5,9.402723264652296,229.37944516760362,98.96734019004933,8.342063092872475,17.247410811639355,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.6000000000000001,9.276255365469018,232.65313887008446,98.77186303925629,8.215595193689197,20.521104514120196,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.7000000000000001,9.151476307344938,235.87009278582522,98.57995254127592,8.090816135565117,23.738058429860956,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.8,9.02837631039998,239.0310933096953,98.39155869344235,7.967716138620158,26.899058953731043,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
0.9,8.90694499656773,242.13692400078742,98.20663168523345,7.84628482478791,30.00488964482315,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0
1.0,8.787174722827746,245.18835782634315,98.0251227981702,0.0,0.0,22203.245073718805,4440649.014743762,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,0.15,1.0,0.0,-0.35
