Time,B,I,S,T,at,kt,dti,ati,dt,di,as,v,dto,ao,omin,oo,do,dtt,F,F2,c,tme,tumor_growth,tumor_death,tumor_immune,glucose_b_s,glioma_consumption,glucose_consumption_b,immune_growth,immune_recruitment,immune_cell_death,glioma_response,glucose_intake,glucose_consumption_s,glucose_s_b
0.0,0.000392,0.000284,0.000439,0.14,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,8.038547999999999e-05,1.4000000000000001e-05,2.8627200000000003e-06,0.00784,5.488e-05,0.00019607792959999994,0.00019215792959999993,1.1928e-08,2.8400000000000003e-06,2.8627200000000003e-05,0.0008,4.39e-06,0.00878
10.0,0.0014427545517827088,0.0037889147620616443,0.0014856697079098434,0.142071916242078,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.00029990254636722924,1.42071916242078e-05,3.875748341212762e-05,0.028855091035654177,0.00020497490383874977,0.0007252038077048511,0.000710776262187024,1.6148951421719842e-07,3.7889147620616444e-05,0.00038757483412127624,0.0008,1.4856697079098433e-05,0.02971339415819687
20.0,0.001474749957768826,0.005575952218370387,0.0015183144105471995,0.14451553787399274,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.00031141592709179396,1.4451553787399275e-05,5.801844484781852e-05,0.02949499915537652,0.00021312428337660997,0.0007431311735934067,0.0007283836740157185,2.4174352019924386e-07,5.5759522183703876e-05,0.0005801844484781852,0.0008,1.5183144105471996e-05,0.03036628821094399
30.0,0.0014696533481947385,0.006101597481673478,0.0015132377222707772,0.146894794220489,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.0003150445362443455,1.4689479422048902e-05,6.453308926704092e-05,0.02939306696389477,0.0002158844261585188,0.0007411037373151638,0.0007264072038332165,2.6888787194600385e-07,6.1015974816734784e-05,0.0006453308926704092,0.0008,1.5132377222707772e-05,0.030264754445415543
40.0,0.0014641066995498987,0.006190646733003902,0.0015076914470995419,0.14926820463315138,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.0003185180775089257,1.4926820463315139e-05,6.65328040814575e-05,0.029282133990997973,0.00021854457843318217,0.0007383979869243857,0.0007237569199288866,2.772200170060729e-07,6.190646733003902e-05,0.000665328040814575,0.0008,1.507691447099542e-05,0.030153828941990837
50.0,0.0014588646343612832,0.00614038965919124,0.0015024512230253286,0.15166324241462914,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.00032205273792390137,1.5166324241462915e-05,6.705154118895862e-05,0.029177292687225662,0.0002212561406912646,0.0007357029153011357,0.0007211142689575229,2.7938142162066093e-07,6.14038965919124e-05,0.0006705154118895862,0.0008,1.5024512230253287e-05,0.03004902446050657
60.0,0.0014536994326359417,0.006047609476542531,0.001497288534503449,0.15408918259650048,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.0003256177339491252,1.540891825965005e-05,6.709472646503679e-05,0.029073988652718836,0.00022399935731586877,0.0007330037008433682,0.0007184667065170088,2.795613602709866e-07,6.047609476542531e-05,0.0006709472646503679,0.0008,1.497288534503449e-05,0.029945770690068978
70.0,0.0014485081980583551,0.0059429312099249475,0.001492099706835751,0.15654904085360252,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.0003291952194240423,1.5654904085360253e-05,6.698593301563368e-05,0.028970163961167104,0.00022676256907461562,0.0007302799682338286,0.0007157948862532451,2.7910805423180703e-07,5.9429312099249476e-05,0.0006698593301563368,0.0008,1.492099706835751e-05,0.029841994136715018
80.0,0.0014432878336133378,0.005835873907907936,0.0014868818805351225,0.15904380427579523,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.0003327849852878152,1.5904380427579523e-05,6.682749030630215e-05,0.028865756672266756,0.00022954598772283622,0.0007275399088735184,0.000713107030537385,2.7844787627625893e-07,5.8358739079079356e-05,0.0006682749030630216,0.0008,1.4868818805351225e-05,0.02973763761070245
90.0,0.0014380335653304426,0.0057293941222682325,0.0014816302012052984,0.161573868908165,1.575,2.0,0.072,0.0003,0.0001,0.01,0.7,0.7,1.0,20.0,0.0008,0.0016,0.01,0.72,0.0008,0.0008,1.0,1.0,0.0003363852112001636,1.61573868908165e-05,6.665186698808965e-05,0.02876067130660885,0.00023234864677024205,0.0007247841254050013,0.000710403789751697,2.777161124503735e-07,5.729394122268233e-05,0.0006665186698808965,0.0008,1.4816302012052984e-05,0.029632604024105967
