Time,G,I,B,si,Eg0,R0,sigma,alpha,k,d0,r1,r2,cell
0.0,250.0,2.8,37.0,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.01,249.99586133933565,2.80297359532122,37.000000230863364,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.02,249.99071028044776,2.8029857268595877,37.00000112703831,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.03,249.98576646970326,2.8029593292091994,37.00000269405399,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.04,249.9810364810029,2.80293344840392,37.000004903035375,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.05,249.97650769897052,2.80290874243467,37.00000771559471,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.06,249.97216809472462,2.802885139306723,37.000011095999746,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.07,249.96802345656786,2.802862663289018,37.000015061457816,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.08,249.96404706314846,2.802841145481547,37.00001953262032,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.09,249.96024967649618,2.8028206539088214,37.000024541444944,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.1,249.956619862244,2.802801121647142,37.00003005397799,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.11,249.95313618007262,2.8027824232094116,37.00003600655368,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.12,249.9498137727403,2.8027646491115323,37.000042444153735,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.13,249.94663492610766,2.8027476991351423,37.00004931420669,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.14,249.94360066254131,2.8027315765827985,37.00005661972544,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.15,249.9407028500917,2.8027162341786203,37.00006433656537,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.16,249.93793335680934,2.8027016246467262,37.00007244058187,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.17,249.9352840507447,2.8026877007112345,37.00008090763031,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.18,249.93274679994832,2.8026744150962646,37.00008971356612,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.19,249.93032233469762,2.802661774758862,37.000098860591365,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.2,249.92802037406852,2.8026498416635595,37.00010837763117,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.21,249.92581923061982,2.8026384855808364,37.000118200241495,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.22,249.9237123508568,2.8026276688942597,37.000128308970346,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.23,249.92169318128472,2.8026173539873964,37.000138684365744,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.24,249.91975516840895,2.8026075032438134,37.00014930697569,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.25,249.91789175873478,2.802598079047078,37.00016015734821,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.26,249.91610686990606,2.802589104476688,37.000171247143115,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.27,249.91441713569475,2.8025806763211483,37.00018262580229,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.28,249.91279872497807,2.8025726568142946,37.00019422253856,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.29,249.91124705311213,2.8025650197521323,37.000206023749776,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.3,249.90975753545305,2.802557738930669,37.00021801583379,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.31,249.90832558735696,2.8025507881459104,37.00023018518846,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.32,249.90694662417994,2.802544141193863,37.00024251821162,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.33,249.9056235789558,2.8025378147978897,37.00025502363143,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.34,249.9043701840806,2.802531887347746,37.000267742254124,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.35,249.90316844566206,2.8025262560701036,37.00028062064711,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.36,249.90201527536368,2.8025209033051657,37.000293649652846,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.37,249.90090758484905,2.8025158113931368,37.00030682011377,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.38,249.89984228578177,2.8025109626742197,37.0003201228723,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.39,249.89881628982545,2.8025063394886196,37.000333548770904,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.4,249.89783105012253,2.8025019501033417,37.0003471021337,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.41,249.8968956700594,2.802497846459789,37.00036080999512,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.42,249.89599828302934,2.80249396078399,37.0003746371387,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.43,249.89513676048503,2.8024902808954786,37.00038857725607,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.44,249.89430897387913,2.802486794613788,37.00040262403886,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.45,249.89351279466428,2.802483489758453,37.000416771178735,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.46,249.89274609429313,2.802480354149006,37.000431012367315,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.47,249.8920094135963,2.802477390879818,37.000445349215205,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.48,249.89130853391802,2.8024746330327654,37.00045979887945,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.49,249.89063571953793,2.8024720363417597,37.00047433841749,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.5,249.8899894429603,2.8024695920657012,37.00048896330405,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.51,249.8893681766896,2.8024672914634885,37.000503669013845,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.52,249.88877039323003,2.80246512579402,37.00051845102159,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.53,249.88819456508602,2.8024630863161963,37.00053330480201,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.54,249.88764083145847,2.802461173825442,37.00054823077179,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.55,249.88711312930286,2.8024594108472276,37.000563240608514,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.56,249.8866061139257,2.8024577667991566,37.00057831846837,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.57,249.88611865920853,2.8024562352367353,37.000593461016216,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.58,249.88564963903295,2.8024548097154676,37.00060866491691,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.59,249.88519792728053,2.8024534837908583,37.000623926835296,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.6,249.88476239783276,2.802452251018412,37.000639243436225,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.61,249.88434368171897,2.8024511150091342,37.00065461659396,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.62,249.8839464801374,2.8024501026660857,37.00067006024951,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.63,249.8835647497487,2.8024491794053534,37.00068555648972,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
0.64,249.883197611276,2.8024483401950233,37.00070110271124,0.72,1.44,864.0,43.2,20000.0,432.0,0.06,0.00084,2.4e-06,1.0
