Time,G,M,C_T,T_beta,I_gamma,r1,G_max,e1,alpha1,alpha2,k1,r2,m1,a1,k4,e2,alpha3,k2,a2,k5,mu1,alpha4,k3,s1,b1,mu2,b2,mu3,M_max,compartment,The_rate_of_change_of_glioma_whose_growth_follows_the_logistic_fashion_without_any_immune_intervention,Elimination_of_glioma_due_to_interaction_with_CTL_and_macrophage,Logistic_growth_term_for_macrophage,The_proliferative_enhancement_effect_of_macrophagesby_IFN_gama_and_negative_effect_of_TGF_beta,The_limited_interaction_between_glioma_and_macrophage,The_rate_of_change_of_CTL_whose_stimulation_is_followed_by_glioma_cell,The_natural_death_of_CTL,Clearance_of_CTL_due_to_their_interaction_with_glioma_cells,Natural_production_of_bioactive_TGF__beta_in_the_central_nervous_system,Glioma_secrete_the_cytokine_TGF_beta_to_suppress_the_immune_activity,The_degradation_of_TGF_beta,Linear_production_of_interferon_gamma_by_CTL,Decay_term_of_IFN_gamma
0.0,100000.0,100000.0,1.0,5000.0,9000.0,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,886.7048093808419,7.874022047244094,-3306966930.0,3.5784615384615387e-06,1527.5590551181103,0.0,0.007,0.03899182874899298,63305.0,0.575,34650.0,0.000102,917.9999999999999
0.06,100053.21284617178,50.85117484823709,0.9972438164462654,6406.677706660472,8945.088207586927,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,887.1163305708058,0.003666889421487837,-838.3214604032737,3.2608721963665966e-06,0.7768695662858568,0.0,0.006980706715123857,0.03890028695318455,63305.0,0.5753059738654878,44398.27650715707,0.00010171886927751907,912.3989971738665
0.12,100106.45202590968,25.672637946081373,0.9944942763333282,7334.820861751533,8890.511449077114,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,887.5279912021008,0.0017550143359261851,-209.46924957509876,3.076081501379766e-06,0.3922533841872869,0.0,0.006961459934333298,0.038808920339544015,63305.0,0.5756120991489806,50830.30857193812,0.00010143841618599948,906.8321678058655
0.18,100159.71597403428,17.277974947577587,0.9917513663956021,7947.221072096463,8836.267680324587,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,887.9397790798407,0.001142668165688304,-93.00952161304764,2.961274837488265e-06,0.26402077711434174,0.0,0.006942259564769215,0.03871772820573062,63305.0,0.5759183668506971,55074.24202962848,0.00010115863937235142,901.2993033931078
0.24,100213.00465878243,13.080865584744767,0.9890150733897402,8351.290228845086,8782.35486965534,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,888.3516938688401,0.0008473692149356929,-52.25991874947004,2.886449883829278e-06,0.19990828168582248,0.0,0.006923105513728181,0.038626710310006335,63305.0,0.576224776787999,57874.44128589644,0.00010087953748575349,895.8001967048447
0.3,100266.31807574816,10.563031645388751,0.9862853840921431,8617.900009608189,8728.77099779124,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,888.7637354454429,0.000675495925325893,-33.40553016983876,2.8356367336042714e-06,0.16144771336360203,0.0,0.0069039976886450015,0.038535866418944964,63305.0,0.5765313289355519,59722.047066584746,0.00010060110917739859,890.3346417747064
0.36,100319.65622733002,8.884903030513067,0.9835622852986922,8793.812471059164,8675.514057774393,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,889.1759037385507,0.0005637010387542942,-23.167717233447156,2.7997098688811695e-06,0.13581414382104126,0.0,0.006884935997090846,0.03844519630124112,63305.0,0.5768380233071476,60941.12042444,0.0001003233531004666,884.902433892988
0.42,100373.01911842445,7.686634789438038,0.9808457638246614,8909.88166497721,8622.582054891975,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,889.5881986963093,0.00048538816452112617,-16.9972258706489,2.7732032876973636e-06,0.11751072929511158,0.0,0.00686592034677263,0.03835469972641175,63305.0,0.5771448599309406,61745.47993829207,0.00010004626791011546,879.5033695989814
0.48,100426.40675505386,6.788291171297384,0.9781358065046728,8986.465488969106,8569.973006601536,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,890.0006202754972,0.0004275369996056837,-12.994064756254,2.752738558487885e-06,0.10378884510200032,0.0,0.00684695064553271,0.03826437646438207,63305.0,0.5774518388415597,62276.20583855591,9.976985226347663e-05,874.1372466733567
0.54,100479.81914381903,6.089900223215795,0.9754324001926713,9036.99651188006,8517.684942456726,0.01,882650.0,10000.0,1.5,0.12,27000.0,0.3307,1000000.0,0.1163,10500.0,10000.0,0.0194,27000.0,0.0,2000.0,0.007,0.1694,334450.0,63305.0,5.75e-06,6.93,0.000102,0.102,1.0,1.0,890.4131684372886,0.00038306282755177693,-10.250702775971495,2.736183427370387e-06,0.0931213606715297,0.0,0.006828026801348699,0.03817422628532064,63305.0,0.5777589600769594,62626.385827328806,9.949410481965248e-05,868.803864130586
