DHAP,G3P,Gly,Time
0.59,0.0,15.1,0.0
0.59,0.03456688519053651,15.1,0.01
0.59,0.06621321883969118,15.1,0.02
0.59,0.09523378542938085,15.1,0.03
0.59,0.12188553272377076,15.1,0.04
0.59,0.1463946392514853,15.1,0.05
0.59,0.1689602165826832,15.1,0.06
0.59,0.18975855581771078,15.1,0.07
0.59,0.20894650334424475,15.1,0.08
0.59,0.22666438082984633,15.1,0.09
0.59,0.2430379376662728,15.1,0.1
0.59,0.2581801740779065,15.1,0.11
0.59,0.27219300357688087,15.1,0.12
0.59,0.2851685287243432,15.1,0.13
0.59,0.297190202851876,15.1,0.14
0.59,0.3083338963206645,15.1,0.15
0.59,0.3186685722748965,15.1,0.16
0.59,0.3282570270712453,15.1,0.17
0.59,0.33715656281097156,15.1,0.18
0.59,0.3454196630678843,15.1,0.19
0.59,0.3530944427253485,15.1,0.2
0.59,0.36022505006816175,15.1,0.21
0.59,0.3668519978599814,15.1,0.22
0.59,0.3730124887429902,15.1,0.23
0.59,0.3787407168723122,15.1,0.24
0.59,0.38406819781440094,15.1,0.25
0.59,0.3890239599391667,15.1,0.26
0.59,0.39363479374441546,15.1,0.27
0.59,0.3979255914739593,15.1,0.28
0.59,0.40191907264863214,15.1,0.29
0.59,0.40563669010964326,15.1,0.3
0.59,0.4090977776975776,15.1,0.31
0.59,0.412320702536868,15.1,0.32
0.59,0.4153220689103034,15.1,0.33
0.59,0.4181175185795099,15.1,0.34
0.59,0.42072139596444463,15.1,0.35000000000000003
0.59,0.4231470714343774,15.1,0.36
0.59,0.4254069278335924,15.1,0.37
0.59,0.4275124714129383,15.1,0.38
0.59,0.4294744167544356,15.1,0.39
0.59,0.43130266028087605,15.1,0.4
0.59,0.4330064887804898,15.1,0.41000000000000003
0.59,0.43459442159961653,15.1,0.42
0.59,0.436074482992745,15.1,0.43
0.59,0.4374540376972238,15.1,0.44
0.59,0.43874000519240125,15.1,0.45
0.59,0.4399387652299002,15.1,0.46
0.59,0.4410562960479912,15.1,0.47000000000000003
0.59,0.44209813290511885,15.1,0.48
0.59,0.44306944424146444,15.1,0.49
0.59,0.4439750399436827,15.1,0.5
0.59,0.44481938786052677,15.1,0.51
0.59,0.44560666924806935,15.1,0.52
0.59,0.4463407487902029,15.1,0.53
0.59,0.4470252553598132,15.1,0.54
0.59,0.44766353947910464,15.1,0.55
0.59,0.44825874747939365,15.1,0.56
0.59,0.44881378761304874,15.1,0.5700000000000001
0.59,0.449331389750555,15.1,0.58
0.59,0.44981408082033897,15.1,0.59
0.59,0.45026422841581126,15.1,0.6
0.59,0.4506840321733513,15.1,0.61
0.59,0.45107554299711383,15.1,0.62
0.59,0.451440676251363,15.1,0.63
0.59,0.45178120965391266,15.1,0.64
0.59,0.45209880930784624,15.1,0.65
0.59,0.45239501828855494,15.1,0.66
0.59,0.45267128358534076,15.1,0.67
0.59,0.4529289370163563,15.1,0.68
0.59,0.45316924061883784,15.1,0.6900000000000001
0.59,0.45339337702915,15.1,0.7000000000000001
0.59,0.45360240395643575,15.1,0.71
0.59,0.45379735161257295,15.1,0.72
0.59,0.4539791928203041,15.1,0.73
0.59,0.45414880134910957,15.1,0.74
0.59,0.4543069764851517,15.1,0.75
0.59,0.45445452303085215,15.1,0.76
0.59,0.45459217092617765,15.1,0.77
0.59,0.45472054239051435,15.1,0.78
0.59,0.45484028955648687,15.1,0.79
0.59,0.45495200274386827,15.1,0.8
0.59,0.45505620183898005,15.1,0.81
0.59,0.45515339678366046,15.1,0.8200000000000001
0.59,0.4552440627567074,15.1,0.8300000000000001
0.59,0.45532863494824094,15.1,0.84
0.59,0.4554075173963173,15.1,0.85
0.59,0.4554810977321004,15.1,0.86
0.59,0.4555497342558059,15.1,0.87
0.59,0.45561374835058915,15.1,0.88
0.59,0.45567345911030943,15.1,0.89
0.59,0.45572916238896816,15.1,0.9
0.59,0.4557811149106803,15.1,0.91
0.59,0.45582957454128953,15.1,0.92
0.59,0.4558747817729808,15.1,0.93
0.59,0.45591695280329164,15.1,0.9400000000000001
0.59,0.4559562870329412,15.1,0.9500000000000001
0.59,0.4559929802978565,15.1,0.96
0.59,0.45602721114045414,15.1,0.97
0.59,0.4560591395260402,15.1,0.98
0.59,0.4560889230864776,15.1,0.99
0.59,0.4561167070625808,15.1,1.0
0.59,0.4561426221586429,15.1,1.01
0.59,0.4561667952460668,15.1,1.02
0.59,0.456189344814626,15.1,1.03
0.59,0.456210374982505,15.1,1.04
0.59,0.4562299835443588,15.1,1.05
0.59,0.456248269650862,15.1,1.06
0.59,0.45626532521311025,15.1,1.07
0.59,0.45628123891094596,15.1,1.08
0.59,0.45629608465474125,15.1,1.09
0.59,0.45630990509039016,15.1,1.1
0.59,0.4563227906848494,15.1,1.11
0.59,0.4563348100447336,15.1,1.12
0.59,0.45634603078321717,15.1,1.1300000000000001
0.59,0.4563565203852542,15.1,1.1400000000000001
0.59,0.4563662681313441,15.1,1.1500000000000001
0.59,0.45637535883720964,15.1,1.16
0.59,0.45638384229437684,15.1,1.17
0.59,0.4563917664238902,15.1,1.18
0.59,0.45639917861990564,15.1,1.19
0.59,0.4564060891413483,15.1,1.2
0.59,0.45641252790849834,15.1,1.21
0.59,0.4564185391514111,15.1,1.22
0.59,0.456424153407838,15.1,1.23
0.59,0.45642939977243724,15.1,1.24
0.59,0.45643430030995785,15.1,1.25
0.59,0.45643886878842743,15.1,1.26
0.59,0.45644313308568246,15.1,1.27
0.59,0.45644711301314106,15.1,1.28
0.59,0.4564508271221543,15.1,1.29
0.59,0.45645429277605776,15.1,1.3
0.59,0.45645752440795495,15.1,1.31
0.59,0.4564605382673223,15.1,1.32
0.59,0.4564633489528637,15.1,1.33
0.59,0.45646597055030486,15.1,1.34
0.59,0.45646841679671774,15.1,1.35
0.59,0.45647068636698535,15.1,1.36
0.59,0.4564727918288849,15.1,1.37
0.59,0.45647474732266036,15.1,1.3800000000000001
0.59,0.4564765636939712,15.1,1.3900000000000001
0.59,0.45647825215475507,15.1,1.4000000000000001
0.59,0.45647982448131846,15.1,1.41
0.59,0.45648129321242686,15.1,1.42
0.59,0.45648267184739544,15.1,1.43
0.59,0.4564839750441793,15.1,1.44
0.59,0.45648515261821326,15.1,1.45
0.59,0.4564862119931828,15.1,1.46
0.59,0.45648718907724806,15.1,1.47
0.59,0.4564880927030173,15.1,1.48
0.59,0.4564889326065387,15.1,1.49
