T,DNK_B,DNK_G,H_HH,NCLI,NGL_C,NGL_C_E,NGL_C_G,NGL_C_I,NGL_E,NGL_E_G,NGL_E_I,NGL_REL,NKI,N_HH,R_AMPA,R_NMDA,V,_CLE,_CLI,_ECL,_EK,_ENA,_GL_C,_GL_E,_KE,_KI,_NAE,_NAI,_VL_E,_VL_G,_VL_I
14.4,-37.522099,21.968348,0.98472905,67.193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.6615,0.057652637,0.0,0.0,-69.478157,123.46251,9.0224237,-69.69622,-90.549751,65.002655,0.0,0.0,4.7712007,142.82396,151.79929,13.23043,2492.5144,7560.1255,7447.3604
14.8,-38.541267,22.640612,0.98457873,67.201721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.9861,0.057968698,0.0,0.0,-69.411674,123.27742,9.0251551,-69.648193,-90.505447,65.122658,0.0,0.0,4.7814455,142.89276,152.02211,13.190301,2491.8252,7562.1284,7446.0464
15.2,-39.559124,23.314529,0.98442757,67.210884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.3079,0.05828499,0.0,0.0,-69.345444,123.09221,9.0279703,-69.599831,-90.461105,65.24189,0.0,0.0,4.7917004,142.96107,152.24472,13.150627,2491.1204,7564.1406,7444.7388
15.6,-40.575672,23.990036,0.98427528,67.220695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.6268,0.058602028,0.0,0.0,-69.279381,122.90688,9.0308666,-69.55114,-90.416733,65.360367,0.0,0.0,4.8019648,143.02892,152.46713,13.111398,2490.3999,7566.1621,7443.438
16.0,-41.5909,24.66707,0.98412216,67.231155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.943,0.058919348,0.0,0.0,-69.213554,122.72144,9.033843,-69.502144,-90.372337,65.478104,0.0,0.0,4.8122401,143.09627,152.68935,13.072603,2489.6643,7568.1924,7442.1431
16.4,-42.604797,25.34557,0.98396796,67.242226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.2563,0.059237383,0.0,0.0,-69.147903,122.53588,9.0368948,-69.452827,-90.327911,65.595116,0.0,0.0,4.8225255,143.16318,152.91135,13.034235,2488.9143,7570.231,7440.8545
16.799999,-43.617367,26.025476,0.98381281,67.253899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.5671,0.059555754,0.0,0.0,-69.082474,122.35022,9.0400219,-69.403221,-90.283455,65.711411,0.0,0.0,4.8328223,143.22961,153.13316,12.996284,2488.1501,7572.2778,7439.5723
17.200001,-44.628593,26.706728,0.98365659,67.266151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.8752,0.059874829,0.0,0.0,-69.017212,122.16446,9.0432215,-69.353317,-90.238968,65.826996,0.0,0.0,4.8431301,143.29562,153.35478,12.958741,2487.3721,7574.332,7438.2954
17.6,-45.638477,27.389267,0.98349941,67.278969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.1807,0.060194273,0.0,0.0,-68.952171,121.97859,9.0464897,-69.303131,-90.19445,65.941902,0.0,0.0,4.8534498,143.36119,153.57619,12.921599,2486.5808,7576.3945,7437.0249
18.0,-46.647011,28.07304,0.98334116,67.292336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.4836,0.060514424,0.0,0.0,-68.887291,121.79263,9.0498257,-69.252663,-90.149902,66.056122,0.0,0.0,4.8637815,143.42633,153.79741,12.884848,2485.7764,7578.4639,7435.7598
