data_generator_T,data_generator_V,data_generator__ECL,data_generator__EK,data_generator__ENA,data_generator__GL_C,data_generator__VL_E,data_generator__VL_G,data_generator__VL_I
0.0,-71.099998,-71.137054,-94.71447,60.253368,0.0,2500.0,7500.0,7500.0
0.40000001,-71.549324,-71.101143,-92.93499,60.28476,0.0,2501.9031,7499.625,7498.4717
0.80000001,-71.726585,-71.068146,-92.31488,60.395485,0.0,2502.6616,7500.4536,7496.8853
1.2,-71.74427,-71.036079,-92.080719,60.534172,0.0,2503.0071,7501.7134,7495.2798
1.6,-71.703072,-71.003929,-91.974632,60.681652,0.0,2503.1914,7503.1338,7493.6753
2.0,-71.639359,-70.971329,-91.91114,60.831341,0.0,2503.2998,7504.6221,7492.0781
2.4000001,-71.571159,-70.938141,-91.86145,60.980961,0.0,2503.3611,7506.147,7490.4917
2.8,-71.499657,-70.904358,-91.816612,61.129841,0.0,2503.3855,7507.6982,7488.916
3.2,-71.427612,-70.869957,-91.773201,61.277702,0.0,2503.3767,7509.272,7487.3511
3.5999999,-71.355278,-70.834953,-91.730209,61.424484,0.0,2503.3362,7510.8667,7485.7974
4.0,-71.283302,-70.799347,-91.687271,61.570152,0.0,2503.2651,7512.481,7484.2539
4.4000001,-71.21093,-70.763153,-91.64431,61.714725,0.0,2503.1641,7514.1147,7482.7212
4.8000002,-71.139565,-70.726379,-91.60125,61.858189,0.0,2503.0334,7515.7676,7481.1987
5.1999998,-71.066803,-70.689041,-91.558212,62.000584,0.0,2502.874,7517.4395,7479.6865
5.5999999,-70.995956,-70.651138,-91.514793,62.141857,0.0,2502.6863,7519.1289,7478.1846
6.0,-70.925095,-70.612686,-91.471527,62.282089,0.0,2502.4709,7520.8369,7476.6924
6.4000001,-70.853088,-70.573708,-91.428276,62.421288,0.0,2502.2285,7522.5615,7475.21
6.8000002,-70.782455,-70.534187,-91.384628,62.559387,0.0,2501.9592,7524.3037,7473.7368
7.1999998,-70.711838,-70.494148,-91.341103,62.696484,0.0,2501.6641,7526.0625,7472.2734
7.5999999,-70.641098,-70.453606,-91.297531,62.832558,0.0,2501.3433,7527.8374,7470.8193
8.0,-70.570816,-70.412567,-91.253876,62.967625,0.0,2500.9978,7529.6284,7469.374
8.3999996,-70.501488,-70.371033,-91.210114,63.101688,0.0,2500.6277,7531.4346,7467.938
8.8000002,-70.431496,-70.329033,-91.166443,63.234791,0.0,2500.2339,7533.2559,7466.5103
9.1999998,-70.362175,-70.28656,-91.12265,63.366917,0.0,2499.8169,7535.0918,7465.0913
9.6000004,-70.292053,-70.243637,-91.078873,63.498104,0.0,2499.3772,7536.9419,7463.6807
10.0,-70.222961,-70.200256,-91.034882,63.628323,0.0,2498.915,7538.8062,7462.2788
10.4,-70.154228,-70.156433,-90.990898,63.757614,0.0,2498.4314,7540.6841,7460.8848
10.8,-70.085945,-70.112183,-90.946922,63.885998,0.0,2497.9265,7542.5747,7459.4985
11.2,-70.017448,-70.06752,-90.902954,64.013489,0.0,2497.4009,7544.4785,7458.1206
11.6,-69.949303,-70.022446,-90.85891,64.140091,0.0,2496.8555,7546.3945,7456.75
12.0,-69.881042,-69.976974,-90.81485,64.265823,0.0,2496.2903,7548.3228,7455.3872
12.4,-69.813728,-69.931107,-90.770729,64.390694,0.0,2495.7058,7550.2627,7454.0312
12.8,-69.746201,-69.884857,-90.726654,64.514732,0.0,2495.1028,7552.2139,7452.6831
13.2,-69.678818,-69.838242,-90.682495,64.637932,0.0,2494.4817,7554.1763,7451.3418
13.6,-69.611732,-69.791252,-90.638283,64.760307,0.0,2493.843,7556.1489,7450.0078
