data_set_value_component_environment_variable_time,data_set_value_component_R_des_variable_R_des,data_set_value_component_C_cyto_variable_C_cyto,data_set_value_component_I_ra_variable_I_ra,data_set_value_component_I_rable_variable_I_rable,data_set_value_component_IP3_variable_IP3,data_set_value_component_V_PLC_variable_V_PLC,data_set_value_component_V_3K_variable_V_3K,data_set_value_component_V_5P_variable_V_5P,data_set_value_component_IP4_variable_IP4,data_set_value_component_V_15P_variable_V_15P,data_set_value_component_model_parameters_variable_V_plc,data_set_value_component_model_parameters_variable_V_k,data_set_value_component_model_parameters_variable_K_k,data_set_value_component_model_parameters_variable_K_d,data_set_value_component_model_parameters_variable_n_d,data_set_value_component_model_parameters_variable_V_p1,data_set_value_component_model_parameters_variable_K_p1,data_set_value_component_model_parameters_variable_V_p2,data_set_value_component_model_parameters_variable_K_p2,data_set_value_component_model_parameters_variable_k,data_set_value_component_model_parameters_variable_gamma,data_set_value_component_model_parameters_variable_alpha,data_set_value_component_model_parameters_variable_Ca_tot,data_set_value_component_model_parameters_variable_V_MP,data_set_value_component_model_parameters_variable_K_p,data_set_value_component_model_parameters_variable_n_p,data_set_value_component_model_parameters_variable_K_act,data_set_value_component_model_parameters_variable_K_inh,data_set_value_component_model_parameters_variable_n_a,data_set_value_component_model_parameters_variable_n_i,data_set_value_component_model_parameters_variable_K_minus,data_set_value_component_model_parameters_variable_K_plus,data_set_value_component_model_parameters_variable_b,data_set_value_component_model_parameters_variable_K_1,data_set_value_component_model_parameters_variable_K_IP
0.0,0.1,0.1,0.00046325464181151086,0.08181818181818182,0.1,0.26,0.004545454545454546,0.04716981132075472,0.1,0.009433962264150945,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.1,0.10286462030840791,0.09519778741921678,0.00047106299105573104,0.09635867485047363,0.12033151597434653,0.26,0.004912999773334529,0.05666661713872961,0.099432893514797,0.009365004109148424,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.2,0.10449434352620054,0.0926705756715161,0.0004951842404475931,0.1097662837152988,0.13969808249514282,0.26,0.005338644735234294,0.0656830258688975,0.09891249859655869,0.009301304768160929,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.30000000000000004,0.10556630854146602,0.09169446546176449,0.0005338165727709271,0.12213190967100031,0.15814013712142355,0.26,0.005833207086753591,0.07424166339205049,0.09844462849571414,0.009243311792404093,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.4,0.10647928535252695,0.0918577824178467,0.000586733432039306,0.13352715324984096,0.17569511115894695,0.26,0.006404787914390255,0.08236319822967414,0.09803592647542107,0.009191550513457396,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.5,0.10751088519933387,0.09293055725000249,0.0006551078359195923,0.14400628086681702,0.19239757324821197,0.26,0.007063659432576782,0.09006645963402096,0.09769386254322894,0.009146622983534011,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.6000000000000001,0.10889178264564978,0.0948036041492009,0.000741681025136305,0.15360620374566059,0.20827902963145312,0.26,0.007825582465552988,0.0973683762014643,0.09742710535184672,0.009109240678626378,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.7000000000000001,0.11085396045445525,0.0974617297898542,0.0008513161548705277,0.16234391010235583,0.22336741119172185,0.26,0.008715320128782577,0.10428374642480277,0.09724622097051826,0.00908028632677792,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.8,0.11367558144468694,0.10098241778835794,0.0009922477286370623,0.17021038126166665,0.2376861399127566,0.26,0.009772331714428971,0.1108247834758639,0.09716481841956368,0.009060915345566472,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
0.9,0.11774124317345733,0.10556338471131192,0.0011787936652976597,0.1771582429559406,0.2512524660965602,0.26,0.011061740752999979,0.11700027329039912,0.09720146591365589,0.009052725533650672,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
1.0,0.12365525184375104,0.1115949350279666,0.0014373903306736093,0.18307482058639502,0.26407437176473864,0.26,0.012696560896589626,0.12281397816452326,0.09738313821351308,0.009058062340712268,1.3,0.5,1.0,0.3,2.0,5.0,10.0,0.2,2.0,0.01,0.2,0.1,80.0,4.0,0.35,2.0,0.56,0.15,3.0,4.0,0.5,987.6543209876544,0.0007,2.57,1.0
