Time,x_Malignant_Cells,y_Lymphocytes,alpha,k,sigma,compartment,Malignant_Cells_Growth,Malignant_Cells_Death_Lymphocytes,Lymphocytes_Production,Lymphocyte_Death,Lymphocyte_Elimination_Malignant_Cells
0.0,5.3,6.7,2.0,0.2,0.25,1.0,10.6,35.51,0.25,3.35,1.06
0.18,1.4823249627858957,10.778723806931662,2.0,0.2,0.25,1.0,2.9646499255717913,15.977571365989423,0.25,5.389361903465831,0.2964649925571791
0.36,0.2828343666463164,11.251191988747074,2.0,0.2,0.25,1.0,0.5656687332926328,3.182223760153388,0.25,5.625595994373537,0.05656687332926328
0.54,0.05649934761857145,10.582303581988112,2.0,0.2,0.25,1.0,0.1129986952371429,0.5978932486840002,0.25,5.291151790994056,0.011299869523714291
0.72,0.012973577065321925,9.764645324072434,2.0,0.2,0.25,1.0,0.02594715413064385,0.12668237862738913,0.25,4.882322662036217,0.0025947154130643853
0.9,0.0034447554648286993,8.978445780088729,2.0,0.2,0.25,1.0,0.0068895109296573985,0.03092855016662882,0.25,4.489222890044364,0.0006889510929657399
1.08,0.0010481975633964528,8.251598213040829,2.0,0.2,0.25,1.0,0.0020963951267929056,0.00864930514103592,0.25,4.1257991065204145,0.00020963951267929058
1.26,0.0003615473706249294,7.585274695308591,2.0,0.2,0.25,1.0,0.0007230947412498588,0.0027424361215566337,0.25,3.7926373476542956,7.230947412498588e-05
1.44,0.00013987102774306153,6.975735002182343,2.0,0.2,0.25,1.0,0.00027974205548612305,0.0009757032240184919,0.25,3.4878675010911717,2.7974205548612307e-05
1.62,6.009894926520135e-05,6.418480747828546,2.0,0.2,0.25,1.0,0.0001201978985304027,0.00038574394882341943,0.25,3.209240373914273,1.201978985304027e-05
1.8,2.8422900908046606e-05,5.909127157610384,2.0,0.2,0.25,1.0,5.684580181609321e-05,0.00016795453565380703,0.25,2.954563578805192,5.684580181609321e-06
1.98,1.4674029139729257e-05,5.443589433450843,2.0,0.2,0.25,1.0,2.9348058279458514e-05,7.987938997117994e-05,0.25,2.7217947167254213,2.9348058279458515e-06
2.16,8.207931528983053e-06,5.018110113076664,2.0,0.2,0.25,1.0,1.6415863057966105e-05,4.118830421303066e-05,0.25,2.509055056538332,1.6415863057966106e-06
2.34,4.939993318258268e-06,4.629246816177456,2.0,0.2,0.25,1.0,9.879986636516536e-06,2.286844834048499e-05,0.25,2.314623408088728,9.879986636516536e-07
2.52,3.178996116983516e-06,4.273850340925375,2.0,0.2,0.25,1.0,6.357992233967032e-06,1.3586553638370444e-05,0.25,2.1369251704626877,6.357992233967033e-07
2.7,2.1748155183976905e-06,3.9490412849302765,2.0,0.2,0.25,1.0,4.349631036795381e-06,8.588436269259522e-06,0.25,1.9745206424651383,4.349631036795381e-07
2.88,1.573393024378522e-06,3.6521875343629153,2.0,0.2,0.25,1.0,3.146786048757044e-06,5.746326390288805e-06,0.25,1.8260937671814577,3.146786048757044e-07
3.06,1.1979653823664836e-06,3.380883271405094,2.0,0.2,0.25,1.0,2.3959307647329673e-06,4.0501811209652515e-06,0.25,1.690441635702547,2.3959307647329674e-07
3.24,9.557262930449823e-07,3.1329296242413625,2.0,0.2,0.25,1.0,1.9114525860899646e-06,2.994223216147007e-06,0.25,1.5664648121206812,1.9114525860899648e-07
3.42,7.957187397938884e-07,2.9063169140689293,2.0,0.2,0.25,1.0,1.5914374795877767e-06,2.312610832304591e-06,0.25,1.4531584570344647,1.5914374795877768e-07
3.6,6.888533630226988e-07,2.6992083999420005,2.0,0.2,0.25,1.0,1.3777067260453976e-06,1.8593587837991648e-06,0.25,1.3496041999710002,1.3777067260453977e-07
3.78,6.179836839901424e-07,2.509925408702178,2.0,0.2,0.25,1.0,1.2359673679802848e-06,1.5510929506102357e-06,0.25,1.254962704351089,1.2359673679802848e-07
3.96,5.727666153235131e-07,2.3369337379718216,2.0,0.2,0.25,1.0,1.1455332306470262e-06,1.3385176273334458e-06,0.25,1.1684668689859108,1.1455332306470262e-07
4.14,5.469040244883208e-07,2.1788312259859937,2.0,0.2,0.25,1.0,1.0938080489766417e-06,1.191611566172562e-06,0.25,1.0894156129929968,1.0938080489766418e-07
4.32,5.366164912563171e-07,2.0343363894486077,2.0,0.2,0.25,1.0,1.0732329825126342e-06,1.0916584553409566e-06,0.25,1.0171681947243039,1.0732329825126343e-07
4.5,5.397827624570213e-07,1.9022780383347808,2.0,0.2,0.25,1.0,1.0795655249140427e-06,1.0268168944936715e-06,0.25,0.9511390191673904,1.0795655249140427e-07
4.68,5.554519104798369e-07,1.7815857839830302,2.0,0.2,0.25,1.0,1.1109038209596738e-06,9.895852273970921e-07,0.25,0.8907928919915151,1.1109038209596738e-07
