T,U,V
0.0,0.1,0.050000001
0.050000001,0.12578841,0.050377
0.1,0.15315695,0.051704131
0.15000001,0.18182118,0.054294717
0.2,0.21140099,0.058533937
0.25,0.24147247,0.064847924
0.30000001,0.27162343,0.073641799
0.34999999,0.30149472,0.085218117
0.40000001,0.33080029,0.09970478
0.44999999,0.35932928,0.11702359
0.5,0.38693658,0.13691068
0.55000001,0.41352957,0.15897413
0.60000002,0.43905506,0.18276192
0.64999998,0.46348801,0.20781921
0.69999999,0.48682332,0.23372579
0.75,0.50906932,0.26011527
0.80000001,0.53024358,0.28668091
0.85000002,0.5503695,0.31317347
0.89999998,0.56947464,0.33939511
0.94999999,0.58758849,0.36519191
1.0,0.60474205,0.39044657
1.05,0.62096667,0.4150717
1.1,0.63629377,0.43900394
1.15,0.65075421,0.46219927
1.2,0.66437823,0.48462901
1.25,0.67719507,0.50627649
1.3,0.68923312,0.52713472
1.35,0.7005195,0.54720402
1.4,0.71108013,0.56649059
1.45,0.7209397,0.58500499
1.5,0.73012167,0.60276133
1.55,0.73864806,0.61977607
1.6,0.74653953,0.63606757
1.65,0.75381547,0.65165544
1.7,0.76049381,0.66656017
1.75,0.76659107,0.6808027
1.8,0.77212232,0.69440407
1.85,0.7771011,0.70738536
1.9,0.7815395,0.71976733
1.95,0.78544807,0.73157024
2.0,0.78883564,0.742814
2.05,0.79170942,0.75351757
2.0999999,0.79407483,0.76369923
2.1500001,0.79593557,0.77337646
2.2,0.79729325,0.78256571
2.25,0.79814756,0.79128218
2.3,0.79849589,0.79954016
2.3499999,0.79833341,0.80735242
2.4000001,0.79765284,0.81473053
2.45,0.79644436,0.8216843
2.5,0.7946952,0.8282218
2.55,0.79238981,0.83434927
2.5999999,0.78950977,0.84007055
2.6500001,0.78603333,0.84538692
2.7,0.78193587,0.85029674
2.75,0.77718967,0.85479474
2.8,0.77176458,0.85887152
2.8499999,0.76562822,0.86251289
2.9000001,0.75874734,0.86569864
2.95,0.7510888,0.86840194
3.0,0.74262166,0.87058783
3.05,0.73331988,0.87221193
3.0999999,0.72316504,0.87321955
3.1500001,0.71215057,0.87354445
3.2,0.70028526,0.87310851
3.25,0.68759704,0.8718223
3.3,0.67413586,0.86958706
3.3499999,0.65997505,0.86629903
3.4000001,0.64521062,0.86185539
3.45,0.62995821,0.85616291
3.5,0.61434835,0.84914726
3.55,0.59852022,0.84076267
3.5999999,0.58261508,0.83099937
3.6500001,0.56677026,0.81988764
3.7,0.55111474,0.80749786
3.75,0.53576601,0.79393625
3.8,0.52082813,0.77933741
3.8499999,0.50639218,0.76385593
3.9000001,0.49253631,0.74765688
3.95,0.47932726,0.73090839
4.0,0.46682203,0.71377486
4.0500002,0.45506927,0.69641268
4.0999999,0.44411111,0.6789673
4.1500001,0.4339844,0.66157186
4.1999998,0.42472216,0.64434701
4.25,0.41635457,0.62740135
4.3000002,0.40890971,0.61083239
4.3499999,0.40241444,0.59472823
4.4000001,0.39689457,0.57916892
4.4499998,0.39237514,0.56422806
4.5,0.38888016,0.54997474
4.5500002,0.38643223,0.53647465
4.5999999,0.38505152,0.52379191
4.6500001,0.38475484,0.51198989
4.6999998,0.38555366,0.50113225
4.75,0.38745239,0.49128336
4.8000002,0.39044598,0.48250818
4.8499999,0.39451772,0.4748714
4.9000001,0.39963701,0.46843582
4.9499998,0.40575784,0.46325988
5.0,0.41281804,0.45939431
5.0500002,0.42073962,0.45687845
5.0999999,0.4294304,0.45573616
5.1500001,0.43878669,0.45597222
5.1999998,0.44869694,0.45756987
5.25,0.4590458,0.46048957
5.3000002,0.46971798,0.46466953
5.3499999,0.48060191,0.47002792
5.4000001,0.4915925,0.47646639
5.4499998,0.50259304,0.48387438
5.5,0.51351649,0.49213386
5.5500002,0.52428573,0.50112361
5.5999999,0.53483361,0.51072323
5.6500001,0.54510236,0.52081633
5.6999998,0.55504262,0.53129268
5.75,0.56461298,0.54205
5.8000002,0.57377863,0.55299461
5.8499999,0.58251059,0.56404197
5.9000001,0.59078485,0.57511652
5.9499998,0.59858149,0.58615136
6.0,0.60588402,0.59708768
6.0500002,0.61267877,0.60787398
6.0999999,0.61895412,0.61846536
6.1500001,0.62470037,0.62882298
6.1999998,0.62990892,0.6389128
6.25,0.63457215,0.64870548
6.3000002,0.63868302,0.65817511
6.3499999,0.64223498,0.66729891
6.4000001,0.64522159,0.67605639
6.4499998,0.64763647,0.68442905
6.5,0.64947319,0.6923995
6.5500002,0.65072536,0.69995111
6.5999999,0.65138656,0.70706767
6.6500001,0.65145057,0.71373254
6.6999998,0.65091145,0.71992874
6.75,0.64976406,0.72563809
6.8000002,0.64800429,0.73084122
6.8499999,0.64562958,0.73551702
6.9000001,0.64263976,0.73964262
6.9499998,0.63903749,0.74319321
7.0,0.63482922,0.74614209
7.0500002,0.63002604,0.74846077
7.0999999,0.62464452,0.75011963
7.1500001,0.6187073,0.75108856
7.1999998,0.61224395,0.75133765
7.25,0.60529125,0.75083888
7.3000002,0.5978933,0.74956733
7.3499999,0.59010136,0.74750316
7.4000001,0.58197302,0.74463326
7.4499998,0.57357162,0.74095291
7.5,0.56496489,0.7364676
7.5500002,0.55622333,0.73119402
7.5999999,0.54741925,0.72516042
7.6500001,0.538625,0.71840698
7.6999998,0.52991164,0.71098512
7.75,0.52134818,0.7029562
7.8000002,0.51300025,0.69439018
7.8499999,0.50492996,0.68536371
7.9000001,0.49719509,0.67595828
7.9499998,0.48984912,0.66625851
8.0,0.48294109,0.65635014
8.0500002,0.47651571,0.64631891
8.1000004,0.47061336,0.63624918
8.1499996,0.46527028,0.62622321
8.1999998,0.46051869,0.61632043
8.25,0.45638674,0.60661691
8.3000002,0.45289871,0.59718537
8.3500004,0.45007473,0.58809495
8.3999996,0.44793069,0.57941109
8.4499998,0.44647795,0.5711956
8.5,0.44572303,0.56350666
8.5500002,0.44566724,0.55639857
8.6000004,0.44630626,0.54992145
8.6499996,0.44762966,0.54412121
8.6999998,0.44962072,0.5390386
8.75,0.45225617,0.53470904
8.8000002,0.45550612,0.53116149
8.8500004,0.45933419,0.528418
8.8999996,0.46369806,0.52649277
8.9499998,0.46854997,0.52539164
9.0,0.47383758,0.52511144
9.0500002,0.479505,0.52563995
9.1000004,0.48549393,0.52695584
9.1499996,0.49174467,0.52902901
9.1999998,0.49819744,0.53182143
9.25,0.50479323,0.5352881
9.3000002,0.51147473,0.53937805
9.3500004,0.51818722,0.54403573
9.3999996,0.52487886,0.54920238
9.4499998,0.53150123,0.55481726
9.5,0.53800952,0.56081891
9.5500002,0.54436266,0.5671463
9.6000004,0.55052316,0.57373941
9.6499996,0.5564571,0.58054036
9.6999998,0.56213397,0.58749372
9.75,0.5675264,0.59454679
9.8000002,0.5726099,0.60165012
9.8500004,0.57736266,0.60875744
9.8999996,0.58176535,0.61582547
9.9499998,0.58580077,0.62281424
10.0,0.58945376,0.62968659
10.05,0.59271085,0.63640809
10.1,0.59556031,0.64294678
10.15,0.597992,0.64927292
10.2,0.5999971,0.65535885
10.25,0.60156822,0.66117847
10.3,0.6026994,0.66670722
10.35,0.60338622,0.67192173
10.4,0.6036256,0.67679971
10.45,0.60341632,0.68131959
10.5,0.60275877,0.68546063
10.55,0.60165542,0.68920273
10.6,0.60011107,0.69252622
10.65,0.59813291,0.69541234
10.7,0.59573084,0.69784284
10.75,0.59291774,0.69980049
10.8,0.5897097,0.70126939
10.85,0.58612603,0.70223492
10.9,0.58218962,0.70268482
10.95,0.57792687,0.70260894
11.0,0.57336748,0.70200044
11.05,0.56854463,0.70085579
11.1,0.56349427,0.69917578
11.15,0.55825514,0.69696569
11.2,0.55286831,0.69423574
11.25,0.54737639,0.69100147
11.3,0.54182327,0.68728387
11.35,0.53625339,0.68310934
11.4,0.53071129,0.67850935
11.45,0.52524096,0.67352039
11.5,0.51988542,0.66818333
11.55,0.51468641,0.66254288
11.6,0.50968367,0.65664679
11.65,0.50491488,0.65054536
11.7,0.50041538,0.6442908
11.75,0.49621785,0.63793617
11.8,0.49235219,0.63153505
11.85,0.48884538,0.62514091
11.9,0.48572132,0.61880642
11.95,0.48300076,0.61258316
