Time,X,ES,k1,k2,k3,k4,A,B,V,value,default,Reaction1,Reaction2,Reaction6,Reaction7
0.0,1.0,1.0,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.0,-0.0,12.5,2.95
0.01,1.0941653544566095,0.9058346455433915,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.012363896212385803,-8.959716434465407e-05,12.5,3.2277877956469982
0.02,1.1857245898311333,0.8142754101688677,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.026426185571889117,-0.0001721455447659888,12.5,3.497887540001843
0.03,1.2747693796556667,0.7252306203443345,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.042032110998243194,-0.00024386379146910229,12.5,3.7605696699842173
0.04,1.3613872086076386,0.6386127913923626,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.05903855077834315,-0.0003016221896985391,12.5,4.016092265392534
0.05,1.4456615752030282,0.5543384247969729,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.0773130977778567,-0.00034286096670681075,12.5,4.264701646848933
0.06,1.5276723151668836,0.47232768483311754,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.0967332464832555,-0.00036551832286261816,12.5,4.506633329742307
0.07,1.607495765796423,0.3925042342035781,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.11718562455084067,-0.00036796683059196484,12.5,4.7421125090994485
0.08,1.6852049434415637,0.3147950565584375,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.13856529095499842,-0.00034895734882571923,12.5,4.971354583152613
0.09,1.7608697514130671,0.23913024858693427,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.16077510360341396,-0.0003075695239301942,12.5,5.194565766668548
0.1,1.834557116343167,0.16544288365683396,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.18372512361386273,-0.0002431681140070843,12.5,5.411943493212343
0.11,1.9063311704913832,0.09366882950861774,3.0,0.6,0.25,2.95,1.0,2.0,25.0,1.0,1.0,0.20733208333147968,-0.00015536442852194158,12.5,5.623676952949581
