data_set_value_component_environment_variable_time,data_set_value_component_model_constants_variable_alpha,data_set_value_component_model_constants_variable_lamda,data_set_value_component_membrane_variable_V,data_set_value_component_membrane_variable_Cm,data_set_value_component_gate_voltage_variable_V_tilde,data_set_value_component_T_type_calcium_current_variable_i_Ca_T,data_set_value_component_T_type_calcium_current_variable_E_Ca,data_set_value_component_T_type_calcium_current_variable_g_Ca_T,data_set_value_component_T_type_calcium_current_m_gate_variable_m,data_set_value_component_T_type_calcium_current_m_gate_variable_alpha_m,data_set_value_component_T_type_calcium_current_m_gate_variable_beta_m,data_set_value_component_T_type_calcium_current_h_gate_variable_h,data_set_value_component_T_type_calcium_current_h_gate_variable_alpha_h,data_set_value_component_T_type_calcium_current_h_gate_variable_beta_h,data_set_value_component_L_type_calcium_current_variable_i_Ca_L,data_set_value_component_L_type_calcium_current_variable_g_Ca_L,data_set_value_component_L_type_calcium_current_x_Ca_gate_variable_x_Ca,data_set_value_component_L_type_calcium_current_x_Ca_gate_variable_tau_x_Ca,data_set_value_component_potassium_current_variable_i_K,data_set_value_component_potassium_current_variable_E_K,data_set_value_component_potassium_current_variable_g_K,data_set_value_component_potassium_current_n_gate_variable_n,data_set_value_component_potassium_current_n_gate_variable_alpha_n,data_set_value_component_potassium_current_n_gate_variable_beta_n,data_set_value_component_calcium_activated_potassium_current_variable_i_Ca_K,data_set_value_component_calcium_activated_potassium_current_variable_Ca,data_set_value_component_calcium_activated_potassium_current_variable_g_Ca_K,data_set_value_component_calcium_activated_potassium_current_variable_rho,data_set_value_component_calcium_activated_potassium_current_variable_K_c,data_set_value_component_leak_chloride_current_variable_i_Cl,data_set_value_component_leak_chloride_current_variable_g_Cl,data_set_value_component_leak_chloride_current_variable_E_Cl
0.0,0.12,12.5,-55.0,2.5,12.19047619047619,-8.457175745554759e-07,80.0,0.51,0.010709613644012102,0.08822088766467415,8.149320689196944,0.01,0.1328168926344817,0.013640839096672106,-0.0054,0.004,0.01,500.0,6e-08,-75.0,0.3,0.01,0.006003359996409518,0.18837464735756215,0.0001199760047990402,0.0001,0.03,125.0,0.00425,-0.045,0.003,-40.0
0.1,0.12,12.5,-54.98548822127221,2.5,12.208028532365987,-1.5930734387733108e-06,80.0,0.51,0.010734083915521463,0.08833846623178573,8.141377914506444,0.018710421903368645,0.13270038139267562,0.013664475534772343,-0.00628950207015099,0.004,0.011648478205007213,500.0,6.677427336070255e-08,-75.0,0.3,0.010269179113706244,0.00601158889068537,0.18833332168856975,0.007908490954959432,0.006673529469056257,0.03,125.0,0.00425,-0.04495646466381664,0.003,-40.0
0.2,0.12,12.5,-54.97108548015476,2.5,12.22544899066996,-2.342491811929897e-06,80.0,0.51,0.010758423511323443,0.0884553038680631,8.133502474143022,0.027328843598042597,0.13258484664363845,0.01368797430893758,-0.007177337060987474,0.004,0.013294212303795213,500.0,7.402753856281105e-08,-75.0,0.3,0.010535463828096696,0.006019766367694104,0.18829231549367717,0.009016108630549875,0.007616869490508037,0.03,125.0,0.00425,-0.04491325644046429,0.003,-40.0
0.30000000000000004,0.12,12.5,-54.956769673548955,2.5,12.242764299612219,-3.0939036388703014e-06,80.0,0.51,0.01078266880990643,0.08857157712662547,8.125682119068841,0.03585610695169847,0.1324701089397402,0.013711370734043831,-0.008063508258043743,0.004,0.014937205961488276,500.0,8.177193435364007e-08,-75.0,0.3,0.01079888272638413,0.0060279047767974785,0.18825156565863332,0.010119126573903264,0.00855844625857998,0.03,125.0,0.00425,-0.04487030902064686,0.003,-40.0
0.4,0.12,12.5,-54.94253977956896,2.5,12.259975695188018,-3.847246781723539e-06,80.0,0.51,0.010806820697942962,0.08868729190955293,8.117916147567724,0.04429320958616128,0.1323561582057051,0.013734665831022324,-0.00894802014249722,0.004,0.016577463558033606,500.0,9.001904627235457e-08,-75.0,0.3,0.011059469704386432,0.006036004524562456,0.1882110691129985,0.011217560984035773,0.00949825769589359,0.03,125.0,0.00425,-0.04482761933870688,0.003,-40.0
0.5,0.12,12.5,-54.928394697896884,2.5,12.277084508258056,-4.602467572508487e-06,80.0,0.51,0.010830880212656161,0.08880245480792083,8.110203818399023,0.052641220486141074,0.13224298378113802,0.01375786076279846,-0.009830877349841496,0.004,0.018214989831926622,500.0,9.877992760484572e-08,-75.0,0.3,0.011317261088537272,0.006044066065913907,0.1881708225667288,0.012311438099264842,0.010436310305627644,0.03,125.0,0.00425,-0.04478518409369065,0.003,-40.0
0.6000000000000001,0.12,12.5,-54.91433334424038,2.5,12.294092050299724,-5.359512744001679e-06,80.0,0.51,0.010854848381960205,0.08891707233476419,8.102544402386197,0.06090118666808329,0.13213057517744461,0.013780956679987185,-0.010712084458432657,0.004,0.019849789479187988,500.0,1.0806501280355887e-07,-75.0,0.3,0.011572292463676179,0.006052089850448233,0.18813082277904467,0.013400783047595793,0.011372609659035247,0.03,125.0,0.00425,-0.04474300003272115,0.003,-40.0
0.7000000000000001,0.12,12.5,-54.900354679387846,2.5,12.31099957826423,-6.1183264335838895e-06,80.0,0.51,0.010878726174374112,0.08903115068659383,8.094937198136753,0.06907410089333714,0.1320189223087052,0.013803954672732282,-0.011591645935032244,0.004,0.021481867046572328,500.0,1.1788407139681646e-07,-75.0,0.3,0.011824597579592335,0.006060076305734206,0.1880910666409662,0.014485619921835965,0.012307160468772643,0.03,125.0,0.00425,-0.04470106403816354,0.003,-40.0
0.8,0.12,12.5,-54.8864576477798,2.5,12.327808368875864,-6.878856723961068e-06,80.0,0.51,0.010902514603361732,0.08914469624298751,8.087381498502968,0.07716097506456567,0.13190801499958374,0.01382685587131117,-0.012469566241827164,0.004,0.02311122713739753,500.0,1.282462984799627e-07,-75.0,0.3,0.012074210833881315,0.006068025872284156,0.1880515510004863,0.01556597291658145,0.013239967537789301,0.03,125.0,0.00425,-0.0446593729433394,0.003,-40.0
0.9,0.12,12.5,-54.87264130942162,2.5,12.344519559080524,-7.641040270843243e-06,80.0,0.51,0.010926214501007303,0.08925771448726842,8.079876662202812,0.08516267278314218,0.1317978440367825,0.013849661228346934,-0.013345849639703828,0.004,0.024737874023476145,500.0,1.391600762598413e-07,-75.0,0.3,0.01232116161737079,0.006075938927984558,0.18801227303755041,0.016641865572919776,0.014171035190924467,0.03,125.0,0.00425,-0.04461792392826485,0.003,-40.0
