Time,FH2f,FH2b,DHFRf,DHFRtot,FH4,CH2FH4,CH3FH4,CHOFH4,FFH2,HCHO,FGAR,AICAR,MTX1,MTX2,MTX3,MTX4,MTX5,MTX1b,MTX2b,MTX3b,MTX4b,MTX5b,EMTX,dUMP,GAR,serine,formate,ATP,glutamine,glycine,NADP,NADPH,homocysteine,Keq,ext,cell,SHMT,SHMTr,HCHOtoCH2FH4,CH2FH4toHCHO,MTHFR,MTR,HCOOHtoCHOFH4,GARFT,ATIC7,MTHFD,TYMS,DHFReductase,FFH2syn,ATIC12,AICARsyn,FPGS12,FPGS23,FPGS34,FPGS45,GGH21,GGH32,GGH43,GGH54,RFC,MTX1export,MTX2export,MTX3export,MTX4export,MTX5export,MTX1on,MTX2on,MTX3on,MTX4on,MTX5on,MTX1off,MTX2off,MTX3off,MTX4off,MTX5off,DHFRfsyn,DHFRdeg,FH2bdeg,MTX1deg,MTX2deg,MTX3deg,MTX4deg,MTX5deg
0.0,0.0012,0.0024,0.64,0.6424,0.46,0.26,1.63,1.0,0.000332,0.0074,16.49,3.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1444.0901590159017,136.7130299973472,0.07897280000000001,0.078,0.9909274184247315,0.9996925317231007,1.6793065478303695,649.9777358540591,649.8913690718412,1288.7230963424572,5.062997609335893,5.0625599999999995,0.078,0.0793783978802867,650.0245013976557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019271999999999997,7.199999999999999e-05,0.0,0.0,0.0,0.0,0.0
0.01,0.0012083286782895556,0.002416654620044742,0.6399992752874165,0.6424159299074612,0.45892090936501234,0.2619450727971282,1.6299845614879227,0.9991451774640961,0.00032867502882259547,0.007397962031809087,16.485803227731243,3.6971723859812946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.4226457428595,137.73570318992122,0.07876584354358733,0.07858352183913846,0.9982814596120676,0.9996831850351351,1.675374992562544,649.5170755650199,649.7508048979842,1297.589892716253,5.097538636191464,5.097691255522379,0.07854136408882112,0.07862332970615735,649.8824807541868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019272477897223837,7.249963860134226e-05,0.0,0.0,0.0,0.0,0.0
0.02,0.0012083189975677796,0.002416632522273816,0.6399985506180393,0.6424151831403132,0.45892282071980844,0.261946395712962,1.6299706740232651,0.999156878128391,0.0003283622347768119,0.007396232175568044,16.482710424328,3.697087184947319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.4273729715235,137.73639874730006,0.07874775379887877,0.0785839187138886,0.9982864990544967,0.9996747773707045,1.6753819564188666,649.5235638809107,649.7443040066912,1297.5959197534196,5.097562969712548,5.097644642484387,0.07854073484190567,0.07854694615375614,649.777812359189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019272455494209396,7.249897566821447e-05,0.0,0.0,0.0,0.0,0.0
0.03,0.0012082840344654928,0.002416559860840029,0.639997826182395,0.642414386043235,0.4589058385297267,0.2619382075997123,1.6299566854048508,0.9991968012425614,0.0003283579881314305,0.0073946801910037795,16.48064777894746,3.6965513637888825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.385371739569,137.73209363396157,0.07872831639811258,0.0785814622799137,0.9982555425581489,0.9996663084645175,1.6753200832701738,649.5451290477425,649.684680637915,1297.5586156668844,5.097417706847213,5.097491370455957,0.07853846224025703,0.07853606702332624,649.7080040627122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.01927243158129705,7.249679582520087e-05,0.0,0.0,0.0,0.0,0.0
0.04,0.001208252754399412,0.0024164945665050876,0.6399971019855052,0.6424135965520102,0.45889008822816924,0.2619305284495148,1.6299424684248633,0.9992351757438476,0.0003283861562700576,0.007393289148130631,16.47936139913225,3.696050934756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.346416687491,137.728056121155,0.07871080493998313,0.07857915853485443,0.9982265065286632,0.9996577013031073,1.675262698393197,649.5658397867668,649.6295826938529,1297.5236301863213,5.097281384098408,5.097353638585832,0.07853642903596178,0.07853359031438976,649.6644664937699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019272407896560307,7.249483699515263e-05,0.0,0.0,0.0,0.0,0.0
0.05,0.0012082324513903132,0.0024164512271833854,0.6399963780221992,0.6424128292493826,0.4588796321683298,0.2619254069555369,1.6299280948002255,0.9992658467431117,0.00032841157974134783,0.007392041688730986,16.47860186872418,3.695683210365054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.320555512805,137.72536336257158,0.07869573100946975,0.07857762208666107,0.9982071399941633,0.9996489993048383,1.6752246026288973,649.58239067139,649.5904500351932,1297.5002970535459,5.097190446604617,5.097262218620633,0.07853510934037036,0.07853289884240383,649.6387597095486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019272384877481476,7.249353681550155e-05,0.0,0.0,0.0,0.0,0.0
0.06,0.0012082221379015512,0.0024164278677157704,0.6399956542859284,0.6424120821536442,0.4588740236364205,0.26192264616722327,1.6299136612094651,0.9992893660601746,0.00032843041858269726,0.007390922023750178,16.478182880934664,3.695436329600382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.3066837193223,137.72391180635012,0.07868284935617369,0.07857679385016698,0.9981966987217883,0.9996402610002317,1.6752041684187022,649.5950819889246,649.5657845364726,1297.48771908387,5.097141410988411,5.097212944159646,0.07853443896360082,0.07853285705096662,649.6245786608894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019272362464609324,7.24928360314731e-05,0.0,0.0,0.0,0.0,0.0
0.07,0.0012082190947222897,0.0024164190496359875,0.6399949307714337,0.6424113498210696,0.45887194151029886,0.26192160725738395,1.6298992451769294,0.9993076177420863,0.00032844377507717734,0.007389916245748177,16.47797845170201,3.6952774960003283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.3015338999187,137.72336557249542,0.07867178499461118,0.07857648217721518,0.9981927675014762,0.9996315333236402,1.675196582368568,649.6049309008378,649.551630151116,1297.4829858735723,5.09712294023789,5.097194343302152,0.07853424115694883,0.0785331253213876,649.6176595179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.019272340494632088,7.249257148907962e-05,0.0,0.0,0.0,0.0,0.0
0.08,0.001208220903796492,0.0024164199368125593,0.6399942074750454,0.642410627411858,0.4588722115804907,0.2619217183796733,1.6298849002155182,0.9993222951404396,0.0003284532622334374,0.007389012166831201,16.477907045332714,3.695177719956291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.302201877649,137.7234239979277,0.0786622066218245,0.07857651551390199,0.9981931843147684,0.9996228486725723,1.67519756634644,649.6128512424401,649.5445041880515,1297.4834921401357,5.097124884178075,5.097196214712413,0.07853435874677198,0.0785335558363258,649.6152426813572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.01927231882235574,7.249259810437677e-05,0.0,0.0,0.0,0.0,0.0
0.09,0.0012082258000303426,0.00241642699905179,0.6399934843943522,0.642409911393404,0.45887397698442745,0.2619225611996648,1.6298706608296205,0.9993346393960888,0.00032846019925316587,0.007388199074238834,16.477917282795207,3.6951158874565504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.3065683328862,137.72386713244754,0.07865385317320842,0.07857676835989943,0.9981963675257847,0.9996142279365307,1.675203998446119,649.6195127212654,649.5418739573557,1297.4873319769333,5.09713981701825,5.0972111117998455,0.07853467700197227,0.07853407533401473,649.6155891810748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.01927229734180212,7.249280997155369e-05,0.0,0.0,0.0,0.0,0.0
0.1,0.001208232590125282,0.002416437849756826,0.6399927615278155,0.6424091993775723,0.45887666053247106,0.2619238534226219,1.6298565483267693,0.9993454889459917,0.0003284655207612519,0.007387467504496617,16.477977250457513,3.6950777839751017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,689.6,123.3,500.0,2980.0,7170.0,1600.0,6.73,294.0,10.0,0.32,1.0,1.0,1441.313205662745,137.7245465522584,0.07864652490352889,0.07857715602678657,0.9982012498417245,0.9996056840154598,1.6752137757258774,649.6253677210485,649.5420357854392,1297.4932192625513,5.097162727657722,5.097234000277049,0.07853511835814334,0.07853464555989831,649.6176188603588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.01927227598132717,7.249313549270478e-05,0.0,0.0,0.0,0.0,0.0
