Time,A,B,C,D,E,F,X,Y,Z,cell,R1,R2,R3,R4,R5,R6,R7,R8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,9.090909090909092,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,-0.5
0.01,0.08965121653220107,0.0008415136736776223,3.4862039123083793e-05,0.006517969521781396,2.674173635920968e-05,0.00484766909820541,10.0,2.0,1.0,1.0,9.009331353416092,0.16365163604257327,0.000805911115357622,-0.00630236101599217,-0.6435419060841135,0.000814046007472147,-0.004691094096519325,-0.47461127530250113
0.02,0.17702415820634498,0.00313200677330763,0.00014427839983324409,0.012750902708693168,0.00011261969779356902,0.00940590523226373,10.0,2.0,1.0,1.0,8.931079222852025,0.2973473511833348,0.0029774891732178006,-0.011876362859542569,-0.6215220021109464,0.003009356596492437,-0.008759429891500548,-0.4508501469605498
0.03,0.26241092579496045,0.006586323836479941,0.00033306835345265,0.018716705055246766,0.0002636225826429856,0.01369652701679367,10.0,2.0,1.0,1.0,8.855759710020076,0.4083819156455651,0.006208124237324454,-0.016732610842890506,-0.6005309959731233,0.006278515938794268,-0.01220798875426102,-0.42858232025190646
0.04,0.34603866399664224,0.010986182233187437,0.0006034932872003528,0.024432386381481756,0.0004830993107013092,0.017739977529705082,10.0,2.0,1.0,1.0,8.783056730685272,0.5019002766621014,0.010257682497825306,-0.020891873514126982,-0.5804977304471085,0.010380756212251612,-0.015050219666746422,-0.40768396020484704
0.05,0.42808777986393975,0.016161459419029196,0.000955920999969212,0.02991402448388868,0.0007724279645021537,0.021555338656594276,10.0,2.0,1.0,1.0,8.712711911279909,0.5816268255234773,0.014936498778425221,-0.02438175600535654,-0.5613557815228224,0.015125863810381838,-0.01730677715285132,-0.3880411277562918
0.06,0.5087042182958125,0.021977534568673775,0.0013893252445368463,0.03517675615108442,0.0011315198020650159,0.02516036746519299,10.0,2.0,1.0,1.0,8.644511014608346,0.6503186571343929,0.02009381577628075,-0.02723427906341624,-0.5430433121065685,0.020362564749395417,-0.019003140039232494,-0.36954916626420353
0.07,0.5880079652849018,0.028326486300390294,0.001901664891306142,0.04023478724729718,0.0015592027706108325,0.028571546841790973,10.0,2.0,1.0,1.0,8.578274127237858,0.7100569087937003,0.025609244086760817,-0.02948410712216395,-0.5255028770240411,0.025969953438620498,-0.020167860241579856,-0.3521120725044842
0.08,0.6660990832559706,0.03512082264167766,0.0024901735312683228,0.04510141593820382,0.002053515360036348,0.03180414497049443,10.0,2.0,1.0,1.0,8.513848426342937,0.762439552566757,0.031386333708152525,-0.031167249346090397,-0.5086811994209773,0.03185104819907471,-0.020831270102914662,-0.3356418737421953
0.09,0.7430620855975464,0.042288921731648756,0.0031515816024462874,0.04978906475953909,0.0026119328802547506,0.03487227982402729,10.0,2.0,1.0,1.0,8.451102756408492,0.8087122608026288,0.03734766061310192,-0.032320109271960086,-0.49252893249620294,0.03792787182210487,-0.02102452755969875,-0.32005802438669445
0.1,0.8189691816326649,0.04977164124715895,0.0038822872805818367,0.05430931834616668,0.00323154239019148,0.037788985922791445,10.0,2.0,1.0,1.0,8.389923489899118,0.8498592756007362,0.0434310098170745,-0.032978793025473005,-0.4770004163583577,0.04413763482154034,-0.020778912022886262,-0.30528683051565786
0.11,0.8938827070748512,0.05751977368549813,0.0046784873674447945,0.05867296473100364,0.00390917749239133,0.04056628164564617,10.0,2.0,1.0,1.0,8.330211338540641,0.8866677466711157,0.04958639667017799,-0.03317861448738896,-0.4620534359135889,0.050429760512473144,-0.020125311705300176,-0.29126090580318015
