Time,C,I,U,V,r,K,beta,alpha,delta_u,K_c,delta,delta_i,b,gamma,mu,psi,compartment,Tumor_Growth,Tumor_Cell_Infection,Uninfected_Tumor_Lysis_Drug,Infected_Tumor_Lysis_Drug,Infected_Tumor_Death,Virus_Production,Virus_Decay,Drug_Injection,Drug_Decay
0.0,30.0,10.0,100.0,10.0,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.485741000467508,0.09049773755656108,14.955134596211366,1.7946161515453638,5.0,2.5,1.0,150.0,125.1
0.1,32.03606108547678,9.345873993909208,99.39195000360975,10.131943715741693,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.433927849063044,0.09218726686255288,15.869792344903962,1.7906932651136125,4.672936996954604,2.336468498477302,1.0131943715741694,150.0,133.59037472643817
0.2,33.37787140445656,8.726607195847288,98.70629291342996,10.246572012721186,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.374869435956107,0.09370647294960224,16.418229204069206,1.7418395470403454,4.363303597923644,2.181651798961822,1.0246572012721187,150.0,139.18572375658385
0.3,34.26215225014594,8.143783251497496,97.97235159667684,10.344965016691472,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.311192743892759,0.09506258610049152,16.726409853451123,1.668424867248016,4.071891625748748,2.035945812874374,1.0344965016691472,150.0,142.87317488310856
0.4,34.84491057082908,7.59734427369656,97.20935406997853,10.428208477181794,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.244629121434704,0.09626352607367664,16.877446933177257,1.5828572388630848,3.79867213684828,1.89933606842414,1.0428208477181795,150.0,145.30327708035725
0.5,35.22895963190946,7.086288396483994,96.4298784878484,10.497362207985022,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.176318779398024,0.09731750289208176,16.925992970483016,1.4925971427100946,3.543144198241997,1.7715720991209984,1.0497362207985022,150.0,146.90476166506244
0.6,35.48205629528586,6.609097871777835,95.64213517878025,10.553442624389639,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.10701266450643,0.09823276627607273,16.90790539795753,1.402051529355502,3.3045489358889175,1.6522744679444588,1.055344262438964,150.0,147.96017475134204
0.7,35.64885337859575,6.163999507200636,94.85147079221714,10.597413861896223,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,9.037205707989022,0.0990174491070108,16.84667441247481,1.3137537066212988,3.081999753600318,1.540999876800159,1.0597413861896223,150.0,148.6557185887443
0.8,35.75877235907642,5.749120921264421,94.06135627095374,10.630184082247068,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.96722450719116,0.09967947119522147,16.757669763560724,1.2290939486579906,2.8745604606322104,1.4372802303161052,1.0630184082247067,150.0,149.11408073734864
0.9,35.831211779532474,5.362583249861127,93.2740373334768,10.65260482260131,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.897285181186003,0.10022648079745897,16.650946566862434,1.1487709511432265,2.6812916249305636,1.3406458124652818,1.065260482260131,150.0,149.41615312065042
1.0,35.87895246054939,5.002553982377138,92.49095729404546,10.665472164013588,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.827531064237919,0.10066582139913129,16.533074360019818,1.0730683223577686,2.501276991188569,1.2506384955942844,1.0665472164013587,150.0,149.61523176049096
1.1,35.91041333491631,4.667276013125246,91.71303502222864,10.669528868318674,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.758057553581503,0.1010045141590947,16.408341945100513,1.0020245530894896,2.333638006562623,1.1668190032813115,1.0669528868318674,150.0,149.746423606601
1.2,35.93114765043616,4.355082511688016,90.94084801465262,10.66546701633401,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.688928525896733,0.10124925031873089,16.27955089267105,0.9355371840744218,2.177541255844008,1.088770627922004,1.066546701633401,150.0,149.83288570231878
1.3,35.94481353083867,4.06440279975424,90.17475025127835,10.653930884364021,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.620186942366317,0.10140639067930063,16.148527334477194,0.8734256921445905,2.03220139987712,1.01610069993856,1.0653930884364022,150.0,149.88987242359727
1.4,35.953818843829595,3.793763160295458,89.41494976725816,10.635519861491641,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.551861859180796,0.10148196944068069,16.016459241900332,0.815469715368047,1.896881580147729,0.9484407900738645,1.0635519861491642,150.0,149.9274245787694
1.5,35.959753988651286,3.5417848133016574,88.66156027489076,10.61079131679378,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.48397311780776,0.10148170090337166,15.884120571866209,0.7614321720438388,1.7708924066508287,0.8854462033254143,1.061079131679378,150.0,149.95217413267585
1.6,35.96366440519429,3.3071801141863317,87.91463346398663,10.580263369023568,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.416534299898187,0.10141098826479172,15.752011864183382,0.7110726168288406,1.6535900570931659,0.8267950285465829,1.0580263369023568,150.0,149.96848056966016
1.7,35.966242583165844,3.08874797330214,87.17418147403713,10.544417541452042,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.34955480041818,0.10127493392882189,15.620457871713288,0.6641552364814625,1.54437398665107,0.772186993325535,1.0544417541452042,150.0,149.97923157180156
1.8,35.96794346340072,2.8853689889502614,86.44019036076661,10.50370120952339,0.1,2139.0,0.01,0.5,50.0,10000.0,0.5,60.0,0.5,0.1,150.0,4.17,1.0,8.283041085900342,0.10107834992810186,15.48966625529451,0.6204530898280137,1.4426844944751307,0.7213422472375653,1.050370120952339,150.0,149.98632424238102
