Time,AUR1,IPTG,LACI,LAMDAR,SLS1,SLS4,TETR,as1,ia1_ActiveTF,ia1_InactiveTF,ope1,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,rs1,rs2,rs3,rs4,rs5,rs6,ter1,ter2,ter3,ter4,ter5,ter6,tr3_Kd,tr3_h,tr4_Kd,tr4_h,pSLS4_strength,tr5_Kd,tr5_h,tr6_Kd,tr6_h,p1_strength,p2_strength,proLACI_degradation_rate,p3_strength,proSLS1_degradation_rate,proSLS4_degradation_rate,proLAMDAR_degradation_rate,proAUR1_degradation_rate,ia1_Kd,ia1_repression_Kd,ia1_repression_h,pAUR1_strength,proTETR_degradation_rate,ta1_Kd,ta1_h,pp2_translation_rate,pp3_translation_rate,pp4_translation_rate,pp5_translation_rate,pp6_translation_rate,tr1_Kd,tr1_h,pSLS1_strength,tr2_Kd,tr2_h,DefaultCompartment,pp1_v1,pp1_v2,pp5_v1,pp5_v2,ia1_bind_forward,ia1_bind_reverse,pp2_v1,pp2_v2,pp6_v1,pp6_v2,pp3_v1,pp3_v2,pp4_v1,pp4_v2
0.0,2.014,10000.0,2.4,2.5,0.0,2.57,2.5,0.0,100.0,100.0,9.999000099990002e-05,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.0,6.25,0.0,1000000.0,0.1,4.056195999999999,0.0,6.25,0.0,6.604899999999999,0.0,5.76,0.0
0.01,2.013798761032266,9900.000020202004,2.3906894367620866,2.4903014427875667,0.010806913345484927,2.565783087389802,2.4917601358109147,0.004337060054289084,2.0202018121717323e-05,199.99997979798175,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.04054033484173554,0.05750517243378516,0.06240600704559275,0.009996500816523767,0.06599963696910675,0.06240618093816888,0.9999000799564381,0.9983591779726858,0.9967040543243659,0.9961205986508694,0.9967040543243659,0.9961205771150267,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.0006997550571566638,6.225753606968917,0.0025898492923920992,0.19999997981312276,0.19999997979798176,4.055790704718984,0.004054033484173554,6.229400339527286,0.0049924944750535105,6.594062534591791,0.00263998547876427,5.737654648229007,0.0040253620703649615
0.02,2.013195848130273,9900.000020202004,2.36347876488636,2.4619279762228676,0.0421069355695617,2.5532349648990618,2.467632247700246,0.017063699676476817,2.020201812022407e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.08103205295389235,0.11452915392514111,0.12430736938720371,0.019986006531047224,0.1317570651221245,0.12435558926470046,0.9996007190319133,0.9934766400385455,0.9870528990800985,0.9847828187026502,0.9870528990800985,0.9847711904891471,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.0013990204571733059,6.154819940557169,0.0051587558295689544,0.19999997979833953,0.19999997979798173,4.05457643813437,0.008103205295389234,6.169080619250615,0.009948447141176037,6.561813859790588,0.005270282604884981,5.672349035727264,0.008017040774759879
0.03,2.0121928248475363,9900.000020202004,2.320362209980243,2.416862050574308,0.0908090564089665,2.5326328655633215,2.4292448740592456,0.03738159846120681,2.020201811936276e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.12146713220676793,0.17066454477729526,0.18526002056678106,0.029968522038428223,0.19706153181036404,0.18547002180605435,0.9991026935687868,0.9854602589740551,0.9716979496236983,0.9668175874917679,0.9716979496236983,0.9667448202297232,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.0020977965426899757,6.04215512643577,0.0076882908535214145,0.19999997978981257,0.19999997979798173,4.052556349242938,0.012146713220676793,6.073112185148114,0.014837601744484348,6.508866464497736,0.007882461272414562,5.5688693039525825,0.01194651813441067
0.04,2.0107917268879216,9900.000020202004,2.2642214338632876,2.357974394172508,0.15249697343445603,2.5044060808867945,2.378960981943238,0.06410234327261947,2.0202018120189706e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.16183759471167486,0.22556360987377996,0.24488160351568045,0.039944052230100016,0.2617114796266815,0.2454221649860746,0.9984070143435559,0.9744770742750174,0.9515843927772952,0.9434255974430364,0.9515843927772952,0.9431897576690033,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.002796083656107001,5.89493598543127,0.010162586545900739,0.19999997979799933,0.19999997979798173,4.049734537952274,0.016183759471167486,5.947402454858095,0.01963377319888597,6.436323627879061,0.010468459185067261,5.43413144127189,0.0157894526911646
0.05,2.008995055232562,9900.000020202004,2.19834761412885,2.288569978802405,0.2222316876543662,2.4691150054800777,2.319506941776796,0.09580988258428282,2.0202018120207236e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.20213551623847942,0.27895388452294007,0.3028680763611635,0.049912601994072506,0.32551820046156493,0.30394935656665534,0.9975149231542019,0.9607451383190964,0.9278027767107184,0.9159781725536875,0.9278027767107184,0.9154279915209621,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.003493882139585076,5.721424947006013,0.012569025168988284,0.19999997979817288,0.19999997979798173,4.046116041238379,0.020213551623847942,5.79876735444199,0.024315948525332427,6.345625564083799,0.013020728018462598,5.27603427390924,0.019526771916605807
0.06,2.0068057679321614,9900.000020202004,2.1260004189136903,2.2119615107873285,0.2952856383161445,2.4274251961798314,2.2536238378861673,0.13102703009816674,2.0202018120100622e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.24235303544355463,0.3306424642146703,0.35899903115858955,0.05987417621493503,0.38830887335482095,0.36085811757975667,0.9964278887448667,0.9445234226380668,0.9014495351544669,0.8858335078807044,0.9014495351544669,0.8847846043149313,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.004191192335045452,5.529903776968322,0.014898459793081468,0.1999999797971174,0.19999997979798173,4.041706816615372,0.024235303544355463,5.634059594715418,0.028868649406380533,6.238482754182167,0.015532354934192838,5.102401005392856,0.023144972495026922
0.07,2.0042272706118536,9900.000020202004,2.050091644667999,2.1311538294209345,0.36765499643656985,2.3800785711731485,2.18380915735819,0.16835491111841452,2.0202018120194422e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.2824823629053011,0.380511075789434,0.4131336011850017,0.0698287797738593,0.44992889116068585,0.41602098703776935,0.9951476020912878,0.9261006113514197,0.873523662943276,0.8542048519449996,0.873523662943276,0.8524615317683738,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.004888014584170152,5.327884573552336,0.017145044449177572,0.19999997979804604,0.19999997979798173,4.0365137230122725,0.02824823629053011,5.459522893395476,0.033281678963021546,6.116801927914991,0.017997155646427433,4.920219947203198,0.026635775305260383
0.08,2.001263405742371,9900.000020202004,1.9730168960634331,2.0486654029941374,0.4363079289137334,2.3278638968273895,2.1121699372325704,0.20656857263268505,2.0202018120192847e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.322515789951093,0.42850540742930354,0.4652002535943066,0.07977641754860124,0.5102434342541717,0.46936834440300584,0.9936759710736699,0.9057836174425641,0.8448679748930282,0.8220903733597639,0.8448679748930282,0.8194661611976549,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.005584349228402087,5.121663507485343,0.019305810524163726,0.19999997979803044,0.19999997979798173,4.030544499165135,0.0322515789951093,5.280424843081426,0.03754946755224047,5.982610214846391,0.02040973737016687,4.7352405505522395,0.02999537852005125
0.09,1.9979184407373691,9900.000020202004,1.8966122221492066,1.9664698332368233,0.4992108776187584,2.271588498440266,2.040373315794043,0.24466644116457748,2.0202018120187165e-05,199.99997979798172,0.9999999995918785,10.0,10.0,10.0,10.0,10.0,10.0,0.36244569726659454,0.4746219284137671,0.5151836372295948,0.08971709441350353,0.569138299884842,0.5208777974216074,0.9920151145667176,0.883886575268586,0.8161493263176173,0.7902550925621694,0.8161493263176173,0.7865879332947293,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,2.57,1.0,2.0,1.0,2.0,2.5,2.4,0.07,2.5,0.07,0.04,0.0415,0.1,0.001,1.0,2.0,2.014,0.08,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.0,0.006280196608945248,4.916174583092058,0.021380120945028187,0.19999997979797418,0.19999997979798173,4.023807739645061,0.03624456972665945,5.100933289485107,0.041670223793728596,5.837982440991483,0.02276553199539368,4.551869333158096,0.0332235349889637
