A_B,A_M,A_dopa,C1_B,C1_M,C2_B,C2_M,C_OMD,C_dopa,Time
18.134999999999998,1.3650000000000002,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.96532969974832,1.3316974792420517,99.70546768530676,0.01757656252568739,0.33527961784144333,5.064577340874169e-05,0.0006285401447759418,0.008021426184658226,2.4920950076446773,0.01
17.797246827717625,1.2992074551059605,98.42752758758179,0.033303237898829906,0.4822980572021542,0.00019504730141592854,0.0020124537768663815,0.031939926752243504,4.944634477457475,0.02
17.63073653199598,1.2675101047451205,97.16596704186422,0.047359287966094614,0.5427169132945586,0.0004227324054128791,0.003716345545605841,0.07146367297389793,7.353165943656654,0.03
17.465784099625314,1.2365860889398583,95.92057610895233,0.05990673335551051,0.5633771652630052,0.0007242519197865545,0.005540169080209677,0.12630012588043704,9.718115393502202,0.04
17.30237495530138,1.2064165402981668,94.69114754046696,0.07109201052228056,0.565860624840612,0.0010910812067900033,0.00739231436256392,0.19616022507161932,12.040040037205351,0.05
17.140494660085878,1.1769830517443123,93.4774767443629,0.08104746954872412,0.5601108096661059,0.0015155311376772451,0.009231129919551582,0.28075880556992294,14.319525488230179,0.06
16.980128910130592,1.1482676652883068,92.27936175088219,0.08989272799448052,0.5507084429945404,0.001990667630818688,0.01103797971443905,0.3798146908901949,16.557163246595685,0.07
16.821263535413525,1.1202528610693334,91.09660317894388,0.09773589465487796,0.5397632423074198,0.0025102389230092117,0.012804826883992091,0.49305069974183097,18.753543056468658,0.08
16.663884498486798,1.0929215466665423,89.9290042029646,0.104674675690115,0.5282460240894196,0.0030686098331227235,0.014528513560349128,0.6201936203481775,20.90924972366986,0.09
16.507977893236315,1.0662570466705372,88.77637052010424,0.1107973744873406,0.5166028029246071,0.003660702342690424,0.016208123345365998,0.760974170679062,23.024861663074162,0.1
16.353529943653,1.040243092509409,87.63851031793163,0.11618379538739672,0.5050375043804523,0.0042819418911168436,0.017843766621528735,0.9151269521871724,25.10095022856876,0.11
16.20052700261353,1.0148638125071707,86.51523424245242,0.1209060616446688,0.49364250154758343,0.004928208769207287,0.019436019315130407,1.0823904005518272,27.13807942144013,0.12
16.048955550679302,0.990103722238557,85.40635536672438,0.12502935106774032,0.4824584833430347,0.005595794405930916,0.020985665178081096,1.2625067355489918,29.136805791288815,0.13
15.898802194899128,0.9659477150596635,84.31168915967899,0.12861256516016617,0.4715024380493045,0.006281361608242007,0.022493575065834864,1.455221910357108,31.097678430590836,0.14
15.750053667624773,0.9423810528827391,83.23105345538607,0.13170893299223355,0.4607802180467615,0.006981908680658066,0.02396065251432188,1.6602855610952219,33.02123902229081,0.15
15.602696825655144,0.9193893580820762,82.16426842866392,0.13436654479556515,0.45029247842386644,0.007694737718021436,0.02538780781548809,1.8774509660485155,34.90802189065491,0.16
15.456718649273794,0.8969586052203309,81.11115656877747,0.1366288425666854,0.44003743146285346,0.008417425455328403,0.026775945855143635,2.1064750018058054,36.758554071542214,0.17
15.312106238689188,0.8750751057498142,80.07154260493579,0.13853514542339979,0.43001215216063465,0.009147792086872712,0.028125960596292337,2.347118024553672,38.5733555412305,0.18
15.168846814752978,0.8537255049685893,79.04525351196067,0.14012098140593213,0.42021310113186056,0.00988388153330309,0.029438732428505317,2.5991438759547667,40.3529391965492,0.19
15.02692771849684,0.8328967758755143,78.03211849414892,0.1414184238227319,0.41063647276463144,0.010623941454526385,0.030715126475177455,2.862319855227955,42.0978109041958,0.2
14.886336410910511,0.8125762134696473,77.03196897315297,0.14245640062166803,0.40127827319128384,0.011366404862920867,0.03195599207993124,3.136416697235493,43.808469539679095,0.21
14.747060471037118,0.7927514246286469,76.04463854488009,0.1432610387214241,0.39213447108674787,0.012109869681106389,0.03316216222342922,3.421208502617948,45.48540712259578,0.22
14.609087591017841,0.7734103100681686,75.06996288029868,0.14385604067779403,0.38320105286831646,0.0128530764188507,0.03433445384235709,3.716472581094554,47.1291091298158,0.23
14.472405579494813,0.7545410694802198,74.10777978177917,0.14426276759376655,0.3744739161177266,0.013594903199120106,0.03547366777424294,4.021989536114507,48.74005432006454,0.24
14.337002359087052,0.736132189899932,73.1579291284869,0.14450053137877844,0.36594885862150195,0.01433434841972144,0.03658058907098775,4.33754317705048,50.31871490767907,0.25
14.202865965297839,0.718172438559806,72.2202528491395,0.14458678969466707,0.3576217168070662,0.015070519180292574,0.037655986539428435,4.662920474139447,51.86555664749311,0.26
14.069984546264637,0.7006508611405241,71.29459491567519,0.14453721256580576,0.34948835949593304,0.015802627326217095,0.0387006127660146,4.997911548002267,53.38103885476567,0.27
13.938346360286767,0.6835567659403685,70.38080128191291,0.14436607646360872,0.3415455006989378,0.01652996605746857,0.039715200996564705,5.342309568316958,54.865614584258566,0.28
13.807939775676138,0.6668797231833186,69.4787198800636,0.14408622377972619,0.33378828969056995,0.017251912339871122,0.04070047560594877,5.695910747654759,56.31973068965652,0.29
13.678753269605233,0.6506095577444065,68.58820059225945,0.14370925976200025,0.3262130394501326,0.017967915214630016,0.04165714052477449,6.0585142948580035,57.743827859714756,0.3
13.550775427071104,0.6347363428601677,67.70909522515137,0.1432456594579339,0.3188157741926636,0.018677489455837977,0.042585885714032906,6.429922372797444,59.138340728226794,0.31
13.423994939869369,0.6192503939550826,66.84125748481233,0.14270488099649892,0.31159260403404104,0.01938020885105002,0.04348738577579488,6.809940056950023,60.50369794695999,0.32
13.298400605646085,0.6041422628420379,65.98454295328729,0.14209546271907428,0.30453973080909597,0.02007570044088009,0.044362300151410086,7.198375296538634,61.84032225945454,0.33
